Assemblage_Name	4-7933630-2	1105105-4-4	8272527-4-4	1-5208493-4	0-4-6561844	7514042-4-4	4-1-4	0-4-4	4-1-4757136	3-6383582-651691	4-3023981-0	0-300824-4	0-3469753-4096624	3-1-3	0-3469753-4022701	1-3-3	0-4735548-4	3-4-7352052	4-6256216-0	0-8748760-4022701	3-4-7858293	3-6383582-7352052	4-4-2	0-4-4022701	0-4-78122	1-2-4	2-1-1	3-4-2	3-1734727-3	2088344-1-1
assemblage-363-547	12	0	13	0	20	0	50	79	0	0	0	0	0	43	0	7	0	84	38	0	9	0	15	27	11	0	59	17	0	16
assemblage-463-336	12	0	15	0	8	0	58	78	4	0	0	0	0	67	0	11	0	64	37	0	6	0	14	25	17	0	62	11	0	11
assemblage-527-523	0	0	3	0	0	0	0	72	46	0	0	0	0	51	0	0	9	118	0	0	0	0	12	105	0	0	35	11	0	25
assemblage-538-178	0	16	0	0	0	5	0	123	61	9	0	33	0	39	0	0	0	62	0	10	0	10	0	104	0	0	0	0	20	8
assemblage-559-518	0	0	0	0	0	0	0	112	52	0	0	14	0	40	7	0	6	73	0	0	0	8	0	134	0	0	21	0	17	16
assemblage-496-480	0	0	13	9	3	0	51	82	14	0	7	0	0	71	0	0	0	69	15	0	0	0	9	35	10	0	56	27	0	23
assemblage-641-508	9	0	9	0	15	0	53	60	7	0	0	0	0	78	0	10	0	70	28	0	8	0	15	25	16	6	71	14	0	6
assemblage-337-459	0	0	0	0	0	0	20	90	34	0	0	0	0	86	0	0	0	102	0	0	0	0	0	49	0	0	25	43	0	51
assemblage-364-572	0	0	16	8	0	0	0	65	52	0	0	0	0	57	0	0	6	121	0	0	0	0	10	88	0	0	44	12	0	17
assemblage-607-312	0	0	0	0	0	0	0	98	62	0	0	9	0	56	12	0	6	79	0	0	0	0	11	122	0	0	11	0	14	20
assemblage-230-538	0	4	0	0	0	8	0	129	71	0	0	49	0	42	0	0	0	73	0	0	0	32	0	51	0	0	0	0	9	17
assemblage-634-469	0	0	7	14	3	0	17	113	45	0	0	0	0	89	0	0	0	63	0	0	0	0	13	32	0	0	43	40	0	13
assemblage-596-533	0	5	0	0	0	8	0	120	62	0	0	41	14	25	0	0	0	79	0	0	0	14	0	92	0	0	0	0	9	23
assemblage-609-260	0	21	0	0	0	6	0	109	33	10	0	38	0	45	0	0	0	100	0	10	0	16	0	99	0	0	0	0	9	4
assemblage-362-460	0	0	10	5	7	0	48	68	20	0	7	0	0	81	0	0	0	85	12	0	0	0	10	35	10	0	57	32	0	13
assemblage-516-671	0	0	6	5	0	0	10	95	26	0	0	0	0	114	0	0	6	66	0	0	0	0	11	42	0	0	39	56	0	21
assemblage-414-450	0	20	0	0	0	0	0	117	65	21	0	24	0	29	0	0	0	83	0	0	0	0	0	88	0	0	0	0	20	16
assemblage-494-424	0	0	0	0	0	0	0	129	58	0	0	8	8	52	0	0	0	100	0	0	0	24	0	82	0	0	3	0	10	26
assemblage-484-480	0	20	0	0	0	0	0	108	56	14	0	38	0	29	0	0	0	87	0	0	0	0	0	95	0	0	0	0	30	23
assemblage-586-332	38	0	0	0	0	0	49	108	0	0	0	0	0	43	0	13	0	74	24	0	4	0	17	23	0	3	46	31	0	25
assemblage-454-506	0	5	0	0	0	14	0	86	59	0	0	44	19	54	0	0	0	68	0	0	0	26	0	99	0	0	0	0	13	13
assemblage-523-494	38	0	0	0	0	0	53	85	0	0	0	0	0	55	0	20	0	67	31	0	0	0	9	17	6	8	57	27	0	19
assemblage-524-415	0	0	0	0	0	0	0	93	60	0	0	9	0	60	5	0	12	79	0	0	0	2	13	116	0	0	22	0	14	15
assemblage-462-633	0	0	0	0	0	7	0	103	87	0	0	8	9	34	0	0	0	109	0	0	0	13	0	80	0	0	0	0	14	36
assemblage-579-563	0	9	0	0	0	8	0	125	53	8	0	30	0	31	0	0	0	106	0	5	0	5	0	95	0	0	0	0	12	13
assemblage-401-599	35	0	0	0	0	0	61	104	0	0	0	0	0	52	0	22	0	67	26	0	5	0	9	19	11	5	48	17	0	13
assemblage-627-615	0	17	0	0	0	0	0	129	53	17	0	35	0	30	0	0	0	77	0	6	0	0	0	94	0	0	0	0	15	12
assemblage-613-581	0	0	0	0	0	3	0	106	71	0	0	14	11	36	0	0	0	94	0	0	0	27	0	95	0	0	0	0	22	21
assemblage-419-619	0	0	6	5	15	0	42	56	28	0	9	0	0	74	0	0	8	95	11	0	0	0	11	29	9	0	58	32	0	12
assemblage-580-466	0	0	8	7	0	0	0	79	50	0	0	0	0	64	0	0	0	122	0	0	0	0	3	102	0	0	37	8	0	10
