Assemblage_Name	4363126-3-2	2-3-8338296	6441670-3-2	2-3253914-2	0-4-2659511	3-3-5406091	1725925-3-2	0-8647199-4	9456011-8954137-4	7033135-2-3450281	7405693-8954137-1366898	7502991-4372892-4232200	9784565-1049097-4	2-9712952-2	2013564-2371518-4	3-3-4	1554987-2-3450281	0-4-4	2-3-5348958	4675050-0-0	0-4-7751094	3-3-1323936	7405693-8954137-4	9390171-3-8338296	7405693-9263072-4	2-3-4946789	8053559-3-2	2-3-2	3-3-5073066	4007745-4-4930098	1-3-2	7405693-8954137-158742	3786474-9767027-4	8721563-8954137-4	5366099-3-2	2029889-3-2	0-1998000-7751094	4-2-1561475	4-2-3450281	2-7762486-2	5366099-6774223-2	9784565-4-4	0-8954137-4	3786474-4372892-4	4007745-4-4	8721563-8954137-6013205
assemblage-392-520	10	0	0	0	0	0	0	31	0	0	0	10	6	9	0	0	0	88	0	0	0	0	55	17	0	0	15	50	0	32	0	0	17	29	0	11	0	0	0	0	0	26	0	4	0	56
assemblage-436-466	0	14	0	8	0	0	11	31	0	0	0	0	0	0	19	0	0	62	12	0	0	0	25	0	0	0	0	117	0	13	0	0	0	19	0	0	0	0	14	7	0	0	5	77	12	54
assemblage-405-545	0	14	0	0	0	0	0	0	0	0	6	0	0	0	17	0	0	99	0	0	0	0	43	0	19	21	0	94	0	0	0	9	0	5	0	0	0	0	14	0	0	0	31	60	20	26
assemblage-471-550	0	0	0	0	0	0	0	0	0	10	0	0	0	0	12	0	3	108	0	0	0	15	63	0	0	0	0	68	0	0	13	33	0	0	0	0	9	0	77	0	0	0	38	20	4	27
assemblage-731-334	0	0	0	0	12	4	0	0	0	0	16	0	0	0	8	0	0	107	0	0	0	0	59	0	0	0	0	86	0	0	7	17	0	0	0	0	0	0	48	0	0	0	77	15	4	28
assemblage-511-565	0	0	0	0	4	7	0	0	0	0	10	0	0	0	11	0	0	107	0	0	0	11	58	0	0	0	0	88	0	0	0	15	0	0	0	0	0	0	50	0	0	0	60	28	7	34
assemblage-465-469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	120	0	15	5	0	14	0	0	0	0	21	0	0	26	0	0	0	28	0	0	0	85	0	0	0	81	0	0	41
assemblage-380-571	0	18	0	0	0	0	0	0	0	0	13	0	0	0	16	0	0	80	0	0	0	11	44	0	10	26	0	90	0	0	0	15	0	9	0	0	0	0	13	0	0	0	29	61	24	41
assemblage-513-505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	108	0	21	6	0	10	0	0	0	0	13	0	0	28	0	0	0	36	0	0	0	110	0	0	0	77	0	0	32
assemblage-607-312	0	0	0	0	6	0	0	0	0	0	27	0	0	0	28	0	0	96	0	0	0	2	59	0	0	18	0	113	0	0	0	11	0	0	0	0	0	0	7	0	0	0	43	44	20	26
assemblage-518-554	6	0	0	0	0	0	0	32	0	0	0	0	0	6	13	0	0	100	17	0	0	0	35	22	0	0	0	75	0	34	0	0	11	28	0	0	0	0	7	0	0	25	0	30	0	55
assemblage-646-444	0	0	17	0	0	0	0	0	0	0	0	0	0	0	16	42	0	35	0	0	0	12	46	0	0	0	0	27	9	0	30	0	0	0	10	0	5	7	92	0	18	0	92	0	0	42
assemblage-571-521	0	9	0	0	0	0	0	0	0	0	14	0	0	0	26	0	0	76	0	0	0	16	54	0	0	17	0	112	0	0	0	24	0	0	0	0	0	0	7	0	0	0	39	28	31	47
assemblage-645-556	0	0	15	0	0	0	0	0	0	0	0	0	0	0	12	36	0	47	0	0	0	6	38	0	0	0	0	28	10	0	31	0	0	0	13	0	16	8	90	0	22	0	88	0	0	40
assemblage-524-415	0	0	0	0	0	0	0	0	0	0	22	0	0	0	25	0	0	85	0	0	0	13	47	0	0	27	0	105	0	0	0	7	0	0	0	0	0	0	12	0	0	0	51	38	33	35
assemblage-499-594	8	0	0	0	0	0	0	41	0	0	0	14	16	7	0	0	0	94	0	0	0	0	43	21	0	0	11	49	0	40	0	0	20	23	0	3	0	0	0	0	0	24	0	5	0	61
assemblage-368-461	0	0	0	0	0	10	0	0	12	9	0	0	0	0	17	40	0	47	0	0	0	18	75	0	0	0	0	29	0	0	21	0	0	0	0	0	6	8	67	0	0	0	91	5	0	41
assemblage-505-378	0	15	0	0	0	0	0	0	0	0	2	0	0	0	9	0	0	97	0	0	0	0	35	0	16	17	0	101	0	0	0	4	0	14	0	0	0	0	21	0	0	0	39	56	26	48
assemblage-634-715	0	18	0	9	0	0	11	17	0	0	0	0	0	0	33	0	0	85	7	0	0	0	30	0	5	0	0	95	0	14	0	0	0	29	0	0	0	0	18	5	0	2	4	80	2	36
assemblage-431-606	0	0	0	0	0	0	0	0	13	0	0	0	0	0	7	53	8	58	0	0	0	16	50	0	0	0	0	29	0	0	34	0	0	0	0	0	11	6	70	0	0	0	75	15	0	55
assemblage-467-505	0	0	0	0	0	0	0	0	7	13	0	0	0	0	3	0	0	120	0	0	0	14	62	0	0	0	0	77	0	0	21	18	0	0	0	0	13	0	68	0	0	0	38	12	2	27
assemblage-418-424	0	0	0	0	0	0	0	0	4	19	0	0	0	0	5	0	0	119	0	0	0	15	74	0	0	0	0	75	0	0	6	11	0	0	0	0	8	0	64	0	0	0	34	24	7	35
assemblage-397-422	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	54	0	96	0	27	8	0	9	0	0	0	0	12	0	0	16	0	0	0	28	0	0	0	108	0	0	0	84	0	0	29
assemblage-522-542	0	7	0	7	0	0	7	19	0	0	0	0	0	0	18	0	0	77	7	0	0	0	29	0	5	0	0	117	0	15	0	0	10	26	0	0	0	0	18	7	0	0	9	65	10	47
assemblage-506-441	0	0	0	0	0	0	0	0	0	0	16	0	0	0	10	0	0	120	0	0	0	4	81	0	0	0	0	72	0	0	0	13	0	0	0	0	0	0	46	0	0	0	53	23	0	46
assemblage-483-393	0	0	0	0	0	0	0	0	13	8	0	0	0	0	15	54	17	32	0	0	0	19	61	0	0	0	0	29	0	0	42	0	0	0	0	0	8	8	72	0	0	0	77	7	0	38
assemblage-557-369	13	0	0	0	0	0	0	24	0	0	0	15	9	7	0	0	0	92	0	0	0	0	52	11	0	0	16	38	0	32	0	0	15	37	0	13	0	0	0	0	0	29	0	11	0	61
assemblage-486-512	0	11	0	0	0	0	0	21	0	0	0	0	0	11	9	0	0	92	8	0	0	0	24	12	0	0	0	98	0	41	0	0	5	25	0	11	0	0	8	0	0	26	0	21	0	73
assemblage-417-720	0	0	12	0	0	0	0	0	4	0	0	0	0	0	9	34	0	49	0	0	6	6	61	0	0	0	0	33	8	0	19	0	0	0	20	0	7	14	95	0	12	0	86	0	0	16
assemblage-535-477	0	0	0	0	0	0	0	44	0	0	0	0	0	0	8	0	0	80	6	0	0	0	21	18	0	0	0	108	0	38	0	0	4	23	0	7	0	0	10	0	0	28	0	25	0	80
