Assemblage_Name	9123698-3217927-3401419	5110216-1-8203755	3-1-2	5519439-0-3200726	744980-1-6748898	5461596-1-4	744980-1-1	7569541-3-0	4-3-0	4-3217927-3401419	5110216-1-2	6844233-2174153-4	744980-5105010-1	679934-0-1	4-8253305-4	7017058-1-2	0-1-1	4-9225309-4707903	4-7609809-0	7017058-1-193398	5519439-9444447-6232222	1-2-7190323	1815099-6593214-8690317	3-0-4805973	4-469361-0	3-0-5994893	1815099-94714-8690317	1-2-2	4-8616408-0	1-206093-2	3120157-1-4	4-2174153-4	7051187-3-3401419	0-680779-5492773	2571331-1-2	8965373-9167021-4	7727282-1-193398	3199656-9225309-8690317	4-3-3401419	4-9189257-1193784	7409253-1-1	4768411-4-4	7017058-1-7170717	5519439-0-6232222	5251911-1-1	4-1-4	5110216-1016606-2	1428228-0-3234271	5519439-0-6406378	1815099-9225309-8690317	764347-3-3401419	4-9167021-1193784	2342318-1-1	4-3-9160963	3-1-1613950	4-4-4	4-9167021-4	744980-114172-1	0-1-1290604	8565870-1-1
assemblage-432-479	0	16	30	32	0	0	43	0	37	6	0	0	0	0	0	0	54	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	28	0	0	0	0	59	0	0	11	0	0	14	0	0	0	5	0	21	0	0	0	66
assemblage-644-557	0	0	65	0	8	0	38	0	18	0	0	0	0	30	15	0	31	19	6	6	0	21	0	0	0	30	0	0	0	0	0	0	0	0	16	0	0	0	13	13	0	0	0	30	0	24	0	18	0	0	0	0	0	0	0	32	17	0	0	50
assemblage-627-462	0	0	65	0	0	0	41	0	26	0	0	0	0	24	0	11	29	18	9	0	0	22	0	0	0	35	0	4	0	16	0	0	0	0	0	3	0	0	10	9	0	10	0	0	0	37	0	10	0	0	0	12	0	0	0	42	17	0	0	50
assemblage-565-418	6	7	56	39	0	0	10	0	37	0	0	0	0	0	10	12	105	0	0	3	0	12	0	10	0	7	0	0	0	0	0	0	0	19	0	0	0	0	6	0	0	0	0	30	0	0	9	2	0	0	0	0	0	0	0	50	0	0	0	70
assemblage-659-658	0	34	38	14	0	0	41	0	47	4	0	0	0	0	3	0	68	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	24	0	0	0	0	59	0	0	9	0	0	21	0	0	0	0	0	16	0	0	0	56
assemblage-577-441	0	28	42	22	0	0	76	7	23	0	0	0	0	0	0	0	36	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	41	0	0	0	0	0	20	0	0	0	18	23	0	0	0	21	0	27	0	0	4	43
assemblage-544-611	0	15	0	0	0	0	51	0	9	0	0	12	16	0	0	0	31	0	0	0	0	0	0	0	0	0	18	0	0	0	0	10	29	47	0	0	19	30	4	0	0	0	0	0	0	0	0	0	0	44	36	0	21	0	0	48	0	13	0	47
assemblage-433-652	0	0	69	0	0	6	52	0	18	0	0	0	0	21	0	13	31	20	14	0	0	24	0	0	0	32	0	0	0	12	0	0	0	0	0	0	0	0	11	0	0	8	0	5	0	28	0	17	0	0	0	8	0	0	0	48	23	0	0	37
assemblage-483-276	0	0	53	20	0	0	35	0	6	0	24	0	0	0	0	14	50	7	0	14	5	14	0	13	7	13	0	0	0	0	0	0	0	0	0	0	0	0	16	0	13	0	0	28	0	5	0	21	0	0	0	0	0	0	0	63	15	0	0	64
assemblage-429-313	0	26	0	0	0	0	38	0	11	0	0	20	14	0	0	0	27	0	0	0	0	0	0	0	0	0	12	0	0	0	0	16	28	48	0	0	20	34	4	0	0	0	0	0	0	0	0	0	0	31	48	0	13	0	0	66	0	8	0	26
assemblage-380-571	0	28	33	34	0	0	65	11	37	0	0	0	0	0	0	0	35	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	37	0	0	0	0	8	3	0	0	0	11	33	0	0	0	17	0	25	0	0	6	23
assemblage-494-372	0	31	14	37	0	0	65	0	43	2	0	0	0	0	5	0	61	0	0	12	0	8	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	24	0	0	0	0	46	0	0	4	0	0	16	0	0	0	0	0	14	0	0	0	61
assemblage-461-558	0	0	70	0	11	0	50	0	12	0	0	0	0	20	23	0	24	8	10	5	9	16	0	0	0	28	0	0	0	0	13	0	0	0	7	0	0	0	8	14	0	0	0	32	0	27	0	21	0	0	0	0	0	0	7	30	9	0	0	46
assemblage-538-547	0	0	37	23	0	0	38	0	17	0	16	0	0	0	5	16	42	18	0	11	8	26	0	9	7	8	0	0	0	0	0	0	0	0	0	0	0	0	13	0	10	0	0	34	0	19	0	24	0	0	0	0	0	0	0	49	5	0	0	52
assemblage-386-549	0	32	35	19	0	0	69	8	34	0	0	0	0	0	0	0	43	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	44	0	0	0	0	8	6	0	0	0	14	33	0	0	0	25	0	30	0	0	8	25
