Assemblage_Name	4-1-3232642	1339565-5580374-1	1879988-0-7671467	3-0-7105442	1339565-7538174-1	8965000-0-7105442	1339565-2456667-1	1-3949519-2	2-1-1	3-0-7492201	1339565-7484335-1	1-1-3	1-1-2	3-3-1	3-2616777-4	1879988-0-2038679	1-3375723-2	5450340-0-7105442	2-3-4	4-1-6533998	4-5540618-1	0-2-0	8411892-5540618-1	3-8150287-2	913286-1-4	7757010-3-2	861165-3-2	653731-1-1	5643196-3-2	3-5390960-2	1-0-1	4-1-1	3-0-7671467	3775960-2-0	1339565-6097364-1	3-0-4	938392-0-7671467	1339565-3-1	1124404-8150287-2	1-8019347-4404403
assemblage-617-545	0	0	0	26	0	0	0	0	49	0	0	28	22	38	10	0	0	0	22	0	25	35	0	2	7	0	0	4	59	20	17	31	0	0	0	7	0	73	0	13
assemblage-525-510	0	0	41	12	0	0	0	0	37	0	110	0	161	9	0	0	0	0	0	10	50	0	13	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	43
assemblage-507-435	22	0	101	0	0	0	0	0	0	0	68	0	221	0	0	21	0	0	0	19	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	19
assemblage-463-336	0	0	0	29	9	10	0	0	52	0	17	16	26	46	0	0	0	0	0	0	57	12	0	19	0	15	0	13	25	12	11	35	0	0	0	0	0	64	0	21
assemblage-377-570	0	0	33	30	0	0	0	0	13	11	106	0	123	38	0	0	0	0	0	9	37	8	0	0	0	31	11	0	0	0	0	0	0	0	0	0	0	0	0	44
assemblage-676-543	0	0	0	61	15	0	0	0	34	0	23	0	35	48	0	0	0	0	0	0	30	19	0	0	0	0	0	9	2	20	0	26	10	21	20	0	0	77	0	43
assemblage-470-601	0	0	0	13	0	0	0	0	43	0	6	48	8	59	9	0	0	0	15	0	16	17	0	7	7	0	0	0	38	14	21	43	0	0	0	10	0	96	0	24
assemblage-595-664	35	0	36	0	0	0	0	0	3	0	93	0	184	0	0	26	0	0	0	45	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-514-397	0	0	0	46	0	5	0	0	32	0	13	31	32	44	0	0	0	0	0	0	34	4	0	20	0	10	0	21	30	9	22	21	0	0	0	0	0	77	0	49
assemblage-294-555	0	0	64	4	0	0	0	0	57	6	104	0	147	0	0	0	0	0	0	11	45	0	17	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-326-635	29	20	103	0	0	0	12	24	0	0	78	0	167	0	0	0	15	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	25
assemblage-485-380	0	0	20	26	0	0	0	0	16	9	140	0	123	43	0	0	0	0	0	7	26	4	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	44
assemblage-616-551	9	0	54	0	0	0	0	0	14	6	73	0	195	0	0	15	0	0	0	40	52	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-634-469	0	0	4	39	0	0	0	0	13	0	72	0	95	46	0	0	0	7	0	0	50	41	0	0	0	22	0	0	0	0	0	2	0	0	8	0	0	27	17	45
