Assemblage_Name	2581266-4-1	4714289-4-1	2-1-5173486	7767156-2-1	3-4-7706627	3-5219007-1	3-4-4138814	3-5691757-1	5308540-1-0	2-3699471-0	6984668-4-7062564	3-4-3420650	3-7874582-3832917	0-7669892-1	2826122-7874582-1	3-2260941-5806071	4-0-4	5031352-2-1	9551775-1-0	2-1-3520996	0-2-1	3-1365739-1	3-0-1268566	3-4-7062564	3-0-4	7792431-4-1	3-7874582-1	2-1-0	2-1-1	3-2-8167752	8594824-4-1	3-4-1	3-0-4735914	5255421-4-1	9320988-4-1	49366-2-1	7767156-2-8808176	3-2-1	9916447-4-1	3-1851856-1	4480489-4-1	4356978-1-0	3-4-6402831	3-6594629-1
assemblage-486-668	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	32	204	0	0	0	134	0	0	0	8	34	71	0	0	0	0	0	7
assemblage-258-727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	59	17	0	0	178	0	0	0	0	48	0	0	0	0	0	0	10
assemblage-478-642	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	18	0	0	0	0	0	29	187	0	0	0	156	0	0	0	9	32	51	0	0	0	0	0	2
assemblage-688-285	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	18	0	0	0	10	0	142	3	0	0	0	182	0	0	0	0	0	41	0	0	0	0	0	10
assemblage-370-702	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	29	0	0	0	0	0	160	2	0	0	0	179	0	0	0	0	0	30	0	0	0	0	0	18
assemblage-611-922	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	6	54	0	0	0	0	0	22	134	0	5	0	195	0	0	0	0	0	67	0	0	0	0	0	5
assemblage-757-478	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	12	0	0	0	0	0	7	109	0	0	0	314	0	0	0	0	0	8	0	0	0	0	0	5
assemblage-746-471	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	10	0	0	0	0	0	12	91	0	0	0	326	0	0	0	0	0	10	0	0	0	0	0	11
assemblage-725-980	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	7	193	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-858-890	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	23	237	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-441-398	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	45	129	0	0	0	226	0	0	0	0	0	94	0	0	0	0	0	1
assemblage-437-378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	148	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-240-941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	203	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-762-597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	169	0	0	0	209	0	0	0	0	0	0	0	0	0	6	0	2
assemblage-365-269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	188	0	0	0	166	0	0	0	0	0	102	0	0	0	0	0	9
assemblage-597-286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	124	0	0	0	257	0	0	0	0	0	33	0	0	0	0	0	0
assemblage-605-286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	37	123	0	0	0	302	0	0	0	0	0	0	0	0	0	13	0	4
assemblage-137-330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	55	104	0	0	0	308	0	0	0	0	0	0	0	0	0	7	0	10
assemblage-502-119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	7	182	0	0	0	270	0	0	0	0	0	0	0	0	0	0	22	2
assemblage-903-862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	1	139	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-516-122	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	78	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-261-342	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	31	37	0	0	7	364	0	0	0	0	0	0	0	0	13	0	0	4
assemblage-412-860	0	0	0	0	0	5	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-685-929	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	26	0	0	32	42	0	0	0	348	0	0	0	0	0	0	0	0	9	0	0	4
assemblage-610-770	48	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	26	8	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-224-673	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	56	77	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-227-792	39	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	19	14	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-214-177	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	66	51	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-566-457	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	80	52	0	0	0	290	0	0	0	0	0	0	9	0	0	0	0	14
assemblage-243-162	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	32	43	0	0	0	395	0	0	0	0	0	0	0	0	0	0	0	1
