Assemblage_Name	1253084-6461353-3690398	7838470-4-4	9250483-2940857-4247886	1096323-282487-3	2571870-1-4	2-9879110-4	259451-2784453-945044	7898164-4-4	1096323-4674501-69959	9182140-4-4	9250483-2912850-1910941	9250483-2-8550662	9250483-2912850-3690398	4438101-2940857-3564609	1253084-2912850-3690398	5726754-2940857-3564609	0-6486247-1	2-4-2551	259451-9418323-945044	2-4-1208407	7887336-2912850-3690398	9250483-2940857-6370696	2-4-6106594	9250483-2940857-535074	1096323-8482485-3	9375504-4-4	9250483-4739584-3564609	2-3866104-4	4918483-3-1	9250483-2940857-2065712	0-7155891-1	4270754-2940857-3564609	0-3-5106284	2-4-622414	7323500-282487-945044	1096323-4674501-8406066	850140-2940857-2306122	9250483-2940857-2306122	7593779-4-4	0-253340-1	9250483-2912850-3294116	0-3-2322762	1096323-634170-7700696	1-9641329-1	2-4-3581261	7796385-6719383-1	9269088-2940857-3564609	1096323-1041637-3	9250483-2-3564609	7786358-4-7931544	9250483-2-3294116	1828308-3-1	0-313720-1	0-2477023-3302393	1582200-4-4	0-7155891-8306016	2089971-2-3564609	0-1807892-1	9250483-2-2897159	0-3-1111819	2819858-4-4	1096323-282487-9909432	8116811-282487-7700696	9250483-2-4989514	8248961-2940857-3564609	4031488-3-1	2-4-1198795	6181217-3-1	0-3-1	9250483-2940857-6292011	7796385-3-1	9250483-2-5244353	9243711-4-4	9232969-4-4	1096323-4674501-6648659	2-3403933-4	9583296-2940857-535074	2-8317292-4	7874479-4-4	1-2929067-1	1096323-8794419-7143150	9250483-2940857-3564609	1096323-4674501-3	624721-3-1	2-4-5943698	0-3-6851770	9250483-7062331-3564609	1096323-282487-7700696	2-8017825-4	7786358-3837555-4	259451-9418323-639432	3-9093859-4	2-4-3102876	1096323-3212873-3	3584631-2940857-2306122	8533087-2912850-3690398	2-8573887-4	1096323-4-3	4231519-3-1	5432570-4-4	6089336-282487-9909432	7786358-4-4	259451-282487-945044	0-6826734-1	9250483-2940857-6913254	9250483-3324239-3690398	891780-2940857-2306122	1096323-3628743-7143150	2-8870193-4	9250483-2940857-814505	0-5060438-1	8035716-2-3564609	1096323-282487-7840131	2-1647659-6106594	9250483-58703-2306122	0-3-2751789	259451-6233613-945044	9250483-6877975-3690398	1096323-4126181-3	2-4-4	259451-7794451-945044	8673129-3027135-6211056	0-3-5210436	7433455-3-1	9250483-1158341-3690398	1096323-4106346-3	0-3-3302393	8065718-4-6106594	8486408-2-3564609	2980534-4-4	2-4-5411575	1592312-282487-945044	1096323-4674501-9163195	259451-282487-7700696	7682563-2-3564609	2-2196540-4
assemblage-474-671	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-94-905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	56	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-103-910	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	69	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-350-720	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	17
assemblage-611-922	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	19
assemblage-689-282	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	27	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	13	13	0	43	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-581-731	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-925-970	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	8	0	132	0	9	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-731-474	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-743-627	0	0	0	0	0	0	0	7	9	6	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	143	0	46	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
