Assemblage_Name	0-1-0	3-6347038-4	1-3-6273544	3-3-6390249	3-3-5553618	0-905697-0	7960683-3-4	1-2-2	4-1-1508248	1-3-0	4-5126133-4	0-195350-0	4-1-5296582	3-3-4	1-3-9354531	3-5770618-4	0-3-9289091	4-1-4	4-8265316-4	1642017-1-4	3-3-2267948	0-3-4	1-2772111-0
assemblage-253-726	0	0	0	0	0	0	0	51	0	10	0	0	0	155	0	0	0	221	0	0	0	57	6
assemblage-113-897	0	0	0	0	0	0	0	10	0	0	0	0	0	7	0	0	5	269	0	0	0	209	0
assemblage-821-647	0	0	0	0	0	0	0	0	0	205	0	0	0	50	0	0	0	130	0	0	0	111	4
assemblage-360-710	24	0	0	0	0	0	0	6	0	156	0	0	0	23	0	0	0	245	0	0	0	46	0
assemblage-600-497	37	0	0	0	0	0	0	7	0	180	0	0	0	8	0	0	0	226	0	0	0	42	0
assemblage-339-716	31	0	0	0	0	0	0	23	0	54	0	0	0	17	0	0	0	254	0	0	0	121	0
assemblage-585-727	13	0	0	0	0	0	0	0	0	163	0	0	0	69	0	0	0	228	0	0	0	24	3
assemblage-597-731	93	0	0	0	0	0	0	0	0	65	0	0	0	68	0	0	0	238	0	0	0	33	3
assemblage-612-728	86	0	0	0	0	0	0	0	0	52	0	0	0	93	0	0	0	219	0	0	0	46	4
assemblage-758-647	133	0	0	0	0	0	0	0	0	30	0	0	0	73	0	0	0	259	0	0	0	0	5
assemblage-463-409	116	0	0	0	0	0	0	0	0	96	0	0	0	64	0	0	0	140	0	0	0	82	2
assemblage-455-398	136	0	0	0	0	0	0	0	0	51	0	23	0	101	0	0	0	189	0	0	0	0	0
assemblage-383-267	111	0	0	0	0	0	0	0	0	21	0	23	0	109	0	0	0	226	0	0	0	10	0
assemblage-516-766	129	0	0	0	0	0	0	0	0	85	0	5	0	42	0	0	0	143	0	0	0	90	6
assemblage-240-941	39	0	0	0	0	0	20	0	0	48	0	0	0	266	0	0	0	108	0	0	0	10	9
assemblage-597-286	135	0	0	0	0	8	0	0	0	8	0	0	0	150	0	0	0	112	0	0	0	81	6
assemblage-236-475	0	0	0	0	0	0	0	0	8	27	0	0	0	80	0	0	0	228	0	0	0	151	6
assemblage-936-352	128	0	0	0	0	11	0	0	0	12	0	0	0	140	0	0	0	104	0	0	0	103	2
assemblage-474-731	5	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	154	0	0	0	128	6
assemblage-519-125	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	161	0	0	0	178	2
assemblage-894-875	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	179	0	0	0	122	7
assemblage-264-339	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	194	0	0	0	187	0
assemblage-358-487	33	0	0	0	0	0	0	0	0	0	0	0	0	147	0	6	0	210	0	0	0	104	0
assemblage-347-470	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	193	0	0	0	91	5
assemblage-223-654	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	11	0	158	0	0	0	71	3
assemblage-613-755	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	184	0	0	0	150	6
assemblage-336-184	0	38	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	187	0	0	0	71	4
assemblage-385-320	0	0	0	0	55	0	0	0	0	0	10	0	0	140	0	0	0	68	0	0	0	226	1
assemblage-576-485	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	187	0	0	0	60	12
assemblage-385-319	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	197	0	0	0	51	7
