Assemblage_Name	8680643-1-7326663	2-977047-1	8680643-3051886-1	2-2-2843717	2-6970636-1	8680643-1299790-1	8680643-1-3518041	9926351-2-1	8680643-1-4363433	5642818-1-1	0-1-3	1727733-1-2	8680643-3883396-1	8680643-1-6927090	2-8135966-4	2611247-1-1	6199269-1-1	2-2-7489580	2-2-1	2-2-4	8680643-3236979-1	2-2-4911496	3-1-2	8680643-1-191911	2-3604130-1	8691549-1-1	2-3845330-4911496	8680643-1-7897765	3605068-1-1	2-727604-1	2-2-1623867	7860719-1-1	2-2-7309001	6873563-1-2	2-2-8218995	2721792-1-7326663	8680643-3595808-1	8680643-680383-1	2459639-1-1	8680643-2016139-1	8680643-6189373-1	2-2-373908	8680643-8275856-1	6764002-1-2	8680643-2441629-1	3407798-1-1	316124-1-1	4165994-1-1	2-8619619-373908	3-3355095-2	8680643-1-1	8680643-1-3023496
assemblage-492-657	0	0	0	0	0	0	0	0	0	0	103	0	0	10	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	36	0	7	220	9
assemblage-818-645	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	11
assemblage-482-665	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	19	0	3	245	17
assemblage-369-692	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	49	195	0	0	30	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	45	5
assemblage-632-931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	36	31	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	319	9
assemblage-339-716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	243	24
assemblage-732-983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	50	0	0	42	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	123	0	0	0	0	0	0	10	0	185	5
assemblage-722-982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	96	58	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	197	2
assemblage-914-974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	92	45	11	0	16	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	241	8
assemblage-824-118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	3	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	222	1
