Assemblage_Name	1225544-2-4241819	1-1-3967255	2311512-3-3	4-2-2	1-1-625855	4-2-8227247	1225544-8467187-2	2311512-7415820-3	4-2-8722902	2433707-1-3462151	7049325-1-1273541	1225544-2-4635812	3-1-1	2433707-1-8722668	1225544-8421260-6909933	1554379-1-1	8927796-3-2780017	2-8214653-3	4-2-1750078	2311512-3-9991796	1-1-1	1-4040538-4	1225544-1942560-5270602	3571890-3-1	1173418-3-1	6397018-3-3	2-4390420-3	1225544-2-2	8459990-3-3	5041593-2-2	1-0-5856384	1-5095777-1	0-3-3	9720902-2-2	2311512-1493648-2153494	4-3-1	0-1-5575467	4-4-4	2-3-3	2311512-2043509-3	4-1083281-839411	2113960-3-3	7452517-2-2	4-3974182-8227247	1-1890683-4	1-5716824-1	1-1-9020429	1-1-8557310	1-3142481-1	1238930-1-1273541	3383295-2-2	4-2-9552768	8927796-3-3	2433707-4980825-3462151	1-8834883-4	2-3-832962	9081921-3-1	2433707-4980825-8167389	1-1-5101159	3-0-433989	1-1-9896181	4-2-839411	1-0-4	4812388-0-4	1-0-4401789	475834-2-9552768	1-9154783-1	2433707-7578169-3462151	1-2437515-4	6124420-1-1	1-1-91153	2-4134137-3	1-6496854-1	5274824-1-8557310	4-2-4032186	1-3588763-1	3473890-5095777-1	5389461-2-2174818	0-3-9890276	4-5261196-1	3-2-7758887	4-4-2	1-1-1117122	8934506-1-1	8846108-2-2	1-2536769-1	5389461-2-2	1-1384089-1
assemblage-401-599	0	0	16	125	0	0	0	0	0	21	0	0	25	0	0	0	0	0	0	0	29	0	0	0	0	0	0	12	0	0	0	0	16	0	0	16	0	0	18	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	10	0	29	0	0	8	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	0	0	0	0	0	34
assemblage-366-456	0	0	16	116	0	0	0	0	9	19	0	0	13	0	0	0	0	0	0	0	30	0	0	0	0	0	0	4	0	0	0	0	4	0	0	37	0	10	23	0	0	0	0	0	15	0	0	0	0	0	0	0	0	6	10	0	33	0	0	11	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0	0	0	27
assemblage-665-452	0	0	16	102	0	0	0	0	0	21	0	0	9	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10	0	0	0	0	6	0	0	23	6	8	25	0	0	0	0	0	9	0	0	0	0	0	0	0	0	9	22	0	27	0	0	12	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	15	0	0	0	0	0	33
assemblage-457-430	0	0	22	87	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	23	0	0	0	0	0	0	0	20	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	26	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	52
assemblage-542-538	0	0	28	103	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	33	0	0	6	0	0	0	0	25	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	7	0	29	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	30
assemblage-645-556	0	0	21	98	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	40	0	0	0	0	0	0	0	14	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	8	0	4	10	0	39	0	0	8	0	0	107	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	29
assemblage-584-311	0	0	24	61	0	0	0	0	0	33	0	0	0	9	0	0	0	0	0	0	53	0	0	0	0	0	0	76	0	0	0	0	0	0	0	27	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	11	0	17	0	0	28	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	34
assemblage-676-543	3	0	38	87	0	0	0	0	0	36	0	0	0	5	0	0	0	0	9	0	70	0	0	0	0	0	0	62	0	0	0	0	0	0	0	23	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	13	0	8	0	0	21	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	23
assemblage-490-423	0	0	34	70	0	0	0	0	0	42	0	0	0	10	0	0	0	0	1	0	53	0	0	0	0	0	0	72	0	0	0	0	0	0	0	29	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	12	0	17	0	0	32	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	32
assemblage-646-432	2	0	20	62	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	93	0	0	0	0	0	0	0	25	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	26	0	12	0	0	13	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
