Assemblage_Name	0-4-1176888	1-1-0	1-1-2	2597970-4-9640881	2760152-1-0	3924539-0-0	3-3-3	2597970-4108344-6658736	3-9599116-0	2597970-4-1	3-4-1	0-4-2	0-4-181774	2-2-4	4-4925830-0	2597970-4-8635923	4-0-0	4-0-4	3-4-3823792	2-1-680699	0-9988645-1176888	2112414-0-4	1-2050405-0	7259670-4-1176888	3-4-3567654	3-4-0	3308252-1-0	1-1-7748515	1120511-1-0
assemblage-458-479	0	67	28	38	0	11	0	6	0	4	55	102	0	20	0	0	22	43	0	0	0	0	0	0	0	91	0	0	13
assemblage-401-535	0	92	23	25	0	8	0	13	0	0	50	103	0	21	0	0	11	49	0	0	0	0	0	0	0	91	0	0	14
assemblage-525-433	0	77	32	26	0	11	0	8	0	1	48	121	0	11	0	0	16	52	0	0	0	0	0	0	0	80	0	0	17
assemblage-497-493	17	34	4	17	0	18	0	0	0	0	75	189	0	9	0	10	0	36	0	0	0	0	0	0	7	80	0	0	4
assemblage-548-384	19	44	5	15	0	41	0	13	0	0	76	165	0	8	0	8	0	33	0	0	0	0	0	0	6	62	0	0	5
assemblage-390-620	17	50	0	16	0	24	0	0	0	0	85	163	0	5	0	6	0	45	0	0	0	0	0	0	8	75	0	0	6
assemblage-348-464	39	49	14	0	0	37	0	0	0	0	72	122	0	0	0	11	0	76	0	0	0	0	0	0	0	74	0	0	6
assemblage-435-407	50	44	18	0	0	55	0	0	0	0	66	122	0	0	0	12	0	62	0	0	0	0	0	0	0	67	0	0	4
assemblage-362-460	38	63	21	0	0	35	0	0	0	0	50	156	0	0	0	24	0	56	0	0	0	0	0	0	0	57	0	0	0
assemblage-634-469	111	50	0	0	0	28	0	0	0	0	34	89	0	0	0	8	0	92	0	0	0	0	0	0	0	79	0	0	9
assemblage-646-432	102	68	0	0	4	17	0	0	0	0	41	93	0	0	0	11	0	66	0	0	0	0	0	0	0	92	0	0	6
assemblage-340-403	114	59	0	0	0	23	0	0	0	0	39	83	0	0	0	7	0	76	0	0	0	7	0	0	0	83	0	0	9
assemblage-445-476	129	35	0	0	0	4	0	0	0	0	38	97	0	0	0	0	0	63	0	0	0	0	0	0	0	122	0	0	12
assemblage-565-418	127	43	0	0	0	6	0	0	0	0	35	113	0	0	0	0	0	66	0	0	0	0	0	0	0	102	0	0	8
assemblage-603-692	130	52	0	0	0	0	0	0	0	0	29	96	0	0	0	0	0	51	0	0	0	0	0	0	0	128	0	0	14
assemblage-606-491	174	24	0	0	0	0	0	0	0	0	35	55	12	0	0	0	0	82	0	0	0	0	0	0	0	112	0	0	6
assemblage-332-527	172	12	0	0	0	0	0	0	0	0	45	79	13	0	0	0	0	49	0	0	6	0	0	0	0	121	0	0	3
assemblage-558-490	180	13	0	0	0	0	0	0	0	0	45	63	19	0	0	0	0	55	0	0	7	0	0	0	0	116	0	0	2
assemblage-524-551	106	62	0	0	0	0	0	0	0	0	14	88	63	0	0	0	0	24	0	0	22	0	0	0	0	118	0	0	3
assemblage-435-567	122	43	0	0	0	0	0	0	0	0	26	67	61	0	0	0	0	26	0	0	22	0	0	0	0	133	0	0	0
assemblage-455-462	127	59	0	0	0	0	0	0	0	0	22	81	51	0	0	0	0	26	0	0	24	0	0	0	0	106	0	0	4
assemblage-571-480	77	90	0	0	0	0	0	0	0	0	0	87	104	0	0	0	0	25	0	0	39	0	0	19	0	53	0	0	6
assemblage-596-549	102	79	0	0	0	0	0	0	0	0	0	83	91	0	0	0	0	28	0	0	47	0	0	7	0	52	0	0	11
assemblage-372-614	101	77	0	0	0	0	0	0	0	0	0	58	101	0	0	0	0	51	0	0	52	0	0	11	0	44	0	0	5
assemblage-544-701	38	70	0	0	0	0	0	0	0	0	0	61	130	0	0	0	0	24	0	0	36	0	14	34	0	78	15	0	0
assemblage-556-407	40	54	0	0	0	0	0	0	0	0	0	75	126	0	0	0	0	27	0	0	50	0	12	45	0	59	11	0	1
assemblage-465-544	35	57	0	0	0	0	0	0	0	0	0	50	122	0	0	0	0	21	0	0	57	0	9	37	0	99	10	0	3
assemblage-652-467	6	106	0	0	0	0	0	0	0	0	0	36	82	0	0	0	0	17	0	0	13	0	20	72	0	112	23	0	13
assemblage-539-478	6	89	0	0	0	0	0	0	4	0	0	45	66	0	0	0	0	22	0	0	13	0	34	83	0	121	12	0	5
assemblage-550-455	6	72	0	0	0	0	0	0	1	0	0	27	83	0	0	0	0	31	0	0	15	0	32	93	0	121	17	0	2
