Assemblage_Name	5714144-2-2	7782119-2-0	1-2-3078652	2307670-7634212-1	1-2-5048973	4-1612912-0	4-2-6536330	2307670-3-8584371	3-2360391-0	4-5265452-0	1756019-1376715-0	1-6108526-3078652	1-1-2	1-113770-2	9117045-1376715-0	210748-6294759-659272	8800037-1376715-0	0-0-4	0-0-3	210748-1376715-4149471	3-1376715-5873797	2198512-2-0	3-161504-0	0-3-0	2307670-6105147-1	1-2-2	1-2-4	1-8808924-2	0-0-135909	210748-6597144-0	210748-1376715-0	210748-1376715-557274	1-2-2857724	3-1376715-9079443	1-3-1	4-2-0	1-2-3075251	3-4-3	3-5407582-0	344050-2-2	2307670-3985964-1	210748-1376715-659272	1-638731-2	0-3-980271	4-2-8996639	3-0-97815	2307670-3-1	8800037-5049214-0	3-0-0	1-2-518940	7775508-2-2	3-8592064-3	4267967-6105147-1	3-1376715-0	6688287-6105147-1	8768666-3-1	3060250-1376715-0	9730435-0-0	5887318-2-2
assemblage-438-651	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	38	17	0	0	0	0	16	0	74	28	0	0	0	0	0	0	8	26	44	0	13	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	112	0	10	0	0	17
assemblage-663-385	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	35	13	0	0	0	0	17	0	51	25	0	0	0	0	0	0	7	44	24	0	22	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	117	0	12	0	6	23
assemblage-529-483	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	31	8	0	0	0	0	13	0	84	22	0	0	0	0	0	0	12	32	41	0	12	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	121	0	8	0	4	20
assemblage-548-384	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	20	0	0	0	0	0	18	0	86	38	0	15	0	0	0	0	19	42	48	0	8	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	140	0	4	0	0	20
assemblage-448-250	0	0	0	0	10	0	0	0	0	0	0	0	8	0	0	0	0	32	0	0	0	0	0	18	0	94	26	0	13	0	0	0	0	11	45	35	0	6	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	138	0	0	0	0	27
assemblage-384-352	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	23	0	0	0	0	0	14	0	100	23	0	5	0	0	0	0	4	55	52	0	5	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	148	0	0	0	0	24
assemblage-345-403	0	0	14	0	8	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	9	0	102	35	0	0	0	7	0	0	0	95	47	0	4	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	120	0	9	0	0	30
assemblage-300-435	0	0	15	0	11	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	4	0	99	22	0	0	0	12	0	0	0	85	52	0	12	0	0	0	0	0	0	0	0	7	0	9	0	0	0	0	122	0	0	0	0	41
assemblage-477-268	0	0	7	0	7	3	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	5	0	106	32	0	0	0	12	0	0	0	81	38	0	8	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	139	0	12	0	0	33
assemblage-388-522	0	0	27	0	9	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	137	4	0	0	0	15	0	0	0	65	49	14	16	0	0	0	0	0	0	0	0	23	0	0	0	0	12	0	98	0	0	0	0	21
assemblage-450-482	0	0	32	0	4	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	139	14	0	0	0	16	0	0	0	60	53	8	17	0	0	0	0	0	0	0	0	24	0	0	0	0	12	0	91	0	0	0	0	13
