Assemblage 	OriginTime	Duration
assemblage-581-474	11100	900
assemblage-227-549	7500	900
assemblage-606-491	7500	900
assemblage-673-568	3900	900
assemblage-702-358	7500	900
assemblage-558-310	3000	900
assemblage-497-574	5700	900
assemblage-605-473	3000	900
assemblage-348-355	4800	900
assemblage-616-507	3000	900
assemblage-532-354	5700	900
assemblage-363-547	3900	900
assemblage-529-629	11100	900
assemblage-707-574	10200	900
assemblage-363-465	3900	900
assemblage-368-631	8400	900
assemblage-411-672	4800	900
assemblage-348-464	4800	900
assemblage-698-498	5700	900
assemblage-497-493	3900	900
assemblage-409-524	8400	900
assemblage-696-326	3000	900
assemblage-404-579	5700	900
assemblage-596-514	8400	900
assemblage-387-549	9300	900
assemblage-612-665	10200	900
assemblage-432-615	5700	900
assemblage-767-668	7500	900
assemblage-525-510	7500	900
assemblage-543-479	8400	900
assemblage-275-306	8400	900
assemblage-436-616	11100	900
assemblage-535-590	7500	900
assemblage-496-517	4800	900
assemblage-511-550	4800	900
assemblage-565-445	8400	900
assemblage-392-520	11100	900
assemblage-529-483	3000	900
assemblage-530-503	3000	900
assemblage-362-460	4800	900
assemblage-663-385	3000	900
assemblage-548-384	3900	900
assemblage-499-650	6600	900
assemblage-291-504	3000	900
assemblage-436-466	9300	900
assemblage-502-519	11100	900
assemblage-529-551	11100	900
assemblage-472-658	3900	900
assemblage-521-552	10200	900
assemblage-507-435	10200	900
assemblage-521-555	3900	900
assemblage-444-561	6600	900
assemblage-463-336	3900	900
assemblage-384-352	3900	900
assemblage-527-523	6600	900
assemblage-432-479	7500	900
assemblage-544-611	11100	900
assemblage-550-465	3900	900
assemblage-486-541	3000	900
assemblage-557-394	8400	900
assemblage-371-326	8400	900
assemblage-377-570	6600	900
assemblage-390-415	3900	900
assemblage-394-439	7500	900
assemblage-649-566	10200	900
assemblage-603-296	3900	900
assemblage-538-178	10200	900
assemblage-616-551	8400	900
assemblage-418-418	9300	900
assemblage-587-430	7500	900
assemblage-318-446	11100	900
assemblage-591-436	4800	900
assemblage-296-526	3000	900
assemblage-266-508	10200	900
assemblage-462-687	3900	900
assemblage-388-522	5700	900
assemblage-402-587	9300	900
assemblage-648-678	3900	900
assemblage-457-430	3900	900
assemblage-676-543	4800	900
assemblage-518-329	5700	900
assemblage-658-550	8400	900
assemblage-720-545	3000	900
assemblage-649-269	11100	900
assemblage-417-539	9300	900
assemblage-549-367	10200	900
assemblage-685-459	8400	900
assemblage-405-228	6600	900
assemblage-405-545	8400	900
assemblage-549-340	10200	900
assemblage-532-424	11100	900
assemblage-559-455	3000	900
assemblage-471-550	5700	900
assemblage-617-323	5700	900
assemblage-381-447	9300	900
assemblage-457-537	6600	900
assemblage-559-518	7500	900
assemblage-441-323	8400	900
assemblage-572-411	4800	900
assemblage-470-601	3000	900
assemblage-331-488	8400	900
assemblage-456-628	6600	900
assemblage-652-467	11100	900
assemblage-643-414	8400	900
assemblage-595-664	9300	900
assemblage-401-535	3000	900
assemblage-334-568	5700	900
assemblage-340-439	11100	900
assemblage-617-545	3000	900
assemblage-546-560	3900	900
assemblage-701-642	4800	900
assemblage-644-557	4800	900
assemblage-395-617	10200	900
assemblage-366-456	3000	900
assemblage-655-541	5700	900
assemblage-493-392	4800	900
assemblage-410-494	10200	900
assemblage-545-352	4800	900
assemblage-528-259	11100	900
assemblage-257-556	10200	900
assemblage-586-500	6600	900
assemblage-565-525	9300	900
assemblage-695-531	6600	900
assemblage-395-421	8400	900
assemblage-489-343	7500	900
assemblage-627-462	3900	900
assemblage-584-383	10200	900
assemblage-546-364	6600	900
assemblage-499-459	4800	900
assemblage-458-568	3900	900
assemblage-551-626	4800	900
assemblage-491-463	3000	900
assemblage-645-438	7500	900
assemblage-416-479	10200	900
assemblage-663-438	11100	900
assemblage-511-565	6600	900
assemblage-521-511	3000	900
assemblage-618-649	9300	900
assemblage-305-539	8400	900
assemblage-576-492	6600	900
assemblage-454-498	3900	900
assemblage-387-655	9300	900
assemblage-565-418	6600	900
assemblage-441-399	6600	900
assemblage-659-658	7500	900
assemblage-328-461	5700	900
assemblage-392-423	6600	900
assemblage-662-436	3900	900
assemblage-342-496	9300	900
assemblage-731-334	6600	900
assemblage-577-441	8400	900
assemblage-425-523	8400	900
assemblage-473-507	4800	900
assemblage-448-485	6600	900
assemblage-566-327	3000	900
assemblage-385-572	3000	900
assemblage-450-482	5700	900
assemblage-519-486	6600	900
assemblage-330-439	7500	900
assemblage-478-510	9300	900
assemblage-527-553	7500	900
assemblage-410-427	10200	900
assemblage-372-614	9300	900
assemblage-330-618	11100	900
assemblage-611-453	4800	900
assemblage-455-462	8400	900
assemblage-470-542	6600	900
assemblage-494-612	7500	900
assemblage-558-490	7500	900
assemblage-513-431	3000	900
