assemblage	easting	northing
assemblage-440-414	440	414
assemblage-428-423	428	423
assemblage-454-431	454	431
assemblage-428-409	428	409
assemblage-419-440	419	440
assemblage-419-432	419	432
assemblage-436-415	436	415
assemblage-444-418	444	418
assemblage-956-899	956	899
assemblage-971-933	971	933
assemblage-955-925	955	925
assemblage-963-933	963	933
assemblage-963-905	963	905
assemblage-965-927	965	927
assemblage-983-911	983	911
assemblage-974-919	974	919
assemblage-486-677	486	677
assemblage-493-666	493	666
assemblage-505-653	505	653
assemblage-495-669	495	669
assemblage-491-652	491	652
assemblage-504-675	504	675
assemblage-494-668	494	668
assemblage-496-654	496	654
assemblage-844-496	844	496
assemblage-843-512	843	512
assemblage-859-499	859	499
assemblage-856-509	856	509
assemblage-848-504	848	504
assemblage-856-504	856	504
assemblage-863-503	863	503
assemblage-869-510	869	510
assemblage-408-809	408	809
assemblage-390-801	390	801
assemblage-393-805	393	805
assemblage-393-803	393	803
assemblage-399-803	399	803
assemblage-375-787	375	787
assemblage-373-790	373	790
assemblage-397-779	397	779
assemblage-968-844	968	844
assemblage-958-854	958	854
assemblage-962-848	962	848
assemblage-964-845	964	845
assemblage-959-848	959	848
assemblage-953-864	953	864
assemblage-953-850	953	850
assemblage-954-840	954	840
assemblage-180-470	180	470
assemblage-205-456	205	456
assemblage-181-462	181	462
assemblage-195-455	195	455
assemblage-199-476	199	476
assemblage-199-466	199	466
assemblage-172-461	172	461
assemblage-200-472	200	472
assemblage-931-759	931	759
assemblage-928-765	928	765
assemblage-912-785	912	785
assemblage-923-779	923	779
assemblage-902-784	902	784
assemblage-908-762	908	762
assemblage-926-782	926	782
assemblage-936-773	936	773
assemblage-881-672	881	672
assemblage-866-658	866	658
assemblage-862-661	862	661
assemblage-868-649	868	649
assemblage-870-655	870	655
assemblage-863-648	863	648
assemblage-867-659	867	659
assemblage-874-653	874	653
assemblage-135-471	135	471
assemblage-99-491	99	491
assemblage-108-487	108	487
assemblage-94-496	94	496
assemblage-104-483	104	483
assemblage-94-494	94	494
assemblage-118-500	118	500
assemblage-122-489	122	489
assemblage-860-563	860	563
assemblage-866-568	866	568
assemblage-877-571	877	571
assemblage-857-558	857	558
assemblage-877-568	877	568
assemblage-887-564	887	564
assemblage-877-569	877	569
assemblage-877-553	877	553
assemblage-274-943	274	943
assemblage-248-931	248	931
assemblage-283-928	283	928
assemblage-269-930	269	930
assemblage-255-927	255	927
assemblage-282-940	282	940
assemblage-262-925	262	925
assemblage-266-940	266	940
assemblage-186-430	186	430
assemblage-190-406	190	406
assemblage-203-418	203	418
assemblage-201-414	201	414
assemblage-206-394	206	394
assemblage-201-413	201	413
assemblage-207-398	207	398
assemblage-204-396	204	396
assemblage-664-969	664	969
assemblage-687-960	687	960
