Assemblage_Name	2-1149162-1	769557-1-4	3977938-1-4	2-788848-1	4-7139307-6506681	0-1-9353774	1987421-788848-1	0-1-3397907	0-2-2	0-2-1	2-788848-6801125	0-2-4725595	4-1-6198269	0-1-4	625119-9610011-6506681	3415172-1-6506681	0-2-2517107	4-1-5751290	0-2-4565353	2-3642302-1	4-350507-6506681	2-5319783-1	0-2531495-4	8893364-788848-1	0-7378085-2	2355027-1-4	6241419-788848-1	871336-3926268-1	2-788848-3032958	0-5598643-2	4-1-1976127	2-7277653-1	3415172-7161070-6506681	2-788848-4897472	4-1-3828792	0-2-883048	5672784-788848-1	2-788848-6414613	4-3761172-6506681	2733779-1622372-1	2-788848-3573582	625119-1-6506681	2812819-1-6506681	3415172-6001351-6506681	0-3771684-1	7236082-788848-1	8944468-788848-1	2-3465386-1	4645174-1-6506681	0-6766921-6806150	8214112-2-2	1-2-1	7511239-1-6506681	2-6061809-1	0-7977252-4	2-3116814-1	4-1-3058990	8210078-1-4	4-1-6506681	162834-1-6506681	8014858-3116814-1	0-1-6806150	4331408-788848-1	2874747-2-2	0-2-855711
assemblage-160-948	0	0	0	289	0	0	0	0	0	0	27	0	0	50	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	12	63	0	0	0	0	20	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	7
assemblage-357-334	0	0	0	157	0	13	0	0	0	0	0	0	0	88	0	134	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	14
assemblage-679-391	0	0	0	264	0	0	0	0	0	0	0	0	0	26	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	52	0	0	0	44	0	21
assemblage-610-223	0	0	0	241	0	0	0	0	0	0	0	0	0	97	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	30	0	15	0	0	23	0	0	0	15	0	8
assemblage-688-487	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	10
assemblage-349-339	0	0	0	141	0	0	0	0	0	0	0	0	0	111	0	106	0	0	0	0	0	0	9	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	111	0	0	0	0	0	10
assemblage-803-461	0	0	0	68	0	0	0	0	54	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	54	0	11
assemblage-260-232	0	0	0	17	0	0	0	0	99	188	0	0	9	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	98	0	0	0	0	0	11
assemblage-977-352	0	0	0	185	0	0	0	0	12	0	0	0	0	127	0	25	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	14	0	0	8
assemblage-614-667	0	0	0	21	0	0	0	4	145	10	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	10	0	2
assemblage-198-177	0	0	0	0	0	0	0	0	119	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	324	0	0	0	0	0	19
assemblage-898-542	0	0	0	45	0	0	0	0	343	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	10
assemblage-942-233	0	0	0	74	0	0	0	0	24	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	9
assemblage-894-247	0	0	19	136	0	0	0	0	13	0	0	0	0	95	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	154	0	0	0	53	0	1
assemblage-894-530	0	0	0	53	0	0	0	0	338	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	89	0	0	0	0	0	4
assemblage-930-240	0	5	0	0	0	0	0	0	36	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	13
assemblage-411-344	0	0	0	141	0	0	0	0	0	0	0	0	0	122	0	98	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	105	0	0	0	0	0	16
assemblage-673-417	0	0	0	246	0	0	0	0	0	0	0	0	0	116	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	30	0	7
assemblage-254-333	0	0	0	187	0	0	0	0	8	0	0	0	0	102	0	22	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	11	6	0	12
assemblage-260-332	10	0	0	165	0	0	0	0	10	0	0	0	0	82	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	22	0	5
assemblage-681-262	0	0	0	171	0	0	4	0	0	0	0	0	0	64	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	10	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	90	0	0	0	38	0	17
assemblage-925-280	0	0	0	95	0	0	0	0	8	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	97	0	0	0	35	0	9
assemblage-371-813	0	0	0	275	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	14
assemblage-172-952	0	0	0	233	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	7	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	16
assemblage-887-413	0	0	0	75	0	0	0	0	72	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	45	0	17
assemblage-333-235	0	0	0	184	0	0	0	0	12	0	0	0	0	94	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	17	0	13
assemblage-296-570	0	0	0	141	0	0	0	0	0	0	0	0	0	116	0	91	0	0	0	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	122	0	0	0	0	0	7
assemblage-292-563	0	0	0	216	0	0	0	0	0	0	0	0	0	57	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	10	0	0	0	0	0	0	0	0	0	0	104	0	0	0	48	0	9
assemblage-357-256	0	0	0	0	0	0	0	0	25	208	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	13
assemblage-897-536	0	0	0	57	0	0	0	0	320	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	93	0	0	0	0	0	7
assemblage-957-688	0	0	0	89	0	0	0	0	73	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	51	0	12
assemblage-344-340	0	0	0	184	0	12	0	0	0	0	0	0	0	72	0	130	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	12
assemblage-340-239	0	0	0	165	0	0	0	0	11	0	0	0	0	97	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	16	0	15
assemblage-928-253	0	0	0	79	0	0	0	0	78	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	58	0	5
assemblage-449-332	0	0	0	0	0	0	0	0	0	473	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-261-238	0	0	0	0	0	0	0	0	0	191	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0
assemblage-363-786	0	0	0	218	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	13	147	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	48	0	2	0	0	0	12
assemblage-279-115	0	0	0	71	0	0	0	0	107	36	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	18	0	10
assemblage-543-930	0	0	0	95	0	0	0	0	65	37	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	10
assemblage-629-460	0	0	0	0	0	0	0	0	132	107	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	15
assemblage-815-972	0	0	0	102	0	0	0	0	65	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	8	0	1
assemblage-597-662	0	0	0	20	0	0	0	0	125	11	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	8	0	5
assemblage-292-549	0	0	0	104	0	0	0	0	74	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	9	0	14
assemblage-631-459	0	0	0	0	0	0	0	0	126	115	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	16
assemblage-353-336	0	0	0	185	0	15	0	0	0	0	0	0	0	89	0	107	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	7
assemblage-293-129	0	0	0	62	0	0	0	0	87	97	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	3
assemblage-370-312	0	0	0	191	0	13	0	0	0	0	0	0	0	86	0	114	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	12
assemblage-929-253	0	0	0	0	0	0	0	0	33	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	24
assemblage-295-545	0	0	7	118	0	0	0	0	16	0	0	0	0	92	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	158	0	0	0	69	0	12
assemblage-646-853	0	0	8	158	0	0	0	0	21	0	0	0	0	87	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	148	0	0	0	44	0	8
assemblage-280-126	0	0	0	104	0	0	0	0	72	25	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	6
