Assemblage_Name	3573848-3-2	4396436-3-3401820	4-0-892269	7429622-2-9907803	1-4130068-1584425	4396436-3-8119466	7429622-3987981-4	4810541-7988434-2928704	7429622-2-9473622	4810541-7988434-0	4396436-3-9062055	1-4130068-2	3828229-2-9907803	1-3-577374	0-7988434-0	3282695-9613117-7314947	1-3-4436039	4396436-3-3	4-2784060-0	686001-3-3	7429622-5337405-9907803	2846167-4130068-2	4-0-0	4396436-5598585-3	7429622-9269281-9907803	8165717-3-2	4-2146797-0	4396436-8110273-3401820	1738936-4-4	4396436-9266315-3401820	4659605-3-3401820	2-1-2180474	835787-3-3	2751895-2-4	1-3-9197026	7429622-1803834-9907803	3573848-219884-2	1-3-2	18497-2-9907803	3027991-2-9907803	9101530-4-4	4396436-3-1807025	4396436-1994040-3401820	4396436-3-373382	7429622-9613117-9907803	7429622-9613117-7314947	1-3-8876407	7429622-2-4	4396436-3049123-3	1-4358593-9470511	4659605-3-2992180	1-2-4	4396436-4775088-3401820	4803636-0-0	4396436-927848-3401820	1-2340016-2	1-4358593-703331	8657815-4-4	4396436-6141557-3	4396436-779383-3	4396436-3-908242	4396436-3-2352411	4396436-3-8849965	1-5173068-2	4396436-3-4685328	1-2365966-2	2449968-3-3401820	4396436-3897559-3401820
assemblage-160-948	0	95	0	59	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	34	0	0	95	0	26	0	0	0	0	67	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-357-334	0	109	0	13	0	0	0	0	0	0	0	8	0	0	0	0	0	60	0	0	0	0	200	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	11	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-679-391	0	110	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	26	0	0	46	0	0	0	0	0	0	105	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-610-223	0	134	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	135	0	50	0	0	0	0	39	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-688-487	0	109	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	9	0	0	110	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-349-339	0	61	0	126	0	0	0	0	0	0	0	19	0	0	0	0	0	25	0	0	0	0	121	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	40	0	44	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	6	0	0	13
assemblage-803-461	0	47	0	91	0	0	0	0	0	0	0	125	0	0	0	0	0	82	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	41	0	0	0	24	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-260-232	13	16	0	11	0	0	0	0	0	44	0	0	0	0	52	0	0	48	0	0	0	0	70	0	0	0	0	0	4	0	0	0	0	0	0	0	0	61	0	0	62	0	0	0	0	0	0	48	0	45	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-977-352	0	208	0	119	0	0	0	0	0	0	0	48	0	0	0	0	0	24	0	0	0	0	39	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	7
assemblage-614-667	0	10	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	15	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
assemblage-198-177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-898-542	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	149	0	148	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-942-233	0	152	0	18	0	0	0	0	0	0	0	89	0	0	0	0	0	75	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	7	0	0	0	10	0	0	18	0	19	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-894-247	0	165	0	87	12	0	0	0	0	0	0	31	0	0	0	0	0	35	0	0	0	0	6	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	41	0	0	0	0	61	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-894-530	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	187	0	155	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-930-240	0	6	0	181	0	0	0	0	0	0	0	89	0	0	0	0	0	6	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	9	0	0	71	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-411-344	0	60	0	115	0	0	0	0	0	0	0	13	0	0	0	0	0	42	0	0	0	0	118	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	33	0	57	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	5	0	0	8
assemblage-673-417	0	53	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	53	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-254-333	0	192	0	75	0	0	0	0	0	0	0	86	0	0	0	0	0	34	0	0	0	0	46	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	12
assemblage-260-332	0	65	0	70	0	0	0	0	0	0	0	31	0	0	0	0	0	66	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	15	94	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-681-262	0	269	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	95	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	14
assemblage-925-280	0	129	0	135	0	0	0	0	11	0	0	88	0	0	0	0	0	34	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
