Assemblage_Name	4719486-2-4	1687261-0-1002990	1-0-0	4516298-6332063-0	4-2-2396106	4-2-2241289	4099312-0-1002990	6984742-0-1002990	3-4-4	4875057-2-4	3312714-0-0	6866445-4-4	8771985-0-1002990	3-4-8471988	1-0-806143	1-5944926-0	0-1-2052427	4516298-4-0	7961240-4-0	0-6559865-6409054	1-0-7474530	4516298-4-152506	1-0-9139664	1-916113-1002990	1-5491576-0	0-1-6409054	4-2-4	0-1-5751737	4246693-4-0	1-0-8097017	1-0-1002990	4516298-6119732-0	765562-2-4	4516298-3826494-0	4516298-4-5345766	8771985-0-301016	0-1-4474401	1-8968032-0	3271942-0-1002990
assemblage-160-948	0	0	14	0	0	0	0	6	0	0	0	0	158	0	0	0	0	79	0	0	0	0	0	0	0	29	187	0	0	0	13	0	0	0	0	0	0	0	14
assemblage-357-334	0	0	138	0	0	0	0	0	0	0	0	0	77	0	0	0	0	21	0	0	29	0	0	0	0	44	143	0	0	0	43	0	0	0	0	0	0	0	5
assemblage-679-391	0	0	103	0	0	0	0	0	0	0	0	0	90	0	0	0	0	141	0	0	0	0	0	0	0	132	22	0	0	0	0	0	0	0	0	10	0	0	2
assemblage-610-223	0	0	147	0	0	0	0	0	0	0	0	0	97	0	0	0	0	8	0	0	0	0	0	0	0	101	122	0	0	0	23	0	0	0	0	0	0	0	2
assemblage-688-487	0	0	155	0	0	0	0	0	0	0	0	0	76	0	0	0	0	101	0	0	0	0	0	0	0	24	127	0	0	0	12	0	0	0	0	0	0	0	5
assemblage-349-339	0	0	148	0	0	0	0	0	0	0	0	0	58	0	0	0	0	143	0	0	0	0	6	0	0	53	15	0	0	0	75	0	0	0	0	0	0	0	2
assemblage-803-461	47	0	20	25	0	0	0	0	0	0	0	0	29	0	0	0	0	13	0	0	0	0	0	0	0	39	107	0	0	0	217	0	0	0	0	0	0	0	3
assemblage-260-232	0	0	82	0	0	0	0	0	134	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	128	61	0	11	0	24	0	0	0	0	0	0	0	13
assemblage-977-352	0	0	76	6	0	0	0	0	0	0	0	0	146	0	0	0	0	95	0	0	0	0	0	0	0	0	104	0	0	2	66	0	0	0	0	0	0	0	5
assemblage-614-667	52	0	36	95	0	0	0	0	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	129	0	0	0	36	0	0	0	0	0	0	0	8
assemblage-198-177	0	0	0	0	3	0	0	0	89	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	226	0	28	0	0	0	0	0	0	0	0	0	0
assemblage-898-542	0	0	0	0	0	0	0	0	432	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	6
assemblage-942-233	61	0	46	56	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	132	0	0	0	90	8	0	0	0	0	0	0	10
assemblage-894-247	8	0	194	0	0	0	0	0	0	0	0	0	27	0	0	0	0	40	0	0	0	0	0	0	0	34	36	0	0	0	153	0	0	0	0	0	0	0	8
assemblage-894-530	0	0	0	0	0	0	0	0	425	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	6
assemblage-930-240	30	0	39	26	0	0	0	0	31	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	13	184	0	0	0	58	0	0	0	0	0	0	0	2
assemblage-411-344	0	0	150	0	0	0	0	0	0	0	0	0	64	0	0	0	0	122	0	0	0	0	2	0	0	63	21	0	0	0	78	0	0	0	0	0	0	0	0
assemblage-673-417	0	0	121	0	0	0	6	0	0	0	0	0	52	0	0	0	0	91	0	0	0	0	0	0	0	105	0	0	0	0	106	0	0	0	10	0	0	0	9
assemblage-254-333	0	0	66	10	0	0	0	0	0	0	0	0	125	0	0	0	0	100	0	0	0	0	0	0	0	0	112	0	0	0	79	0	0	0	0	0	0	0	8
assemblage-260-332	0	0	155	2	0	0	0	0	0	0	0	0	83	0	0	0	0	153	0	0	10	0	0	0	0	28	31	0	0	0	36	0	0	0	0	0	0	0	2
assemblage-681-262	0	0	94	0	0	0	0	0	0	0	0	0	69	0	0	0	0	23	0	0	0	0	0	0	0	62	121	7	0	0	88	0	0	23	0	0	0	0	13
assemblage-925-280	11	0	81	13	0	0	0	0	0	0	0	0	128	0	0	0	0	12	0	0	0	0	0	0	0	11	81	0	0	0	162	0	0	0	0	0	0	0	1
assemblage-371-813	0	0	100	0	0	0	0	8	0	0	0	0	49	0	0	0	0	42	0	0	0	0	0	8	0	67	97	0	0	0	80	0	0	46	0	0	0	0	3
assemblage-172-952	0	0	84	0	0	0	0	0	0	0	0	0	75	0	0	0	0	61	0	0	0	0	0	0	0	124	122	0	0	0	16	0	0	0	0	0	0	0	18
assemblage-887-413	55	0	28	26	0	0	0	0	0	0	0	0	32	0	0	0	0	10	0	0	0	0	0	0	0	43	95	0	0	0	200	0	0	0	0	0	0	0	11
assemblage-333-235	0	0	167	0	0	0	0	0	0	0	0	0	93	0	0	0	0	119	0	0	14	0	0	0	0	27	29	0	0	0	39	0	0	0	0	0	0	0	12
assemblage-296-570	0	0	132	0	0	0	0	0	0	0	0	0	53	0	0	0	0	139	0	0	0	0	10	0	0	56	20	0	0	0	87	0	0	0	0	0	0	0	3
assemblage-292-563	0	0	99	0	0	0	0	0	0	0	0	0	62	0	0	0	0	266	0	0	24	0	0	0	0	33	0	0	0	0	16	0	0	0	0	0	0	0	0
assemblage-357-256	0	0	51	0	0	0	0	0	146	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	156	42	0	0	0	29	0	0	0	0	0	0	0	1
assemblage-897-536	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	6
assemblage-957-688	46	0	21	19	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	49	108	0	0	0	229	0	0	0	0	0	0	0	4
assemblage-344-340	0	0	164	0	0	0	0	0	0	0	0	0	89	0	0	0	0	25	0	0	28	0	0	0	0	31	124	0	0	0	33	0	0	0	0	0	0	0	6
assemblage-340-239	0	0	146	8	0	0	0	0	0	0	0	0	102	0	0	0	0	117	0	0	16	0	0	0	0	25	33	0	0	0	52	0	0	0	0	0	0	0	1
assemblage-928-253	45	0	31	17	0	0	0	0	0	0	0	0	30	0	0	0	0	8	0	0	0	0	0	0	0	36	111	0	0	0	214	0	0	0	0	0	0	0	8
assemblage-449-332	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	85	0	0	0	0	136	0	0	0	0	0	0	0	0
assemblage-261-238	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	0	11	0	7
assemblage-363-786	0	0	105	0	0	0	0	0	0	0	0	0	71	0	0	0	0	60	0	0	0	0	0	0	0	96	136	0	0	0	28	0	0	0	0	0	0	0	4
assemblage-279-115	7	0	117	0	0	0	0	0	43	0	0	0	0	0	0	0	0	84	0	0	0	24	0	0	0	98	88	0	0	0	34	0	0	0	0	0	0	0	5
assemblage-543-930	0	0	20	0	0	0	0	0	73	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	196	109	0	0	0	18	0	0	0	0	0	0	0	11
assemblage-629-460	0	0	31	0	0	0	0	0	152	0	2	0	0	0	0	1	0	43	0	0	0	0	0	0	0	148	116	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-815-972	47	0	227	17	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	32	0	0	0	0	0	0	0	8
assemblage-597-662	55	0	43	85	0	0	0	0	7	13	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	122	132	0	0	0	36	0	0	0	0	0	0	0	2
assemblage-292-549	64	0	196	28	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	7	25	0	0	0	31	0	0	0	0	0	0	0	9
