Assemblage_Name	9283702-2-1	5103942-0-1	2-176039-1	2-0-5237141	4693346-0-1	1-0-3	2-0-9513771	2-0-1545605	2-8081226-1	2-0-6539442	2-0-2331827	5163441-3-0	2994796-3-0	0-0-0	3-2-282887	3-3222030-3	1-3097439-3	2-6890756-5237141	1-3-0	2-0-5182915	5718481-0-1	2-0-1	3-2-7076515	1550366-0-1	1-3-7461616	7518618-0-1	1-2-1	3-2-6520606	2-3304683-1	2-0-3421090	3-2-7507098	1-414243-3	9547045-3-0	3-2-7054136	3-2-3	1324691-0-3	1-0-8073649
assemblage-160-948	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	251	0	0	0	0	0	0	0	12	0	0	0	0	0	0	3
assemblage-357-334	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	11	0	4
assemblage-679-391	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-610-223	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-688-487	0	3	0	18	0	152	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	255	0	0	0	0	0	0	0	52	0	0	0	0	0	0	2
assemblage-349-339	0	0	0	0	0	208	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-803-461	0	0	0	0	0	89	0	0	0	0	0	0	0	6	0	0	0	0	72	0	0	256	0	0	0	0	0	0	0	0	0	0	39	0	23	0	15
assemblage-260-232	0	0	0	0	0	105	0	7	0	0	0	0	0	133	0	5	0	0	52	0	0	97	0	0	6	0	0	0	0	0	0	0	17	11	64	0	3
assemblage-977-352	0	0	0	0	0	252	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	142	0	19	0	0	0	0	0	0	0	0	0	0	38	0	7
assemblage-614-667	0	0	0	0	0	182	0	0	0	0	0	4	0	101	0	0	4	0	69	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0
assemblage-198-177	0	0	0	0	0	0	0	55	0	0	0	0	0	97	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-898-542	0	0	0	0	0	0	0	0	0	0	0	0	0	464	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-942-233	0	0	0	0	0	126	0	0	0	0	0	0	0	37	0	0	10	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	42	0	133	0	2
assemblage-894-247	0	0	0	0	0	117	0	0	0	0	0	0	5	55	0	0	0	0	9	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0
assemblage-894-530	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-930-240	0	0	0	0	0	53	0	0	0	0	0	0	0	101	15	0	0	0	24	0	0	197	0	0	0	0	0	0	0	0	0	0	9	0	95	0	6
assemblage-411-344	0	0	0	0	0	213	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-673-417	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-254-333	0	0	0	0	0	250	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	159	0	18	0	0	0	0	0	0	0	0	0	0	41	0	7
assemblage-260-332	0	0	0	0	0	100	0	0	0	0	0	0	0	16	0	0	0	0	0	6	0	350	0	0	0	0	0	0	0	0	0	0	0	0	26	0	2
assemblage-681-262	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-925-280	0	0	0	0	0	57	0	0	0	0	0	0	0	6	0	0	0	0	16	0	0	365	0	0	0	0	0	0	0	0	0	0	0	0	49	0	7
assemblage-371-813	0	0	0	113	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-172-952	0	0	0	12	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	16	0	0	0	0	0	0	8
assemblage-887-413	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	274	0	0	0	0	0	0	0	0	0	0	32	0	15	0	4
assemblage-333-235	0	0	0	0	0	110	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	24	0	6
assemblage-296-570	0	0	0	0	5	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-292-563	0	0	0	0	0	106	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	12	0	8
assemblage-357-256	0	0	0	0	0	139	0	0	0	0	0	0	0	72	0	0	0	0	11	0	0	22	0	0	0	0	0	0	0	0	27	0	0	0	219	0	10
assemblage-897-536	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-957-688	0	0	0	0	0	66	0	0	0	0	0	0	0	8	0	0	0	0	60	0	0	301	0	0	0	0	0	0	0	0	0	0	42	0	14	0	9
assemblage-344-340	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	13	0	3
assemblage-340-239	0	0	0	0	0	98	0	0	0	0	0	0	0	16	0	0	0	0	0	3	0	347	0	0	0	0	0	0	0	0	0	0	0	0	34	0	2
assemblage-928-253	0	0	0	0	0	85	0	0	0	0	0	0	0	13	0	0	0	0	74	0	0	261	0	0	0	0	0	0	0	0	0	0	44	0	14	0	9
assemblage-449-332	2	0	0	0	0	77	0	0	0	0	0	0	0	0	0	22	0	0	73	0	0	0	0	0	0	0	9	0	0	0	0	0	0	38	279	0	0
assemblage-261-238	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	20	0	0	0	0	0	0	0	94	0	0	0	0
assemblage-363-786	0	0	0	6	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	21	0	0	0	0	0	0	1
assemblage-279-115	0	0	0	0	0	65	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	20	0	108	0	9
assemblage-543-930	0	0	0	0	0	181	0	0	0	0	0	0	0	186	0	0	0	0	3	0	0	67	0	0	0	0	0	0	8	0	0	0	0	0	48	0	7
assemblage-629-460	0	0	0	0	0	93	0	0	0	0	0	0	0	114	0	0	0	0	47	0	23	195	0	0	0	0	0	0	0	0	0	0	0	0	21	0	7
assemblage-815-972	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	103	0	0	0	0	0	0	0	0	0	0	22	0	126	0	8
