Assemblage_Name	2-4078699-2	7602271-2-2	6709151-7660565-4	6513896-8467996-4	7292763-8467996-8378071	540038-2-8971191	2-4-1707631	7292763-8779373-4	1517970-7660565-4	9707862-8467996-4	4232838-8467996-99115	3-3-1	4232838-2-4	4565442-2-2	3733135-2-2	3612702-2-2	3-5746785-3	49099-8467996-4	2-2-4685576	8474052-2-2	3-4665155-3	2-2-1	2-2-2	2-3411129-2	4536157-8467996-4	49099-9877589-4	540038-2-2	2-2-4363093	4232838-8467996-9451680	7292763-1274421-4	2706811-2-2	2655209-8467996-4	2-2-3300627	6386901-5746785-3	4275176-8467996-4	0-2-4	2-1702440-2	2-5202852-2	4232838-8467996-218552	2527240-8467996-4	49099-8467996-130880	1517970-6214141-4	684144-0-3	2-4-4	4232838-8467996-4	2-9093244-2	3-0-3	3532746-2-2	9270764-8467996-4	4232838-8467996-7808962	6386901-5746785-6743620	2-4-6344129	4232838-8467996-3192788	4232838-7587508-9673481	1517970-8467996-4	4232838-8791794-4	2441851-2-2	3-2339912-3	3612702-7186162-2	7292763-3349085-4	9767080-8467996-4	2-2-2682712	8740424-8467996-4	7292763-8467996-4	1967878-2-2	9755788-2-2	5017891-8467996-4	2-4-8236986	2-2-706455	7292763-9455404-4	2-2-2840087	3-95581-3	6451700-2-2	4232838-1289386-3429306	2-2-2910358	4232838-7525908-4
assemblage-160-948	0	0	0	0	0	0	0	0	71	0	39	0	0	0	0	0	0	30	0	0	0	0	256	0	26	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-357-334	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	98	0	0	8	0	0	8	0	0	0	0	0	7
assemblage-679-391	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-610-223	0	0	0	0	0	0	0	0	7	0	3	0	0	0	0	0	0	160	0	0	0	0	36	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	101	0	0	0	0	0	36	0	0	0	10	0	3
assemblage-688-487	0	0	0	0	17	0	0	0	52	0	0	0	0	0	0	0	0	6	0	0	0	0	75	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-349-339	0	0	0	0	0	0	0	0	6	0	12	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-803-461	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	11	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-260-232	18	0	0	0	0	0	0	0	0	0	0	16	1	0	0	0	34	0	0	0	9	0	200	0	0	0	0	0	0	0	0	0	0	28	0	29	0	0	0	0	0	0	12	34	15	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	12
assemblage-977-352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	17	0	13
assemblage-614-667	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	31	65	0	0	0	0	0	0	0	38	32	0	0	0	7	0	1	0	0	59	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-198-177	102	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	13	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-898-542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-942-233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	28	8	0	0	0	0	0	0	91	88	9	0	0	0	17	0	7	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-894-247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	26	12	0	0	0	0	0	0	7	344	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-894-530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	3
assemblage-930-240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	46	8	0	0	0	0	0	27	161	0	0	0	0	0	0	46	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
