Assemblage_Name	73806-6906063-2	1-1-0	2-3-0	6225637-0-2	0-1467663-4	649957-0-804660	2-0-2434153	2-7797935-804660	1-1-7840896	3834365-2-2	7613751-0-2	1-792687-0	7224956-1-0	2-1235153-2	2-0-804660	0-3531756-4	4-8599001-2	2-0-7398713	73806-0-2	1-1-8001160	1-2804459-0	2-0-2	1042246-0-804660	4-2-2	2-7674167-804660	0-3-4	0-4012959-4	2-0-5877470	2-0-8131438	2-3952057-804660	2-3465788-2	8753117-2-2	1132286-3-4	2-1732063-2	8753117-989169-2	4539821-6906063-2
assemblage-160-948	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-357-334	0	107	134	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	100	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-679-391	0	61	32	0	0	0	0	0	0	0	0	0	0	11	45	0	0	0	180	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-610-223	0	8	46	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	305	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-688-487	0	11	51	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	161	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-349-339	0	45	46	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	155	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-803-461	0	179	104	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	7	0	0	90	0	0	0	0	0	0	0	0	0	0	93	0	0	2
assemblage-260-232	0	115	32	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	67	0	86	0	110	21	0	0	0	0	34	0	0	0	3
assemblage-977-352	0	178	149	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	11	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-614-667	0	38	36	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	136	0	0	6
assemblage-198-177	0	56	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	113	0	0	0	1
assemblage-898-542	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	3
assemblage-942-233	0	9	93	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	161	0	0	0	0	0	41	0	5	0	0	38	0	0	3
assemblage-894-247	0	141	2	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	74	0	0	82	0	0	0	0	0	8	0	0	0	0	0	0	0	6
assemblage-894-530	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-930-240	0	146	16	0	0	0	0	0	0	0	21	0	0	0	49	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	8	12	0	0	1
assemblage-411-344	0	32	36	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	146	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-673-417	0	0	33	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	208	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-254-333	0	176	144	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	9	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-260-332	6	186	22	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	107	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-681-262	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-925-280	0	190	96	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	3	0	0	134	0	0	0	0	0	6	0	0	0	0	27	0	0	0
assemblage-371-813	0	13	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	191	0	0	215	0	0	0	0	0	0	0	0	0	0	0	69	0	7
assemblage-172-952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-887-413	0	126	101	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	9	0	0	124	0	0	0	0	0	0	0	0	0	0	99	0	0	2
assemblage-333-235	18	142	19	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	104	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-296-570	0	41	34	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	163	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-292-563	0	42	92	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	150	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-357-256	0	52	14	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	229	0	24	0	75	12	0	0	0	0	0	51	0	0	4
assemblage-897-536	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
