Assemblage_Name	6878391-3-3	2-1223238-0	3-3-2506258	3-4480255-3	4886922-0-2	3-3-3	3-9927829-3	2-4-1755279	4-1-3	0-4-2	6143556-5735500-3	0-4-80545	2-1477299-2	0-8661215-2	2-0-8741645	8989207-4-0	8110752-4-0	3-6784135-3	2-2-4423535	2-1545229-2	2-2-2	5602872-3-3	1-8649196-3	4422132-0-2	6143556-0-3	8846004-1030904-3	2-0-756394	2-4-9256451	3-5355528-3	2-2426730-2	2-4093214-2	2-4-9178463	8035365-3-3	2-7651633-0	2-4-0	2-4-3403863	2-820554-0	903280-3-3	5460462-0-2	1-2751566-3	5226667-8649196-3	2-0-2	1-2-0	2-0-8580645	2-9063001-0	2-8933449-2	3-9473391-2506258	2-747364-2	2-6939912-2	8846004-0-3	2986863-0-2
assemblage-160-948	9	0	25	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	69	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	7
assemblage-357-334	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	2
assemblage-679-391	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	8
assemblage-610-223	0	0	0	0	0	34	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	14	0	0	0	0	49	0	0	0	0	0	0	0	49	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	9
assemblage-688-487	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	4
assemblage-349-339	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	10
assemblage-803-461	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	77	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	175	0	11	0	0	0	0	0	0	5
assemblage-260-232	0	0	0	0	0	36	0	7	4	30	0	0	0	0	0	0	0	0	0	0	65	0	60	0	108	0	0	0	0	0	0	0	0	0	76	0	0	12	0	0	0	69	15	0	0	0	0	0	0	3	15
assemblage-977-352	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	154	0	0	0	0	0	0	17	0	4
assemblage-614-667	0	0	0	0	0	105	0	0	0	0	0	0	15	0	0	0	0	0	27	0	54	0	17	0	83	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	1
assemblage-198-177	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	64	0	0	0	201	82	0	0	0	0	0	0	0	11
assemblage-898-542	0	0	0	0	0	72	0	27	0	91	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-942-233	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	43	0	0	254	0	0	0	0	0	0	0	0	6
assemblage-894-247	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	71	0	0	0	40	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	2
assemblage-894-530	0	0	0	0	0	59	0	37	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-930-240	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	10	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	6
assemblage-411-344	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	9
assemblage-673-417	0	3	0	0	0	140	0	0	0	0	0	0	0	0	0	0	27	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	10
assemblage-254-333	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	170	0	0	0	0	0	0	30	0	7
assemblage-260-332	0	0	0	9	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	61	0	0	0	0	0	0	352	0	0	0	0	0	9	0	0	3
assemblage-681-262	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	4
assemblage-925-280	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	22	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	6
assemblage-371-813	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	4
assemblage-172-952	0	0	0	0	0	193	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	7
assemblage-887-413	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	7	0	100	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	163	0	19	0	0	0	0	0	0	10
assemblage-333-235	0	0	0	14	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	53	0	0	0	0	0	0	351	0	0	0	0	0	5	0	0	4
assemblage-296-570	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	345	0	0	0	0	0	0	0	0	8
assemblage-292-563	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	7	0	0	0	34	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	2
assemblage-357-256	0	0	0	0	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	116	0	39	0	176	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	4
assemblage-897-536	0	0	0	0	0	73	0	10	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	300	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	15
assemblage-957-688	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	99	0	0	3	0	0	0	0	0	0	94	0	0	0	0	0	0	155	0	8	0	0	0	0	0	0	4
assemblage-344-340	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0	16
assemblage-340-239	0	0	0	25	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	67	0	0	0	0	0	0	315	0	0	0	0	0	17	0	0	6
assemblage-928-253	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	99	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	171	0	16	0	0	0	0	0	0	6
assemblage-449-332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	286	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0	0	0	0	1
assemblage-261-238	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	12
assemblage-363-786	0	0	0	0	0	203	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	112	0	0	0	0	4	0	0	0	5
assemblage-279-115	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	16	0	75	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	150	0	0	0	0	0	0	0	14	17
assemblage-543-930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	6	0	49	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	76	0	0	0	0	0	0	0	71	11
assemblage-629-460	0	0	0	0	0	26	0	0	0	0	16	0	0	0	0	0	0	0	0	0	19	0	0	0	30	0	0	0	0	0	0	0	0	0	232	0	0	15	0	0	0	120	0	0	0	0	0	0	0	28	14
assemblage-815-972	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	166	0	11	0	0	0	0	174	0	0	0	0	0	0	0	0	10
assemblage-597-662	0	0	0	0	0	144	0	0	0	0	0	0	16	0	0	0	0	0	20	0	38	0	9	0	64	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	5
assemblage-292-549	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	10	0	0	0	150	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	2
assemblage-631-459	0	0	0	0	0	26	0	0	0	0	32	0	0	0	0	0	0	0	0	0	21	0	0	0	28	0	0	0	0	0	0	0	0	0	229	0	0	12	0	0	0	124	0	0	0	0	0	0	0	19	9
assemblage-353-336	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	15
assemblage-293-129	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	26	0	98	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	10
