Assemblage_Name	4-2348299-5204905	2-9687476-1	8762718-4-0	2-1-5916413	4-2348299-3	7897221-6104420-1	2-8286859-1	2-3-2	7897221-6259629-1	7717635-2348299-9900986	7705257-4-1	9109888-4-1	0-4-0	2-8177209-1	7081660-2693813-8707330	7897221-4-1	2-3-2323937	2-3-510429	2-6364314-1	8306433-1-4676275	0-4-5405467	8762718-5140645-0	2-3274797-1	6464140-4-1	4-1593331-3	8762718-4-5892737	4098953-4-0	8035301-4-1	2-8954120-1	2-1-3289697	2-5195785-4676275	2-4-7717504	2045731-89540-1	8762718-4-4335460	2-1-4146984	2-4-6308771	2-6899468-1	2-1-4676275	5647186-4-1	2-576810-5916413	2-5139000-1	2-4-6223180	5090419-6940874-4676275	2-4-1	8762718-4-8889123	2723742-1-3	1815862-4-2217097	7081660-4-8707330	4-2348299-9227105	4-2-4	2-7297772-2	2-1-716780	6586525-1-3	2-6940874-4676275	2-89540-1	2-4-2217097	2-1-3	2-4-1025064	9682190-1-3	8762718-4-8120911	2-4-2252046	2-6024411-2
assemblage-160-948	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	40	78	0	0	0	0	0	9
assemblage-357-334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	0	0	0	13	111	0	0	0	0	0	18
assemblage-679-391	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0	0	0	5	96	0	0	0	0	0	24
assemblage-610-223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	9	0	369	0	0	0	0	0	0	0	0	0	0	10	58	0	0	20	0	0	17
assemblage-688-487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	154	132	0	0	2	0	0	14
assemblage-349-339	0	0	0	0	0	0	0	12	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	9	0	0	0	7	0	0	0	0	0	0	0	270	0	17	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	13
assemblage-803-461	0	0	0	0	50	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	8	0	0	0	0	0	189	0	0	0	0	0	0	14	0	0	0	0	0	0	0	55	0	0	8
assemblage-260-232	0	0	95	0	34	0	0	68	0	0	0	0	13	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	145	0	0	0	0	0	0	0	5	0	35	0	0	27	0	0	0	0	23
assemblage-977-352	0	0	22	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	120	0	0	0	17	0	0	14
assemblage-614-667	0	0	13	0	204	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	125	39	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	8
assemblage-198-177	0	0	0	0	0	0	0	7	0	0	0	0	40	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-898-542	0	0	0	0	0	0	0	304	0	0	0	0	13	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-942-233	0	0	13	0	67	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	2
assemblage-894-247	0	0	8	111	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	13	0	0	0	0	0	214	0	0	0	0	0	0	0	0	11	0	0	0	0	0	27	16	0	14
assemblage-894-530	0	0	0	0	0	0	0	312	0	0	0	0	17	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-930-240	0	0	31	0	19	0	0	49	0	0	0	0	0	11	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	9
assemblage-411-344	0	0	0	0	0	0	0	12	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	6	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	14
assemblage-673-417	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0	0	0	0	0	0	0	22	15	0	0	0	0	0	22
assemblage-254-333	0	0	5	12	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	107	0	0	0	15	0	0	11
assemblage-260-332	0	0	0	62	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	59	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	11	0	0	23	0	0	16
assemblage-681-262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	0	0	0	0	0	0	0	0	0	0	3	76	0	0	0	0	0	10
assemblage-925-280	0	0	0	0	81	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	22	0	108	0	0	0	16	10	0	12
assemblage-371-813	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	11
assemblage-172-952	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	25	0	0	0	0	0	0	0	13	30	0	0	0	0	0	15
assemblage-887-413	0	0	0	0	66	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	184	0	0	0	0	0	0	16	0	0	0	0	0	0	0	58	0	0	13
assemblage-333-235	0	0	0	60	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	54	0	0	8	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	15	0	0	19	0	0	14
assemblage-296-570	0	0	0	0	0	0	0	7	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	11	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	13
assemblage-292-563	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	26
assemblage-357-256	0	0	80	0	81	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	146	0	0	6	0	0	0	0	15
assemblage-897-536	0	0	0	0	0	0	0	311	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-957-688	0	0	0	0	47	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	200	0	0	0	0	0	0	14	0	0	0	0	0	0	0	51	0	0	11
assemblage-344-340	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	20	92	0	0	9	0	0	16
