Assemblage_Name	4902324-2-0	0-2-9415518	2792992-2-0	0-2467711-0	8580109-292286-9647820	0-2-5703596	0-5104747-1771678	6314187-3892034-9647820	0-2-3151515	0-7081231-0	0-2-1099867	0-2-9582964	3-292286-5590543	4746551-2-0	0-954603-1771678	0-1-1	0-9421065-0	0-2-7555658	3-292286-9679005	6314187-3685450-7196105	6314187-292286-4390689	986335-292286-9647820	6314187-292286-7007063	6314187-292286-9647820	8389346-2-0	2-5808372-1	1379653-3-1771678	3-1-7322750	779619-292286-9647820	6314187-292286-7170320	0-2-6619684	0-2330305-0	6314187-292286-3790094	0-3950159-0	4131357-1-9647820	6314187-3685450-8225865	0-7794103-0	1245581-2-0	3-1-2	0-2-2559640	3-292286-9647820	3-9118140-9647820	2814885-2-0	0-2-0	2227600-1-9647820	0-1372332-1099867	3-292286-688459	0-9328301-0	0-2-9844758	6314187-6727511-9647820	3-1-9647820	0-5196277-0	3-292286-5567546	3-953507-9647820	6314187-292286-3635885	6314187-3685450-9647820	0-6195163-0	0-2-3182647	0-6257645-0	0-2-3393023	8666923-292286-9647820	3-292286-7603570	0-3-1771678	0-2-4808956	6314187-1150096-9647820	3-1-2180862	4223184-3-1771678	2792707-2-0	6314187-292286-3926392	3-5455546-3	0-5416193-0	6314187-292286-9074907	2-1-1	188314-292286-3926392	0-4764990-1771678	3-9631061-9647820	0-9446710-0	6314187-3139982-7007063	1802570-2-0	3-1-6460742	0-3-3250673	0-3985837-0	3421824-2-0
assemblage-160-948	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	21	321	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-357-334	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	208	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-679-391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	319	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	29
assemblage-610-223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	240	0	0	0	0	0	0	0	5	0	0	0	76	0	0	0	0	0	0	44	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5
assemblage-688-487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	299	0	0	0	0	0	0	0	21	0	0	0	64	0	0	0	7	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5
assemblage-349-339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	280	0	0	0	0	0	0	0	29	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-803-461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	85	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-260-232	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	19	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	85	0	0	79	0	0	0	0	0	0	48	0	0	0	0	0	0	15	0	0	0	0	101	0	0	0	0	0	0	6	5	0	36	0	11	0	0	0	0	0	0	0	28
assemblage-977-352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	179	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-614-667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	16	19	0	0	0	0	14	0	0	0	0	0	0	0	0	10	0	0	0	0	0	19
