Assemblage_Name	1109327-1-2	2-0-9359138	2-0-8489228	1-0-1	0-3-223319	2-5132053-2	2-0-7274244	2-3-3	3-3-0	2-0-8847223	2-5936440-2	5945773-3-1	0-9500981-2	3-3-9377527	2553919-1-2	2556599-0-2	2-2493153-2	3-1-2	5852703-0-2	2-5494854-2	0-0-2	2-5132053-5121109	2-8305703-2	9660628-0-2	2-0-2	2-6196885-2	2-3051991-2	0-3-1	2-4730833-9359138	3-3-9355149	2-3880459-2	7188707-0-2	8275834-5936440-2
assemblage-160-948	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	65	0	398	0	0	0	0	0	0	0	2
assemblage-357-334	0	91	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	4
assemblage-679-391	0	5	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	376	0	0	0	0	0	0	0	9
assemblage-610-223	0	10	0	0	0	25	0	0	0	0	42	0	0	0	0	0	0	0	0	6	0	7	0	0	408	0	0	0	0	0	0	0	2
assemblage-688-487	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	10
assemblage-349-339	0	14	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	8
assemblage-803-461	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	44	5	0	0	0	0	0	320	0	0	31	0	44	0	0	1
assemblage-260-232	0	0	0	31	13	0	0	59	86	0	0	0	0	0	0	0	0	66	0	0	69	0	0	0	91	0	0	78	0	0	0	0	7
assemblage-977-352	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	31	0	0	0	0	0	361	0	0	0	0	0	0	0	6
assemblage-614-667	0	0	0	0	0	0	0	0	25	0	0	0	0	94	0	0	0	52	0	0	0	0	0	0	205	0	0	35	0	86	0	0	3
assemblage-198-177	0	0	0	4	0	0	0	0	288	0	0	0	0	20	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-898-542	0	0	0	132	0	0	0	203	73	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-942-233	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	87	0	0	0	0	0	0	273	0	0	0	0	69	0	0	1
assemblage-894-247	0	10	0	0	0	0	0	0	0	4	0	0	0	9	0	0	0	58	0	0	0	0	0	0	395	0	0	0	0	11	0	0	13
assemblage-894-530	0	0	0	143	0	0	0	182	84	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-930-240	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	75	0	0	0	0	0	0	356	0	0	0	0	42	0	0	6
assemblage-411-344	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	0	0	0	0	0	0	11
assemblage-673-417	0	57	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	5	0	0	0	2
assemblage-254-333	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	40	0	0	0	0	0	342	0	0	0	0	0	0	0	7
