Assemblage_Name	0-2-2257281	3-335780-1	2160125-1-7714164	0-1-5264399	4-1-4325209	5928389-1-2	4-1-6138258	4-8346858-2	0-2187318-2	0-124435-2	4-1-1746506	1-0-1339111	4-9887943-2	4-1-6001088	3480815-1-2	4-1-3659343	4-2-4	4-1-2	6949302-1-2	420486-1-2	6443775-2-3	4-5587639-2	0-1-2	6949302-5419628-2	4-6545058-2	4-1-2635309	0-1-834724	3975630-1-2	0-2-8945016	3-5932144-1	9630140-1-2	3-1-0	4348091-1-8710691	0-1-7714164	3-9891792-1	3-3437268-6693664	3-0-1193586	3-0-1834666	4-7981806-2	0-1-3685570	950415-2-3	1245699-1-2	4-1-2776834	7072119-1-2	0-1-89118	2725106-0-1	2128794-1-2	3-0-1	0-2-8100451	0-8695320-8335094	4348091-1-2	0-3352177-2	4-6132527-2	7636760-1-2	1-2-4	4-1-7381830	0-1928938-2	3-7665623-1193586	0-2-8335094	3-4-3	3-0-2425695	1-2-6108526	7810813-1-2	4-1432676-2	1-2-3060726	0-1-2779342	3330880-1-2	2679474-1-2
assemblage-160-948	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	16	193	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-357-334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-679-391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-610-223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	330	0	0	0	10	61	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-688-487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	17	0	11
assemblage-349-339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-803-461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	273	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	19	0	0	0	9	0	0	0	37	0	0	0	0	0	0	0	0	10
assemblage-260-232	0	0	0	0	0	0	0	0	0	0	10	92	0	0	0	0	20	80	0	0	11	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	16	0	0	0	13	28	0	0	0	0	0	0	0	12
assemblage-977-352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	117	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	3	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	7
assemblage-614-667	0	19	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	9	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-198-177	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	5	0	0	0	0	0	0	0	9
assemblage-898-542	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	7
assemblage-942-233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	145	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	10
assemblage-894-247	0	0	0	0	0	0	0	0	9	24	0	27	0	0	0	0	0	156	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	14
assemblage-894-530	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	6
assemblage-930-240	0	57	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	26	0	0	0	0	39	0	0	0	4	50	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	80	0	0	0	5	0	0	0	84	0	0	0	0	0	0	0	0	16
assemblage-411-344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-673-417	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	151	0	70	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-254-333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	140	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	8	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	14
assemblage-260-332	0	0	0	0	0	0	0	0	21	8	0	0	0	0	0	0	0	277	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	13	0	0	0	4
assemblage-681-262	0	0	13	0	13	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	67	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-925-280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	294	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	12
assemblage-371-813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0	27	0	8	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-172-952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	164	0	0	0	27	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	7	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-887-413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	265	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	23	0	0	0	13	0	0	0	44	0	0	0	0	0	0	0	0	5
assemblage-333-235	0	0	0	0	0	0	0	0	31	15	0	0	0	0	0	0	0	248	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	21	0	0	0	5
assemblage-296-570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
