Assemblage_Name	4674056-4-3	5602036-1-1	3-4-6699993	3-4-157562	3472994-5711454-1	0-5361723-1	5602036-9584143-1	0-4885728-3	2632626-4-3	4-2-7427213	3025557-8872388-3	1-4941264-3	752644-1-1	5602036-626510-1	3-7205730-3	2-5506015-1542127	3-4165612-3	8676404-3-3	2149784-1-1	3-4969603-3	9430523-2-4829264	9430523-781238-5393409	0-3-1369448	1614632-1-1	3-4-1176785	3-4-986726	5602036-3033399-1	3025557-3-3	5602036-1-6956042	3-3613095-3	9055718-4-3	4267346-3-3	3-2-0	3472994-6395530-1	5602036-2066500-1	1-1576378-3	2236310-1-1	5602036-1-5699809	3-2911094-3	0-1-1	3623577-9251294-3	957477-3033399-1	4267346-3-2023184	3-2435440-3	3-1527820-3	3-4-4942634	8209478-3-3	8590118-3-3	3-4-29119	6187500-3-3	5602036-9986793-1	7228144-4-3242792	3-4-8838308	9430523-2-7555381	3-4-7843092	3-4525425-3	0-3-3	3-9384724-3	8262888-3-2	5602036-9580175-1	5581414-2911094-3	5602036-1-5629425	1-5679107-3	3-8145276-0	3-4-9840444	1-8577006-6736325	4357372-1-1	5958566-2-5393409	2-3-2236358	9670950-3033399-1	1790154-3-2	7048334-9387562-3	3045591-3033399-1	1082453-1-1	2-3-2	3-9244824-3	5958566-1945081-5393409	2-5506015-2	9430523-2-5393409	2-8278750-1542127	5602036-1-8628650	5215299-3-3	2174206-3033399-2189493	4984875-4-3	1-8577006-4	5958566-7497692-5393409	3787281-4-3	5602036-3033399-3506853	7612903-3385667-1	1-3-3	5602036-1-6285369	3-4-5323228	3472994-3385667-1	4-2-1	0-3225316-3	1082453-4051296-1	9430523-3933114-5393409	9430523-8196359-5393409	5602036-3033399-2189493	3-4-3	1-871424-3	7048334-4-3	2-3539691-1354321	5958566-6924432-5393409	1-3-2426207	5602036-5858955-1	1396735-3-5647432	1-0-4	5602036-1-2569408	6707879-4-3	3582970-1-1	774360-4-3	3-7957605-3	5076648-2-5393409	1-3-5647432	8891338-1-1	8415433-2-5393409	9430523-2-5470006	1-3-8514067	3-4-3242792	3-4-5507297	3-5513824-3	1-3-8190888	7260741-1-1	5602036-5795139-1	8011655-3-3	3180385-3-2	3-4-2841522	5602036-3385667-1	2-3-6580471	3-2775291-3	8234043-5795139-1	3-3820433-3	5602036-5789856-1	5630835-4-3	5958566-1202591-5393409	8929156-3033399-1	3-2010757-9840444	3-4-4783071	4216741-3-3	5958566-1207610-5393409
assemblage-160-948	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	6	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	14	150	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	32	0	0	41
assemblage-357-334	0	299	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	13	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-679-391	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	18	0	0	29	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	5	0	0	0	21
assemblage-610-223	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	33	0	41	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-688-487	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	51	0	0	29	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	14
assemblage-349-339	0	90	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	32	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	22
assemblage-803-461	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	28
assemblage-260-232	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	123	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	47	0	0	0	40	0	0	0	0	0	15	0	0	0	0	102	0	0	0	8	0	0	0	0	0	8	0	0	3	0	15	0	0	16	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	34
assemblage-977-352	0	142	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	47	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	35	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	7
assemblage-614-667	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	29	13	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	22
