Assemblage_Name	4190785-3-3	4-6128896-1	7046310-6128896-1	1-2-8014973	3-3-0	3732756-3-3	1-2-1070760	4-1623457-9463376	8092783-2-2	5099164-3-3	2-2-2	3-3-9975612	5099164-3-4585574	6644800-2-4	1-3200419-4	5099164-6027271-3	9120205-358908-2	2-358908-2	5462354-3-3	3-3-5088491	2-6089979-2	5099164-3-2804441	469667-3-3	779463-2-2	2-124689-2	5992486-358908-2	4-6128896-6760771	4-8496054-1	1-7261277-8014973	1-2-4	798089-6128896-9463376	4-3-3	4-6128896-9463376	2-9000280-2
assemblage-160-948	0	0	0	0	73	0	0	0	0	258	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	68	0	0	0	0	15	0	0	7
assemblage-357-334	0	0	0	134	144	0	0	0	0	196	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	0	14	0	0	1
assemblage-679-391	0	0	0	20	77	0	0	0	0	346	0	0	0	0	0	0	0	21	0	0	0	0	8	0	0	0	0	0	0	0	24	0	0	4
assemblage-610-223	0	0	0	13	58	0	0	0	0	269	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	6
assemblage-688-487	0	0	0	11	13	0	0	0	0	433	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5
assemblage-349-339	0	0	0	59	36	0	0	0	0	358	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	6
assemblage-803-461	0	0	0	13	32	0	0	0	0	308	11	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	44	9	0	0	6
assemblage-260-232	0	87	0	0	20	0	0	0	0	50	71	0	0	0	8	0	0	42	0	0	12	0	0	0	0	0	3	0	0	139	0	27	27	14
assemblage-977-352	0	0	0	28	48	0	0	0	0	254	3	0	0	0	0	26	0	21	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	9
assemblage-614-667	0	0	0	0	128	0	0	0	0	92	4	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	36	39	0	3	10
assemblage-198-177	0	347	8	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	91	11
assemblage-898-542	0	10	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	198	0	0	31	0	0	6	0	0	0	0	0	0	0	0	0	7
assemblage-942-233	0	0	0	97	33	0	0	0	0	85	51	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	10	149	0	6	1
assemblage-894-247	0	0	0	90	62	0	0	0	0	117	35	0	0	0	0	4	0	29	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	6
assemblage-894-530	0	14	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	182	0	0	20	0	0	2	0	0	0	0	0	0	0	0	0	4
assemblage-930-240	0	0	0	22	141	0	0	0	0	51	46	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	82	86	0	0	5
assemblage-411-344	0	0	0	54	27	0	0	0	0	375	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	6
assemblage-673-417	0	0	0	9	64	0	0	0	0	382	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4
assemblage-254-333	0	0	0	17	67	0	0	0	0	224	9	0	0	0	0	46	0	21	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	9
assemblage-260-332	0	0	0	111	110	0	0	0	0	204	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	50	0	16	4
assemblage-681-262	0	0	0	25	84	0	0	0	0	272	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-925-280	0	0	0	32	39	0	0	0	0	335	0	20	0	0	0	22	0	41	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	4
assemblage-371-813	0	0	0	0	137	0	0	0	0	351	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4
assemblage-172-952	0	0	0	0	18	0	0	0	0	376	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	27	0	0	0	0	48	0	0	8
assemblage-887-413	0	0	0	13	37	0	0	0	0	310	8	0	0	0	0	3	0	88	0	0	0	0	0	0	0	0	0	0	0	30	5	0	0	6
assemblage-333-235	0	0	0	95	70	0	0	0	0	239	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	67	0	20	6
assemblage-296-570	0	0	0	73	22	0	0	0	0	349	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	3
assemblage-292-563	9	0	0	20	88	0	0	0	0	216	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	31	0	9	0	0	15
assemblage-357-256	0	40	0	0	4	0	0	0	0	82	21	0	0	4	0	0	0	70	0	0	0	0	0	0	0	0	15	0	0	243	0	16	0	5
assemblage-897-536	0	9	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	165	0	0	40	0	0	6	0	0	0	0	0	0	0	0	0	11
assemblage-957-688	0	0	0	14	35	0	0	0	0	288	3	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	45	7	0	0	4
assemblage-344-340	0	0	0	146	127	0	0	0	0	200	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	5
assemblage-340-239	0	0	0	92	108	0	0	0	0	233	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	46	0	11	4
assemblage-928-253	0	0	0	2	22	0	0	0	0	311	15	0	0	0	0	2	0	78	0	0	0	0	0	0	0	0	0	0	0	55	10	0	0	5
assemblage-449-332	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0	13	0	7
assemblage-261-238	0	0	0	0	71	0	7	0	0	242	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	105	0	0
assemblage-363-786	0	0	0	0	18	0	0	0	0	364	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	41	0	0	0	0	47	0	0	2
assemblage-279-115	0	0	0	0	87	0	0	0	0	98	19	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	18	88	0	42	7
assemblage-543-930	0	83	0	0	15	0	0	0	0	110	66	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	43	23	0	42	5
