Assemblage_Name	4-0-4140762	1-1-1	7386993-9325767-0	0-4563939-564943	4-1484877-0	4-0-8205579	251270-1-1	4-1-7618529	0-6554524-4	0-0-7098075	0-6554524-6989085	7386993-0-0	2924522-0-0	4-1-4	4-0-3186675	51023-4563939-564943	4-9616350-7095072	6146344-0-0	4-0-8294017	7429958-3-1	2-2-6290017	7386993-1555804-0	4-0-5755496	3-9678830-5705038	3563672-1-4	2158749-0-4	4-855217-2	9145626-0-0	4-0-0	4-0-979578	4-1-4603217	4-1-7095072	0-0-4	4362213-0-0	4-1-1163146	7666902-2-6290017	4227388-0-979578	3219171-0-0	4-1524340-0	3-9678830-8825763	2923571-0-789714	9748590-0-789714	2588763-4563939-564943	7225620-9684505-0	0-4563939-5431950	1709325-0-0	4-2-2	7225620-0-0	0-0-606052	4-9059184-4	4-0-7709253	4389351-1-4	4-0-789714	3-4371639-1	1-1-7926435	791507-0-4	0-1063087-4	7869756-0-0	4-1-6623292	4919911-0-4	5056300-0-4	6799739-0-4	3-9678830-1	3292319-0-0	9929560-9678830-1	4128305-0-0	8869967-1-4
assemblage-160-948	0	0	0	169	0	0	0	0	5	0	0	12	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	65	0	0	0	20
assemblage-357-334	0	0	0	69	0	0	0	0	0	0	0	64	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	16	0	0	15	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	9	0	0	0	110	0	0	0	7
assemblage-679-391	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	49	0	0	0	10
assemblage-610-223	0	0	0	74	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	15	34	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	137	7	0	0	0	0	0	0	0	0	149	0	0	0	11
assemblage-688-487	0	0	0	64	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	9	27	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	209	0	0	0	17
assemblage-349-339	0	0	0	99	0	0	0	0	0	0	0	106	0	0	11	0	0	0	0	0	0	45	0	0	0	0	0	0	65	0	0	27	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	19	0	0	0	64	0	0	0	9
assemblage-803-461	0	0	0	81	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	158	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-260-232	0	49	0	39	0	0	0	0	0	0	0	0	0	118	0	0	0	0	2	0	17	0	17	0	7	0	0	0	161	0	0	0	21	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	33	0	0	0	11
assemblage-977-352	0	0	0	59	0	0	0	0	0	0	0	190	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	49	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	4	10	0	0	0	0	0	13	0	0	0	40	0	0	0	12
assemblage-614-667	0	0	0	62	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	36	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	55	0	0	0	12
