Assemblage_Name	0-0-5027680	3-1193437-0	1-0-4	3-3-0	3-3-2	1-4-410103	1-0-9900096	7412412-0-0	1781437-3-0	4-2567890-0	1-0-2571527	4-0-788356	1-0-2861031	1-3503475-4	4-0-0	7432143-3-0	3-3-9264893	0-0-1	1-6775434-4	3-7698103-0	4-9320158-0	1-9145809-4	3-8488337-0	953587-3-0	1062089-0-0	1023189-0-0	4-0-4966820	1-4-4	1-1758834-4	3-3-2357802	3-4-3	1-0-6613978	4078030-0-4	6089465-3-0
assemblage-160-948	0	0	95	304	0	0	0	0	0	0	0	0	0	0	61	0	0	0	15	0	0	0	0	0	0	0	0	0	16	0	0	0	0	9
assemblage-357-334	0	0	86	365	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	4
assemblage-679-391	0	9	82	260	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	3
assemblage-610-223	0	0	156	202	0	0	0	0	0	0	28	0	0	0	10	0	0	0	0	29	0	0	0	0	0	0	0	0	10	0	60	0	0	5
assemblage-688-487	0	0	190	234	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	8	0	0	1
assemblage-349-339	0	0	30	349	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	10	0	0	2
assemblage-803-461	0	0	150	50	21	0	0	0	0	0	0	0	0	0	41	0	0	22	0	0	114	0	0	47	0	0	0	0	0	0	42	0	13	0
assemblage-260-232	0	0	69	102	8	0	0	0	0	0	0	0	0	0	82	0	0	53	0	0	41	0	0	0	0	0	0	65	0	0	64	11	0	5
assemblage-977-352	0	0	114	213	0	0	0	0	0	51	0	0	0	0	94	16	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	3
assemblage-614-667	0	0	207	74	40	0	0	0	0	0	0	0	0	0	44	0	0	7	0	0	37	0	0	0	0	0	0	10	0	0	71	0	0	10
assemblage-198-177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	6	0	0	0	0	0	0	216	0	0	215	0	0	0
assemblage-898-542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	103	0	0	0	0	0	0	7	0	0	53	0	0	6
assemblage-942-233	0	0	245	68	0	6	0	0	0	0	0	0	0	0	19	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-894-247	0	0	127	138	8	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	56	0	73	9
assemblage-894-530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	109	0	0	0	0	0	0	7	0	0	53	0	0	5
assemblage-930-240	0	0	135	131	28	9	0	0	0	0	0	0	0	0	75	0	0	0	0	0	83	0	0	5	0	0	0	0	0	0	24	0	0	10
assemblage-411-344	0	0	43	345	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	9	0	0	4
assemblage-673-417	0	0	65	236	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1
assemblage-254-333	0	0	60	230	0	0	0	0	0	39	0	0	0	0	155	12	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1
assemblage-260-332	0	0	210	232	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1
assemblage-681-262	0	0	114	244	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	6	0	0	0	0	0	0	0	0	34	0	21	0	0	12
assemblage-925-280	0	0	182	222	0	0	0	3	0	0	0	0	0	0	47	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-371-813	0	0	45	342	0	0	0	0	0	0	40	0	0	0	44	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	20	0	0	2
assemblage-172-952	0	0	81	151	0	0	0	0	0	0	8	0	0	0	201	0	0	0	0	16	0	0	0	0	0	0	0	0	38	0	0	0	0	5
assemblage-887-413	0	0	157	56	15	0	0	0	0	0	0	0	0	0	37	0	0	27	0	0	106	0	0	46	0	0	0	0	0	0	39	0	14	3
assemblage-333-235	0	0	217	229	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	4
assemblage-296-570	0	0	46	352	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	6	0	0	6
