Assemblage_Name	8097818-4-1	4-898925-3459422	4-3-3459422	144824-3-3459422	1-1-2	1119288-7310699-1	1-3839450-1	4-8112617-3459422	2732350-4-1	8870563-3-1384887	8241402-3-1	2-5723064-3	4-3-1571521	0-3-3217020	8870563-3-3459422	2-4925576-1	1-5838883-1	5547616-4-1	2-2-3	2-4-5211081	9402555-3-3459422	8051672-3-1	2-8507577-1	1119288-3-1	8870563-3-4574579	4-3-8908801	8870563-2882071-3459422	8100163-4-1	4-3-4266992	5277107-3-3459422	2-2-9730779	8100163-3942049-1	2-2283747-1	8870563-2328638-3459422	985118-4-1	5277107-3-516127	1-1832478-1	1748348-3-1	1-3-1	2-4-1	4-3-520043	6631180-3-1	4514380-3-3459422	1-3846984-1	8870563-3-1126199	1-3-9285226	1-3-5283330	5128079-3-3459422	2-3761444-1	1-3-663562	4-3-6708120	4908361-3-1	926513-4-1	2869869-3-3459422	1-3-3492214
assemblage-509-774	0	0	77	0	0	0	0	0	0	0	36	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-792-426	0	0	48	0	0	0	0	0	12	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	17	0	66	0	0	0	0	8	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-947-458	0	0	121	0	0	0	0	0	0	0	6	0	0	0	131	0	0	0	0	0	0	0	0	0	17	0	0	25	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	4	0	0	0	50	0	15
assemblage-970-448	0	0	125	0	0	0	0	0	0	0	13	0	0	0	129	0	0	0	0	0	0	0	0	0	17	0	0	32	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	4	0	0	0	43	0	15
assemblage-781-432	0	0	124	0	0	0	0	0	0	0	16	0	0	0	99	0	0	0	0	0	0	0	0	0	10	0	0	51	0	0	0	0	0	9	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	12
assemblage-789-310	0	0	85	0	0	0	0	0	0	6	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	165	0	0	0	0	17	0	0	0	15	0	0	0	0	0	0
assemblage-580-593	0	0	113	0	0	0	0	0	0	0	0	28	0	0	0	0	0	5	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	6	0	0	0	0	0	0	0	0	21	5	0	0	0	15
assemblage-775-446	0	0	7	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	40	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	17	0	0	0	29	0	5
assemblage-486-244	0	0	186	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-992-736	0	0	50	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	29	0	53	0	5	0	0	0	0	0	0	250	0	0	8	0	0	0	0	0	0	0	0	0	0	37	0	9
assemblage-468-265	0	70	59	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-407-904	0	0	72	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	169	33	0	0	0	0	0	0	0	0	37	0	0	0	0	0	7
assemblage-730-369	0	0	66	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-940-453	0	0	60	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	6	0	0	0	0	0	20	0	53	0	0	0	0	0	0	0	0	230	0	0	8	0	0	0	0	0	0	0	0	0	0	54	0	7
assemblage-171-164	0	0	95	0	0	0	0	0	0	0	0	21	0	0	0	0	0	4	99	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	238	6	0	0	0	0	0	0	0	0	14	8	0	0	0	5
assemblage-993-792	0	0	77	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	150	35	0	0	0	0	0	0	0	0	40	0	0	0	0	0	4
assemblage-368-841	0	34	22	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-541-582	0	0	61	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-614-784	0	0	5	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	202	24	0	0	0	0	0	0	0	0	60	0	0	0	0	0	2
assemblage-171-169	0	0	110	0	0	0	0	0	0	0	0	21	0	0	0	0	0	6	84	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	220	9	0	0	0	0	0	0	0	0	27	7	0	0	0	0
assemblage-823-113	0	0	121	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	20	194	0	0	0	0	0	0	0	7	0	0	0	0	0	0	21
assemblage-259-175	0	0	43	0	0	0	0	0	0	0	42	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	3	128	0	0	0	0	0	21	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-238-294	0	0	32	0	0	0	0	0	0	0	0	0	0	0	251	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	78	0	0	0	0	0	0	0	0	81	0	0	0	0	0	6
