Assemblage_Name	3-2798493-1	0-2976261-6646589	1845392-4128558-1	5651714-2-6646589	3926036-4-1	3-3504514-1	8887372-4-1	232828-2-6646589	4-1-3	3-4-2	232828-2-9752263	9241929-4-1	0-2-2664426	903748-4-1	5031883-2-6646589	3-4-5708299	8220698-4-1	1845392-7772521-1	0-4959601-6646589	3-6304307-1	6998389-4-1	2831149-2-6120725	2831149-2-6646589	232828-1730351-6646589	3-4686026-1	3-4-729766	1845392-4-1	0-1158837-6646589	7509597-2-6646589	3-1793174-1	4-1-5924021	1429415-2-6646589	3668392-4-1	3-3588875-1	3-4-9343035	3-4-1746903	0-2-6646589	5118301-4-1	3-3385150-1	3-4-4494914	3-2380901-1	0-9759211-6646589	0-2-4238208	8013079-4-1	232828-2-9090277	7759711-4-1	3005550-4-2	8696718-3-0	3-4-1	4-7513395-3	3-7197503-1	1668801-4-1	8438311-4-1	1845392-9774221-1	0-2656673-6646589	4-8869099-3	3-4-9752149	3-4-7482333	1627572-4-1	9399947-3-0
assemblage-509-774	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	78	0	0	9	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	7
assemblage-792-426	0	0	13	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	18	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	2
assemblage-947-458	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	5	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	13	10	0	0	0	371	0	0	0	0	0	0	0	0	0	0	7
assemblage-970-448	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	8	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	17	23	0	0	0	366	0	0	0	0	0	0	0	0	0	0	8
assemblage-781-432	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	11	21	0	0	0	374	0	0	0	0	0	0	0	0	0	0	14
assemblage-789-310	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	9	0	11	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	9
assemblage-580-593	0	0	0	0	0	0	6	0	22	81	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	110	178	0	0	0	0	0	0	0	0	0	0	10
assemblage-775-446	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	0	0	7	0	0	0	0	0	0	0	12
assemblage-486-244	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	10
assemblage-992-736	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	4	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	4	0	0	160	0	0	0	0	0	0	0	0	0	0	2
assemblage-468-265	0	0	0	0	0	0	107	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	11	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0	0	0	5
assemblage-407-904	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	20	0	0	0	0	21	19	0	0	0	31	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	9
assemblage-730-369	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	15
assemblage-940-453	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	15
assemblage-171-164	0	0	0	0	0	0	0	0	19	100	0	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	79	181	0	0	0	0	0	0	0	0	0	0	3
assemblage-993-792	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	27	7	0	0	0	24	27	0	0	0	32	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	8
assemblage-368-841	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	11
assemblage-541-582	0	0	0	0	0	42	22	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	10	0	0	0	0	0	0	0	0	0	0	0	382	0	0	0	0	0	0	0	0	0	0	5
assemblage-614-784	20	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	59	0	0	71	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	11
