Assemblage_Name	4-2-5395260	2781350-2-1	2-1-3	4-2642281-1	2-0-4	4-2-1	2-0-4184423	0-4-4	0-2-3	2-6726379-4
assemblage-509-774	0	0	7	0	204	289	0	0	0	0
assemblage-792-426	0	0	105	0	172	223	0	0	0	0
assemblage-947-458	0	0	64	0	222	213	0	0	0	1
assemblage-970-448	0	0	72	0	222	204	0	0	0	2
assemblage-781-432	0	0	53	0	238	208	0	0	0	1
assemblage-789-310	0	0	158	0	117	225	0	0	0	0
assemblage-580-593	0	0	18	0	101	355	0	26	0	0
assemblage-775-446	0	0	40	0	149	305	0	0	0	6
assemblage-486-244	0	0	64	0	160	221	0	54	0	1
assemblage-992-736	0	0	22	0	250	224	0	0	0	4
assemblage-468-265	0	0	4	0	345	115	0	36	0	0
assemblage-407-904	0	0	91	0	293	115	0	0	0	1
assemblage-730-369	0	0	5	0	366	83	0	46	0	0
assemblage-940-453	0	0	25	0	249	225	0	0	0	1
assemblage-171-164	0	0	8	0	84	390	0	18	0	0
assemblage-993-792	0	0	99	0	284	117	0	0	0	0
assemblage-368-841	0	0	105	0	283	107	0	0	0	5
assemblage-541-582	0	0	90	0	336	70	0	0	0	4
assemblage-614-784	0	0	47	0	231	215	6	0	0	1
assemblage-171-169	0	0	10	0	96	367	0	25	0	2
assemblage-823-113	0	0	76	0	224	111	0	89	0	0
assemblage-259-175	0	16	7	0	307	170	0	0	0	0
assemblage-238-294	0	0	172	0	244	84	0	0	0	0
assemblage-793-937	0	0	166	0	203	109	0	17	0	5
assemblage-642-157	0	0	44	0	259	188	7	0	0	2
assemblage-386-578	0	0	96	0	205	137	0	22	37	3
assemblage-607-790	0	0	43	0	240	207	10	0	0	0
assemblage-912-205	0	0	290	0	103	105	0	0	0	2
assemblage-410-1014	0	0	240	0	176	84	0	0	0	0
assemblage-620-164	0	0	25	0	385	90	0	0	0	0
assemblage-951-342	0	0	0	0	186	6	0	299	0	9
assemblage-799-102	0	0	6	0	114	341	0	35	0	4
assemblage-352-864	0	0	65	0	191	185	0	59	0	0
assemblage-963-868	0	0	6	0	222	267	0	0	0	5
assemblage-357-864	0	0	35	0	223	166	0	76	0	0
assemblage-344-429	0	0	85	0	64	175	0	175	0	1
assemblage-290-286	0	0	18	0	97	367	0	18	0	0
assemblage-363-462	0	0	0	0	147	304	0	46	0	3
assemblage-489-327	0	0	125	0	94	281	0	0	0	0
assemblage-756-230	0	0	117	0	225	158	0	0	0	0
assemblage-463-280	0	0	0	0	398	72	0	29	0	1
assemblage-216-821	0	0	4	0	200	296	0	0	0	0
assemblage-669-336	0	0	57	0	178	211	0	54	0	0
assemblage-119-470	0	0	223	0	55	98	0	124	0	0
assemblage-791-118	0	0	54	0	217	108	0	121	0	0
assemblage-958-370	0	0	10	0	218	3	0	269	0	0
assemblage-107-490	0	0	152	0	113	235	0	0	0	0
assemblage-949-365	0	0	7	0	216	10	0	267	0	0
assemblage-516-770	0	18	11	0	299	172	0	0	0	0
assemblage-770-926	0	0	0	0	204	212	0	83	0	1
assemblage-395-903	0	0	31	0	361	103	0	0	0	5
assemblage-563-597	0	0	32	0	199	118	0	150	0	1
assemblage-816-95	0	0	108	0	242	150	0	0	0	0
assemblage-471-239	0	0	189	0	183	108	0	20	0	0
assemblage-262-172	0	0	37	0	270	188	0	0	0	5
assemblage-983-722	0	0	69	0	184	246	0	0	0	1
assemblage-657-321	0	0	34	0	221	174	0	71	0	0
assemblage-925-224	0	0	6	0	385	68	0	40	0	1
assemblage-945-351	0	0	0	0	212	4	0	280	0	4
assemblage-271-166	6	0	151	0	263	79	0	0	0	1
assemblage-604-798	0	0	29	0	382	89	0	0	0	0
assemblage-906-226	0	0	169	0	163	159	0	9	0	0
assemblage-618-855	0	0	25	0	255	219	0	0	0	1
assemblage-510-764	0	20	8	0	290	182	0	0	0	0
assemblage-272-157	0	7	6	0	280	207	0	0	0	0
assemblage-1005-552	0	0	0	0	129	303	0	65	0	3
assemblage-755-235	0	0	186	0	245	67	0	0	0	2
assemblage-1009-796	0	0	98	0	285	117	0	0	0	0
assemblage-937-434	0	0	55	0	195	248	0	0	0	2
assemblage-117-516	0	0	84	0	348	68	0	0	0	0
assemblage-524-564	0	0	106	0	243	151	0	0	0	0
assemblage-213-296	0	0	131	0	112	257	0	0	0	0
assemblage-753-311	0	0	77	0	382	41	0	0	0	0
assemblage-505-307	0	0	68	0	407	23	0	0	0	2
assemblage-205-814	0	0	0	0	237	260	0	0	0	3
assemblage-371-826	0	0	11	0	377	61	0	48	0	3
