Assemblage_Name	2-4399994-5081894	3-8949982-2	4944108-1-1	4-8435630-6450452	1-2402121-5177120	8627292-2-5957437	5511725-1-1	4-2-3117222	2-1-4989859	3-9519542-4	2-9632583-1	8627292-2-4118879	5530446-2-1171253	1872999-1-1	2-8953070-1	7714745-2-1171253	8627292-2-7513521	8627292-262592-6450452	8499511-2055035-4	3704234-5678349-1171253	6466321-8637653-1	3-0-9520073	1-3374197-7930698	3-0-7550607	419073-0-4	3-2-2	1-2-9201755	8627292-5355501-6450452	5434860-1-1	2-1-4205020	2-1-1	9013047-0-4	8499511-0-4	805757-2-6450452	1-2-5177120	8627292-7765980-6450452	9859992-1-4839718	66048-2-5177120	3704234-2-1171253	9733824-0-4	3-1323563-1	3-360022-2	6454379-2-1171253	7582193-0-4	1-4665283-9563732	2-5132446-5617674	1-2-7930698	2-1468838-1	8627292-2-6450452	5872594-6853365-1	3-0-5353006	6746577-1-1	1-2-9563732	8958081-2-6450452	3080218-2-6317610	4-2-6450452	9456912-0-4814311	1-2-9458770	3-0-4814311	7312705-2-7930698	2104864-2-4118879	2-9509141-1	7714745-2-8079404	2-1-4839718	8627292-2-3758654	742165-2-9563732	2541033-6853365-1	3-9833018-2	6495539-1-4839718	2-3055242-9614163	2-1-4867317	2-6853365-5093393	8612571-2-7930698	2-6853365-5849475	2606112-2-1171253	5716944-7765980-6450452	5045815-2-5177120	2-8637653-1	8627292-2-9545070	5530446-7355235-1171253	2606112-2-1587692	1424378-2-7930698	2-5132446-1	2-3055242-1	1191576-5678349-1171253	3-6183959-4814311	2-4399994-1	2-9632583-5728886	2-6853365-5647845	2160888-2-6450452	8499511-3929889-4	8499511-90862-4	3-0-6495197	1-2-6394609	3080218-2-7930698	8499511-65979-4	3-0-4	2-7912616-1	3-2120241-4814311	6919743-2-1171253	2-6853365-1	2-1-8173327	3-7664099-2	2-1-9347571	9027604-0-4814311	8275095-2-6450452	3-282170-4814311
assemblage-509-774	0	0	0	0	0	0	0	0	0	0	0	135	39	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	9	0	0	0	0	0	62	0	0	0	0	0	22
assemblage-792-426	0	0	0	0	0	0	0	0	0	0	0	33	138	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	5	76	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	22
assemblage-947-458	0	0	0	0	0	0	0	0	0	0	0	25	67	0	0	24	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	43	0	0	0	30	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	23
assemblage-970-448	0	0	0	0	0	0	0	0	0	0	0	32	44	0	0	26	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	43	0	0	0	25	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	33
assemblage-781-432	0	0	0	0	0	0	0	0	0	0	0	29	55	0	0	22	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	34	0	0	0	20	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	6	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	9	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	18
assemblage-789-310	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	68	52	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-580-593	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	55	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	20
assemblage-775-446	0	0	0	0	0	8	0	0	0	0	0	14	23	0	0	0	0	5	0	0	0	0	0	0	0	0	0	16	0	0	6	0	0	0	9	147	0	0	0	0	0	0	0	0	8	0	0	0	103	0	0	0	28	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	13
assemblage-486-244	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	78	0	0	0	0	0	0	4	0	0	7	0	0	0	0	32	0	0	0	0	0	0	4	0	0	0	0	0	0	30	0	0	0	7	0	23	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	17
assemblage-992-736	0	0	0	0	0	8	0	0	0	0	0	69	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	25	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	17	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	29
