Assemblage_Name	3643085-6660716-4	5145963-1125391-5512416	7825698-4-3	4081038-7545923-4	5145963-5728167-8146538	3643085-4724628-4	7774675-1709724-8146538	2059343-9899797-204390	7835567-3528669-3	6505506-2-0	0-5925198-2470376	4-2-5138190	5145963-4-1985476	5145963-4-3389643	5065342-3528669-1000200	5145963-3528669-3494762	8058599-6598101-8146538	2506695-2-6115414	5145963-3141481-1929710	5145963-566437-8146538	6623137-3391219-3	5145963-947379-3	3923906-3528669-3494762	2570425-4-0	5145963-3528669-3731787	6393804-3528669-3	1-4-7122703	5145963-3528669-8031377	5167537-4-4446442	8058599-1709724-7868486	4081038-3198486-4	5145963-3528669-8470101	3643085-9985723-4	5065342-202001-3	2-2-796035	8058599-1709724-8146538	3643085-9227474-1114252	0-5925198-3	7473252-9227474-4	1-9160515-0	5145963-3528669-4668163	5145963-4316885-3	5145963-3528669-3219357	5145963-4-4446442	9834605-3528669-3	5145963-1709724-8146538	5987504-4-3	3643085-1645940-2053797	1-4-5871492	3643085-9227474-4	3923906-3528669-9806272	4081038-2-9216531	3643085-2-5896441	3643085-2-4	1-8141685-0	5145963-4-3848344	5145963-7471678-3	1717628-4-3	2506695-2-4	2059343-4-3	1717628-4-8739815	5145963-4-9732765	8740808-1590861-3	5145963-7273292-3731787	2-2-4	5145963-4-7100266	4081038-2-4	5145963-3141481-3	8383586-3528669-3	6623137-3528669-3	5145963-4-3	2059343-8575410-3	1-4-3859744	5145963-4-4058975	5145963-3528669-8146538	5145963-7034963-3494762	6363880-4-0	3643085-1645940-4	5145963-1125391-3494762	5145963-3528669-1807030	0-2537204-3	3258203-3528669-3	4081038-2-3643433	443772-3528669-3	5065342-3528669-5221471	1-4-0	5065342-7551673-3	6505506-60346-0	4-2-4267265	793246-3528669-3	1-5249964-0	3116172-3528669-3	5145963-6484424-8146538	5145963-6130773-3	3643085-5181453-4	7983261-1709724-8146538	5065342-3528669-8913866	8058599-1709724-68044	1977800-2-4	5145963-3528669-4153738	5145963-3528669-3	9562839-8046005-3	4081038-2-3002010	5065342-3528669-732087	2935239-3528669-3	1-6754673-0	4081038-7691054-4	3596473-1709724-8146538	8058599-1709724-4408863	3-9719676-0	5145963-8046005-3	1000562-3528669-3	5145963-3528669-9058677	5261357-3528669-3	38052-8575410-204390	5365276-4-3	8796119-4-3	3-0-0	5145963-3362178-4446442	5145963-3528669-4214346	9424007-5925198-3	5145963-8957273-3	5065342-3528669-8933771	2707925-4-0	2059343-8575410-204390	4081038-558023-4	5145963-6782514-4446442	5065342-3528669-3	5145963-3141481-6106493	5145963-8703598-3	3643085-2-5133970	8058599-7140781-8146538
assemblage-509-774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	16	0	13	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	20
assemblage-792-426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	51	0	0	0	0	0	0	0	0	13	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	19
assemblage-947-458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	26
assemblage-970-448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	13	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	23	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	14
assemblage-781-432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	17	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	17
assemblage-789-310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	57	0	51	0	45	0	0	0	0	0	0	0	44	0	0	83	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	15	0	0	0	0	0	7	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-580-593	0	0	20	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	84	0	10	0	0	0	0	0	0	0	0	0	0	0	0	112	0	66	0	0	0	0	0	0	15	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-775-446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	215	0	0	0	0	0	0	0	23	0	0	0	87	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	13
assemblage-486-244	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	11	0	0	0	7	0	0	0	0	0	0	15	0	44	0	0	0	103	0	0	0	0	0	0	0	0	0	0	71	0	0	0	17	0	15	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-992-736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	20
