Assemblage_Name	4-2588450-1	1381146-2588450-1	1-0-2	1393208-2588450-1	4-7609035-2312968	4-2588450-1191298	4-1-0	3-6923230-4	4-2588450-9058230	8552196-77738-0	9497000-2588450-1	1776532-2588450-1	1285443-3411745-0	3836351-1-0	5058980-2588450-5384028	9216843-3283868-5384028	4-2588450-8693160	4-2100558-1	4-7609035-1	3-1317016-5756524	8552196-1-0	4-2246980-5384028	2357848-2588450-1	3-1-4	6201497-2588450-1	9453093-2588450-8921737	4-2588450-9547921	3836351-3411745-0	8552196-3725923-0	3-1317016-4	8880700-2588450-5384028	9216843-2588450-5384028	4-438850-1	4-2588450-8921737	4-2588450-4224146	3836351-1-7411046	4-2588450-7496089	1-3-2	4-2588450-3454967	4-2588450-7624383	4-2588450-1339608	4-7462639-5384028	7211405-2588450-1	6248174-2588450-1	2364282-3-3	4-887025-5384028	4972019-2588450-1	4-2588450-298322	6632469-2588450-5384028	8552196-77738-640294	8262940-2588450-1	4-4347468-9058230	4605833-2588450-5384028	4-2588450-5384028	9029062-2588450-5384028
assemblage-509-774	335	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	6	13	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-792-426	255	0	0	0	0	0	0	0	36	170	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-947-458	298	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-970-448	273	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-781-432	326	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-789-310	354	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-580-593	137	0	36	0	0	0	28	0	0	0	0	0	0	5	0	0	0	0	0	0	102	0	0	104	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	70	0
assemblage-775-446	463	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-486-244	225	0	0	0	0	0	0	0	0	14	0	0	0	12	0	0	0	0	39	135	26	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
assemblage-992-736	312	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
