Assemblage_Name	2-1-8165966	9894158-1-2	0-1-5116840	1-2565726-1	0-8752045-2	2-3026078-1	1809952-3-9974207	0-1-2	1941883-3-1	5800311-3-1	1809952-3758116-9974207	1-3-6005497	1-6199725-9974207	8731440-3-1	1-3-4359291	1-3061357-9974207	5864835-3-9974207	1809952-4437304-9974207	4013288-1-1	1-3-3896679	1-3-1	3-0-1	1-3-2886267	0-3-4	5621099-1-2	1-3-4861949	1-3-7836233	9182278-3-1	1-3-9974207	1-2-4	1-6480244-9974207	1-3-9569262	2-1-1	1-3356249-9974207	6147707-1-2	1-5978293-9974207	1900537-1-2	1-7110701-9974207	1-3-6230968
assemblage-509-774	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	302	0	0	0	52	4	0	0	0	0	13
assemblage-792-426	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	127	0	0	244	0	0	0	0	0	0	0	0	0	10
assemblage-947-458	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	117	0	0	295	0	0	0	0	0	0	0	0	0	5
assemblage-970-448	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	115	0	0	292	0	0	0	0	0	0	0	0	0	4
assemblage-781-432	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	119	0	0	292	0	0	0	0	0	0	0	0	0	9
assemblage-789-310	0	0	0	0	0	0	4	47	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	205	0	0	0	36	0	0	0	0	5	4
assemblage-580-593	0	0	0	0	0	0	0	104	9	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	12	0	0	0	133	0	0	0	68	0	0	0	0	0	19
assemblage-775-446	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	58	0	223	0	0	0	135	17	0	0	0	0	3
assemblage-486-244	0	0	0	0	0	0	10	117	0	0	0	0	0	0	0	0	0	0	0	6	163	0	0	0	0	0	0	0	125	0	0	0	68	0	7	0	0	0	4
assemblage-992-736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	33	51	0	326	0	0	0	13	0	0	0	0	0	7
assemblage-468-265	0	0	0	0	27	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	278	0	0	0	12	0	0	0	0	0	4
assemblage-407-904	0	0	0	0	0	0	18	34	0	0	0	0	0	0	0	0	0	38	0	0	49	0	0	0	0	13	0	0	291	0	0	0	54	0	0	0	0	0	3
assemblage-730-369	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	185	0	0	0	19	0	0	0	0	0	6
assemblage-940-453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	58	44	0	316	0	0	0	8	0	0	0	0	0	4
assemblage-171-164	0	0	0	0	0	0	0	86	6	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	5	0	0	0	126	0	0	0	56	0	0	0	0	0	19
assemblage-993-792	0	0	0	0	0	0	17	30	0	0	0	0	0	0	0	0	0	31	0	0	56	0	0	0	0	11	0	0	284	0	0	0	66	0	0	0	0	0	5
assemblage-368-841	0	0	0	0	0	0	24	27	0	0	0	0	0	0	8	0	0	0	0	0	101	0	0	0	0	0	0	0	205	0	0	0	133	0	0	0	0	0	2
assemblage-541-582	0	0	0	0	0	0	8	97	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	3	0	0	0	0	0	9
assemblage-614-784	0	0	0	0	0	0	35	53	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	272	0	0	0	8	56	0	0	0	0	7
assemblage-171-169	0	0	0	0	0	0	0	106	5	0	0	0	0	0	0	0	0	0	0	0	171	0	0	5	7	0	0	0	149	0	0	0	48	0	0	0	0	0	9
assemblage-823-113	0	0	0	0	0	0	9	245	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	7	0	0	0	0	128	0	0	0	42	0	0	0	0	0	3
assemblage-259-175	0	0	0	0	0	34	0	5	0	0	0	4	0	0	0	0	0	0	0	0	64	0	0	0	0	20	33	0	199	0	0	0	132	0	0	0	0	0	9
assemblage-238-294	0	0	0	0	0	0	130	14	0	0	0	0	13	0	0	0	0	10	18	0	27	0	0	0	0	0	0	0	230	0	0	0	56	0	0	0	0	0	2
assemblage-793-937	0	0	0	0	0	0	55	90	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	242	0	0	0	40	0	0	0	0	0	5
assemblage-642-157	0	0	0	0	0	0	53	59	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	242	0	0	0	7	65	0	0	0	0	2
assemblage-386-578	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	40	0	0	0	0	12	14	0	0	33	0	0	0	0	0	8
assemblage-607-790	0	0	0	0	0	0	49	76	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	250	0	0	0	4	41	0	0	0	0	9
