Assemblage_Name	4-4-317980	4-4-4216099	8239612-940502-1	4425671-4-1	1676199-8725739-9067319	5835629-3-0	8691649-9170289-2	3757978-8741853-1	1-8717269-1	5364497-8725739-333119	1676199-8725739-9610939	8168774-4-2	8239612-3-1	1396565-4-2	9079357-8725739-333119	1676199-7066370-333119	6860655-3062240-0	4226269-3208253-633463	5866751-4-1	5848827-4-2	4705321-8725739-333119	561650-4-2	4018978-4-0	5866751-4-633463	9062416-8725739-333119	3941929-4-2	5866751-4-7644962	1676199-8725739-2027901	6466498-4-1	4-4-4835992	4-6078948-2	6423694-4-0	4-1253814-2	8239612-6345743-1	7009277-8725739-5329786	4-6548859-2	4226269-4-633463	6005551-3-1	5866751-4-2536497	4226269-434915-633463	8691649-9789588-2	4966795-4-2	4425671-4-799809	4927787-8725739-333119	1747268-3150426-2	5248009-4-2	4-4-9781763	1420366-1315640-1	8239612-7365196-1	8754166-4-2	8869406-4-4934900	1676199-8725739-333119	9920714-4-2	5866751-4-8228617	5866751-4-2821263	5866751-4-2620925	1676199-8725739-8990432	1-1582826-1	1845642-8741853-1	7625311-4-2	4-4-1678635	7561976-8725739-333119	6650861-4-1	8691649-4-2	3-2771116-4653176	1-4878817-1	8691649-9229363-2	9886080-8725739-333119	5866751-7291655-1	4-2136147-2	599128-8725739-333119	8869406-1507943-4934900	7009277-8725739-333119	1-4-1	4-1936942-2	4-4-8649827	3-4-0	7414360-4-2	8239612-8741853-6090276	1-3286653-1	4226269-4-7355245	4-3894043-2	1420366-8741853-1	2696997-8725739-333119	8691649-8014419-2	3-2771116-80231	8691649-4-4768436	8051053-4-2	4-4-9157480	4-3977070-2	8691649-1896556-2	1173511-4-633463	7997382-8725739-333119	8239612-7365196-684948	4-3150426-2	4-3723893-2	6860655-4-0	8239612-1122331-1	8239612-1122331-1131121	4-157576-2	4-4284968-2	6576964-4-0	9374230-4-1	4-9215373-2	1197486-9789588-2	4-4-2	2395106-1-5619304	8239612-8741853-1	9157015-4-2	5866751-5659138-1	8691649-2094692-2	9157015-1036744-2	4-7966590-2	4-2868034-2	7336232-192788-1	5866751-4140217-1	8869406-4-1	6860655-4-4840393	8239612-8741853-2575477
assemblage-509-774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	9	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	20	0	0	0	0	0	0	0	0	0	0	22
assemblage-792-426	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	27	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	22	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	44	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	22	0	0	0	0	0	0	0	0	0	0	18
assemblage-947-458	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	124	0	0	0	0	0	0	0	0	0	0	25
assemblage-970-448	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	119	0	0	0	0	0	0	0	0	0	0	13
assemblage-781-432	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	103	0	0	0	0	0	0	0	0	0	0	12
assemblage-789-310	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	71	0	58	0	0	0	0	0	0	0	0	0	0	15
assemblage-580-593	12	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	44	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	25	0	0	0	22
assemblage-775-446	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	50	0	0	0	0	0	0	25	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	7	8	0	149	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	128	0	0	0	0	0	0	0	0	0	0	11
assemblage-486-244	22	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	23	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	9	0	0	0	0	293	0	31	0	0	0	0	0	0	0	0	0	0	10
assemblage-992-736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	12	0	0	188	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	75	0	0	0	0	0	0	0	0	0	0	6
