Assemblage_Name	1975628-3-3	4-2673271-40505	2031166-2-4	3-3-2815744	3-3-6836374	4-2673271-4354866	1-2230821-4	2778664-2-4	6092083-3-2815744	0-4582387-0	1-7318468-4	3-1-4	2987040-5292876-8387589	0-9918559-5088898	9932838-5292876-4	8175876-2-4	1-8304168-4	9219497-2-6387495	484131-2-4	405472-2-4	1-2-787229	1-2-7996953	4-1618542-4979803	978164-4582387-5101786	4-2673271-1211607	1-2-6082170	3-3-6501642	963103-2-4	1-7861236-6387495	1-2-4288254	2094552-2-4	4-5208745-823771	0-4-0	0-1-4	4443398-1597851-823771	7214051-4-0	9428926-2673271-823771	1061591-0-3	9904690-1-4	1-7390472-4	0-0-3	7309982-2-4	1-9135755-4	2987040-301484-4	3-2-3	1-2-1041642	2632508-9531621-4979803	1-2-3610222	1-9668967-4	6857251-2-2696453	1-2-4	1975628-3-7221620	0-8309340-9324259	1-6136985-4	7108014-4-3	0-7029306-3	4-2673271-823771	0-4574889-3	4694798-4-0	4-7598416-9731988	6201123-5292876-4	1-2459133-4	7612256-2-4	978164-4582387-7310382	1-2-5434596	4-9531621-823771	3-1964785-2815744	6857251-2-3	5217958-0-3	1-5292876-4	1-1785160-4	1-2-7420840	7156704-2673271-823771	0-8309340-0	4-9446123-4979803	8282657-3359424-4	0-9918559-1178681	0-9918559-7205238	996046-9918559-3	7243628-4582387-0	978164-4582387-0	9688575-2-4	7598531-4-0	4581730-2-3	1-1277401-7996953	1-2-2364962	4-5032288-4979803	2987040-5292876-4	1-2-1621457	1-2-6387495	1-2-5279646	4-9531621-4979803	1975628-3-9871761	0-9918559-8703695	1-4619423-4	6857251-2-2225961	0-8351226-3	0-9918559-9480199	1-9752065-4	4-7029477-823771	1-9981624-4	0-9918559-3458157	1-2-6090123	4-7598416-823771	1-2-6431077	1-2-2680227	8282657-4-4	978164-3958503-0	5665861-9918559-3	0-1088683-3	0-9918559-3	6940912-9531621-4979803	8026025-2-4	1-637812-4	4-726992-3	1-3072232-4	4443398-2673271-823771	4-4-9282510	1-4508059-4	5594750-2673271-823771	4-4-1	4-4-3	5755436-3-3	0-8799936-0	5664344-2459133-4	1-2-2655631	1-2-7159092
assemblage-509-774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	22
assemblage-792-426	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	12	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-947-458	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	16	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	125	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-970-448	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	10	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	143	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-781-432	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	18	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	122	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-789-310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	23	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-580-593	3	0	0	0	0	7	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	35
assemblage-775-446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	342	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	14	0	0	0	0	4	0	0	0	0	0	0	0	25
assemblage-486-244	26	0	0	0	14	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	14	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	35
assemblage-992-736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	30	0	0	0	220	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	33	0	0	0	0	0	0	0	27
