Assemblage_Name	4857388-4-2	3-9518590-7037169	206056-4-2	3-1160120-5884050	5434652-4-2	3-4-4917381	3-8135408-2	0-1-4769066	3-9320520-2973536	3-0-2564801	3-4-575472	3-1494774-7037169	0-8948003-0	3-1639919-3	3-9099602-2973536	3-4-2	0-4-1	6542453-4-5884050	0-1-0	3-7526006-7037169	3-9376196-5884050	0-6456331-1	3-4-7037169	8276927-4-2	7186108-4-2	3-4-5855429	3-3329176-4002237	0-6387347-1	3-4-6152249	3-3329176-5229436	5383493-4-5884050	3-4-6527248	3-0-3	1-4-8107784	3-4-4052374	3-4451725-5884050	3-4-3406324	1-4-2	1-512928-2	3-3329176-2771424	0-8706078-1	289302-4-7037169	5063919-4-2	3-4-5884050	3-1221891-5884050	3-3992027-4052374	3-4-2973536	0-5595880-1	3-4-8044294	3-3329176-3	0-6069045-1	1-4-7599946
assemblage-509-774	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	38	0	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	6
assemblage-792-426	0	0	0	35	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	27	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	14
assemblage-947-458	0	16	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	7
assemblage-970-448	0	23	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	9
assemblage-781-432	0	13	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	8
assemblage-789-310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	57	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	66	0	6
assemblage-580-593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	195	0	22
assemblage-775-446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	11
assemblage-486-244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	91	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	203	0	0
assemblage-992-736	0	0	0	0	0	0	0	0	0	0	46	99	0	0	0	0	0	0	0	0	77	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	2
assemblage-468-265	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	117	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	14	0	6
assemblage-407-904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	63	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	6
assemblage-730-369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	65	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	129	0	4
assemblage-940-453	0	0	0	0	0	0	0	0	0	0	47	66	0	0	0	0	0	0	0	0	100	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0
assemblage-171-164	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	132	66	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	77	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	174	0	20
assemblage-993-792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	61	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0
assemblage-368-841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	46	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	8	0	0	0	0	0	0	0	0	164	0	0	0	0	0	85	7	6
assemblage-541-582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	178	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	28	0	0	0	0	0	69	0	17
assemblage-614-784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	50	0	0	0	11	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	3	0	6
assemblage-171-169	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	152	58	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	63	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	193	0	12
assemblage-823-113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	147	0	0	0	0	0	48	0	0	11	0	0	19	0	3
assemblage-259-175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	7
assemblage-238-294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	44	86	0	0	0	9	0	76	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	156	0	0	0	0	0	61	0	7
assemblage-793-937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	122	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	7	0	0	0	0	0	0	0	0	22	0	0	0	0	0	220	0	4
assemblage-642-157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	37	0	0	0	23	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	5
