Assemblage_Name	1-3-9796414	6048009-0-2	4253196-4762952-4	4-0-699998	4-0-9428094	1-3-6206778	6493549-4762952-4	0-4762952-4450054	4-1803478-2	9726750-0-5201590	0-1831170-4	168681-2-3	4097772-2-3647488	0-2-4707631	1-7258117-1	0-4762952-9925515	1-3789102-1	1-3-1091061	1-1780967-1	0-4762952-4	0-0-5201590	0-4762952-3322549	9744523-2-3	3513090-1321703-3	3513090-0-9749314	4-0-3499269	2706882-3-1	3454903-0-3	1-1958563-1	3234848-0-5201590	3234848-9554524-5201590	4-4977779-2	3513090-4487364-3	3513090-8250942-3	0-0-3	3513090-0-3	1-3-5716765	0-2-4	2718215-3-1	4-0-2	4769895-0-3	939444-3-1	1-3-9846136	0-1039739-8783345	3513090-5078076-3	0-4762952-3461764	1-3-1	0-8562345-4	0-4762952-3856074	3234848-3848568-5201590	543806-4762952-4	8487020-0-3	1-6247232-1	0-1307284-4	1400114-1048817-0	3932843-0-3	3511052-2-3	6725446-0-2	3513090-4336214-3	1-3-8716793	0-2127847-3	0-5935956-4	1400114-8670397-0	1-4895638-1	1-7858863-1	1649599-4762952-4	0-1039739-4	0-4312402-4	1-5520862-1	0-4762952-2497694	1-9727239-1	0-3309782-4	0-800661-3	1-3-484711	6014478-4762952-4	0-3049325-4	5053699-4762952-4	0-6161393-4	1-6361954-1	0-6715957-3	5096192-0-2
assemblage-752-988	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	12	0	0	11	0	0	0	0	58	0	0	0	25	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	18
assemblage-868-649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	44	0	5	0	0	0	0	0	0	0	0	0	0	0	55	24	0	32	0	8	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9
assemblage-866-95	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	24	0	0	19	0	0	0	0	49	0	0	0	21	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	37
assemblage-671-963	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	25	25	0	0	0	0	0	0	0	0	12	0	0	0	0	166	84	0	6	0	9	0	0	0	0	0	0	69	0	0	0	8	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	8
assemblage-885-931	0	0	0	0	0	0	6	0	18	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	3	54	0	0	0	12	139	0	0	0	16	0	0	0	0	0	0	105	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-829-151	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	8	0	55	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-93-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	11	0	0	0	0	9	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	7
assemblage-953-850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	88	0	7	0	0	0	0	0	0	0	0	0	0	0	112	0	0	58	0	0	0	0	0	0	0	0	103	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	37	0	0	0	0	0	5	0	0	0	0	0	0	16
assemblage-830-129	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	24	0	11	26	0	0	0	0	0	129	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-207-398	0	0	0	0	0	0	36	0	42	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	23	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11
assemblage-956-115	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	38	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
