Assemblage_Name	2-2-7075082	2-2-3994614	2-7043297-4	4-4-3429669	2-8273095-4	4-0-3101148	6167894-2-4	2-2698674-4	4-3-2321807	4-1960339-3	4-4-4820479	2-2-1173661	3177846-2-4	2-6397029-4	2-2667702-4	6232429-2-4	2-2-4	2-176969-4	2-3274979-4	3212077-2-4	4-0-2	9763193-3-3	2-2-7632525	7088311-2-4	4-5233958-2	4-4-1710926	267-2-4	4-6201290-3	2-7411018-4	5470854-2-4	2633376-7975850-4	2-2-3418447	4461560-2-4	4-4-4	2-7975850-2938969	8519423-7975850-4	2390635-3-2480259	2-7975850-4	2-2-5553261	4-3-1630596	4-3291160-3	2-2-5157527	2-2-4803275	4-3-6419050	2-2-4300006	5120206-2-4	4-3-3	2390635-3-3	8211310-4-4
assemblage-752-988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	51	0	0	0	43	0	0	0	0	0	0	0	0	0	0	13
assemblage-868-649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	56	0	0	0	0	22	0	0	0	0	0	0	0	32	0	0	0	21	0	0	0	0	0	0	0	0	39	0	11
assemblage-866-95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	75	0	0	0	48	0	0	0	0	0	7	0	0	0	0	5
assemblage-671-963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	12	0	6	0	0	0	0	0	24	0	0	0	0	0	0	0	35	0	0	0	76	0	0	0	0	0	20	0	0	6	0	3
assemblage-885-931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	0	0	0	0	0	0	6	0	23	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	7	0	0	0	0	14
assemblage-829-151	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	20	0	0	0	15	0	0	0	0	0	0	0	0	54	0	13
assemblage-93-772	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	412	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0
assemblage-953-850	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	200	0	0	0	0	11	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	14	0	5
assemblage-830-129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	16	0	0	11	0	0	0	0	0	0	0	0	0	141	0	9
assemblage-207-398	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	21	0	0	0	0	0	16	0	0	174	0	3
assemblage-956-115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	8	0	0	113	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	4
assemblage-375-787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	81	12	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	118	0	3
assemblage-987-763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	43	0	0	0	23	0	0	0	0	0	21	0	0	81	9	8
assemblage-300-862	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	21	0	0	0	0	8	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	3
assemblage-532-763	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	16	0	0	37	0	71	0	0	0	0	0	0	0	0	0	0	1
assemblage-181-462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	199	0	0	0	3	8	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3
assemblage-943-371	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	4
assemblage-866-109	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	12	0	0	6	7	0	0	0	0	0	0	0	0	0	0	2
assemblage-877-569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	11	0	0	186	0	10
assemblage-877-568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	196	0	12
assemblage-857-558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	18	0	0	0	0	23	0	0	0	0	0	0	0	57	0	0	0	9	0	0	0	0	0	0	0	0	85	0	18
assemblage-510-208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	23	0	0	0	31	0	0	0	0	0	0	0	0	12	0	10
assemblage-617-440	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	5	0	36	0	0	0	0	0	0	0	0	0	0	15
assemblage-881-672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	76	0	12
assemblage-573-213	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	17
assemblage-637-432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	46	0	0	17	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	7
assemblage-698-780	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	253	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	29	0	0	60	16	0	0	0	0	0	52	0	0	0	0	5
assemblage-863-648	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	160	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	207	0	9
assemblage-871-116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	17	3	0	0	0	0	0	18	0	0	0	0	3
assemblage-239-219	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	149	0	1	0	0	0	0	0	10	0	0	0	19	0	0	0	0	0	0	0	0	70	0	5
assemblage-124-179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	26	0	0	18	23	0	0	0	0	0	16	0	0	5	0	9
assemblage-961-129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9
assemblage-867-659	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	366	0	0	10	21	0	0	0	0	62	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	16	0	2
assemblage-908-762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	80	0	5
assemblage-781-955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	12	0	0	13	0	0	0	0	5	0	0	0	0	139	0	5
assemblage-94-496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	25	0	0	0	0	33	0	0	0	0	0	0	0	52	0	0	0	13	0	0	0	0	0	0	0	0	56	0	10
assemblage-816-142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	26	0	0	0	79	0	0	0	0	0	31	0	0	45	0	9
assemblage-818-149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	35	6	9
assemblage-963-905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	2
assemblage-844-834	0	0	376	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	11
assemblage-603-766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	10	0	0	0	0	6
