Assemblage_Name	1-1-1	1-0-0	2955365-151181-1	2-3-2	2-3-271943	2-3-1744175	1-7197121-1	2-3031856-271943	1673785-3-2	1-151181-7434256	1-151181-6296080	3-4-8423495	2-3-4033898	3034875-151181-1	1-7598623-1	6955843-3-2	4088006-4898762-1	2-3-8077019	2-3-1467683	0-0-4	0-0-2	6545030-151181-1	2-3-1889429	1-151181-1	1-1820601-1	1988674-151181-1	1-151181-3019041	1-9002263-1	4-4898762-1	2-3-6521304	1166586-3-2	1-6663545-0	6438944-151181-1	1-2-0	9673895-3-2	4-0-2436022	3-4-1383596	3-4-1	2-3-9699983	3-4-2894348	1-1434409-1	6329706-3-2	2-3-7889914	1-6120847-1
assemblage-752-988	0	0	0	91	17	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	21	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	10
assemblage-868-649	34	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	17	15	0	0	0	0	0	36	0	0	118	0	0	9	0	0	13
assemblage-866-95	0	0	0	107	19	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	13	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	9
assemblage-671-963	57	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	3
assemblage-885-931	0	0	0	151	11	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	8
assemblage-829-151	20	0	0	155	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	32	0	0	72	0	0	0	0	0	14
assemblage-93-772	0	0	0	212	0	0	0	0	9	0	0	36	0	0	0	0	0	0	71	0	0	0	0	68	0	0	0	0	0	17	0	0	0	0	0	0	0	60	0	0	0	18	0	9
assemblage-953-850	8	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	24	0	0	11	0	0	84	0	0	209	0	0	0	0	0	4
assemblage-830-129	9	0	0	247	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	12
assemblage-207-398	101	0	0	167	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10
assemblage-956-115	0	0	0	89	0	0	0	0	0	0	0	14	0	0	0	0	0	0	20	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	13
assemblage-375-787	95	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	43	0	0	0	0	0	0	0	0	54	0	0	0	0	0	6
assemblage-987-763	66	0	0	244	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	17	0	0	28	0	0	0	0	0	10
assemblage-300-862	0	0	0	186	0	0	0	0	0	23	0	56	0	0	8	0	0	0	0	0	0	0	0	209	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-532-763	0	0	8	64	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	267	0	0	40	0	0	12	0	0	0	0	0	0	0	88	0	0	0	0	0	5
assemblage-181-462	1	6	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	20	0	0	11	0	0	80	0	0	230	0	0	0	0	0	12
assemblage-943-371	0	0	0	281	0	0	0	0	0	0	0	28	0	0	0	0	0	0	39	0	0	0	0	105	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
