Assemblage_Name	3416200-4-0	2-6781095-4133028	6061653-3402066-2	3292110-1718735-4	1-4-5771428	3231001-0-4	9285195-4-1	0-4-5885081	2836570-4-1	2-0-6221300	6218024-1718735-4	1-4-2211698	0-4801278-1	5376695-0-4	0-8011491-1	2-346853-4	2-3185201-4	2-6554869-4	2-0-9582970	5271246-0-4	0-7357424-3128949	0-4801278-8420654	0-4-3969365	2-1441305-7417096	8577692-8011491-1	1-3278188-2	691781-4-0	3584976-8778381-4	0-4-3128949	1-3266489-0	2-3901239-4	2-1718735-3340766	2-9848000-4	1-4963495-0	2-8920437-4	2-1277092-1	0-4-1	1-4-4706853	3584976-5421987-4	2-7613924-4	2-0-7538088	268808-4-1	2-2296919-4	825619-5421987-990817	2-3955092-4	2749739-0-7060937	1713317-4801278-8420654	6061653-1364271-2	3584976-6049817-4	2-7613924-5630369	2-430956-4	2-0-4	6270663-0-4	2223018-0-4	2656091-0-1	2-903429-4	2-0-7060937	2-0-1	9078349-9363860-4	2-0-5510676	2240558-4-2	2-1224677-4	1864787-0-1	3584976-0-4	2-1718735-4	2-5575286-4	8428251-4-1	5231382-5421987-4	5231382-7266783-2404464	0-1722576-1	7354491-7613924-4	7415803-1441305-4	0-8842949-1	2-5468760-4	0-6143183-5885081	2-0-8748515	2-5264316-4	0-4-1425868	3584976-3658170-4	1832606-4-1345678	4154951-7613924-5630369	0-4801278-6783148	3545075-7218101-1	4340137-7266783-2404464	9041899-0-4	2-1348489-4	2-0-6329996	2-1441305-4	2-1718735-9107452	2-9363860-4	0-7218101-1	1-4-7451729	1-4-0	3583420-4-0	0-2653130-1	2-6781095-4	2-5312326-4	9238243-4-0	825619-5421987-4	2-4934891-4	6061653-3678681-2	6061653-8486220-2	1044043-4-0	2-0-6671106	2-1718735-5844301	0-7772006-1	6061653-2082915-2	788141-0-4	2-0-950125	7898082-4-0	0-8393846-1	6061653-4-2	7169962-1718735-4	119328-4-0	2073621-4-0	2-0-4175158	6061653-4-3040864	7533620-4801278-1	2-7250543-4	9753178-4-1	2-5998885-4	0-2536026-1	2-0-514136	6270663-6234166-4
assemblage-752-988	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	43	0	0	5	0	0	46	0	0	0	0	0	34	0	0	25	0	12	0	0	0	0	0	0	0	0	0	0	0	0	81	0	8	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	20	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-868-649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	19	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-866-95	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	35	0	0	9	0	0	36	0	0	0	0	0	21	0	0	17	0	8	0	0	0	0	0	0	0	0	0	0	0	0	100	0	10	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	35	0	0	0	0	0	0	0	5	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-671-963	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-885-931	0	0	0	0	5	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-829-151	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	11	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-93-772	0	0	0	0	0	0	0	43	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	8	59	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-953-850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	28	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-830-129	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	166	0	0	0	0	8	0	0	0	0	0	0	0	0	0	63	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-207-398	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	3	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	6	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	8	17
assemblage-956-115	0	0	0	0	0	0	0	38	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-375-787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	56	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-987-763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	11	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	38
assemblage-300-862	0	0	0	0	0	0	0	126	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	22	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	28	0	0	38	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-532-763	0	22	0	0	0	0	0	87	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	53	0	0	54	3	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-181-462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	30	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-943-371	0	0	0	0	0	0	0	29	0	0	0	0	23	0	0	0	0	0	0	0	0	45	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	42	0	0	0	5	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	3	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
