Assemblage_Name	2559871-8952806-1	2-2010276-1	5592634-4-1	2-1890704-1	2-1-5458090	0-9769267-2	3-3179916-821237	5875042-2-226164	3-3179916-0	3-2-226164	7481502-1-1	0-6653765-2	5970712-3179916-0	8180774-2-2	4-4-4	2-1-3285072	0-3-2	0-2-6626474	1358952-4-1	2559871-1-1	3-2-6544721	1256996-2-2	3-5235514-1	2-1-1	3-4-1	9989389-1-1	0-2-2	0-2-138251	3-3179916-9616508
assemblage-752-988	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	73	0	1
assemblage-868-649	0	0	0	0	0	0	10	8	17	5	0	0	51	0	0	10	0	0	0	0	0	0	4	183	49	0	161	0	2
assemblage-866-95	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	94	0	3
assemblage-671-963	0	0	50	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	51	159	21	0	158	0	5
assemblage-885-931	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	180	0	6
assemblage-829-151	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	125	0	6
assemblage-93-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	404	0	5
assemblage-953-850	0	0	0	0	0	0	41	73	45	64	0	0	0	0	0	0	0	0	0	0	0	0	8	56	106	0	101	0	6
assemblage-830-129	0	0	14	0	0	0	0	0	0	39	0	0	0	3	0	0	0	0	0	0	0	0	0	285	0	0	155	0	4
assemblage-207-398	0	0	0	0	0	0	0	0	32	14	0	0	0	0	0	0	0	0	0	0	0	0	14	228	0	0	209	0	3
assemblage-956-115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	230	0	0	262	0	2
assemblage-375-787	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0	0	0	0	0	0	0	25	245	97	0	106	0	3
assemblage-987-763	0	0	14	0	0	0	0	0	11	48	0	0	0	0	0	0	0	0	0	0	0	0	25	263	12	0	121	0	6
assemblage-300-862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	291	0	0	169	0	5
assemblage-532-763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	256	0	0	190	0	3
assemblage-181-462	0	0	0	0	0	0	46	61	53	56	0	0	6	0	0	0	0	0	0	0	0	0	0	58	89	0	126	0	5
assemblage-943-371	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	17	0	0	0	72	0	0	372	0	2
assemblage-866-109	0	0	0	0	0	17	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	203	0	1
