Assemblage_Name	6779302-4-1529671	3460844-8907253-4	3460844-2-4	1-8833337-4	2907576-9932706-4	2-8432134-2	3906234-4-4	4-2-7467183	3460844-2-6652303	2-9266801-703543	4-1571280-1	1-9932706-4	6779302-5210111-4	3-1423135-4	1-851899-4	1-9932706-6362676	1-9932706-2369939	2-4-4259022	5166944-2-4	4-2-4330192	566605-9932706-4	1-5786127-4	6779302-4-5644916	4-8937439-3	2-4-5093656	1-7821445-4	4-760152-3	1-2019397-4	6068412-4-4	4-2-9501159	2-4-2	2-1400741-2	7644183-9932706-4	2-4-703543	6779302-1707425-4	4-2-3	4-2-1	2-9307250-2	6779302-4-918683	5044815-4-703543	6779302-4-3619123	1-4-4	1-9932706-8482261	3-2-6673817	3460844-7163423-4	8994230-2-4	1-1731124-4	7017116-4-4	6779302-4-4	3-2-4	7123588-2-4	899072-2-4	6779302-5372325-4
assemblage-752-988	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	61	0	65	0	0	0	14	0	0	0	0	0	0	0	0	211	11	0	0	12
assemblage-868-649	0	0	104	0	0	6	0	0	0	0	0	64	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	8
assemblage-866-95	12	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	81	0	76	0	0	0	7	0	0	0	0	0	0	0	0	159	13	0	0	9
assemblage-671-963	0	0	68	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	51	0	0	94	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	13
assemblage-885-931	0	0	93	11	0	0	0	0	11	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	59	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	7
assemblage-829-151	0	0	123	0	25	0	0	28	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	10
assemblage-93-772	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	10	0	124	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	9
assemblage-953-850	0	0	93	0	0	111	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	9	89	0	0	0	0	0	0	0	0	0	0	0	74	44	0	5	6
assemblage-830-129	0	0	107	0	0	0	0	49	0	0	0	90	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	70	0	0	11
assemblage-207-398	0	0	47	0	55	0	0	0	0	0	0	43	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	33	0	39	0	0	0	0	0	0	0	0	0	0	0	0	173	59	0	0	9
assemblage-956-115	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	6
assemblage-375-787	0	0	87	0	0	22	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	68	3	0	0	0	9	25	10	0	0	0	0	0	0	0	0	0	0	73	65	0	0	9
assemblage-987-763	0	0	70	0	7	0	0	11	0	0	0	56	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	21	0	0	125	0	40	9	0	0	0	0	0	0	0	0	0	0	0	56	74	0	0	7
assemblage-300-862	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	28	0	0	9	0	0	21	22	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	6
assemblage-532-763	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	5	0	18	0	0	0	103	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	2
assemblage-181-462	0	0	105	0	0	96	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	14	82	0	0	0	0	0	0	0	0	0	0	0	72	31	0	14	16
assemblage-943-371	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	38	0	16	0	7	0	0	0	0	79	0	145	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	14
assemblage-866-109	0	0	11	0	0	0	0	0	0	10	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	70	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	15
assemblage-877-569	0	0	79	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	56	0	0	114	0	49	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	7
assemblage-877-568	0	0	51	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	59	0	0	114	0	53	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	5
assemblage-857-558	0	0	64	0	6	0	0	0	0	0	0	63	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	62	0	0	40	0	75	12	0	0	0	0	0	0	0	0	0	1	0	59	59	0	0	9
