Assemblage_Name	3-0-975773	7362257-3-3	4662509-1-5261921	3194767-7931-2850204	4662509-6679128-0	245326-3-2850204	0-3769641-1	4662509-1-5029562	3-1-3	4662509-1-7819876	0-3-4204721	2-8585978-3	3906422-4571637-6040392	1351735-4-2	2243416-0-1	2-3-8442068	7980362-1-5029562	8500082-3-3	1-4-2	2-3-3098279	7487009-3-3	3-4189934-3	1351735-4-2031615	6921569-3-2	6057287-0-1	3906422-3-3	9998630-3-3	1-7232755-2	1351735-9853965-2031615	4858877-3-3	7488960-4571637-3	2-2698625-3	1196882-1-0	0-3-8674667	0-3-1	1-4-8767125	2-3-2533080	4662509-1-0	1-3-113041	8790410-0-1	0-3-5062752	2677740-3-2	0-3-8036060	8846291-3-3	2-3-3	2985374-3-1	3906422-3-1341497	4662509-3357224-0	3-0-1193167	3906422-4571637-3	2-77650-3	3-0-9722248	1-3-2	3-0-8975590	3194767-3-3	2-3-1155833	4662509-9152435-0	2510722-2-1	9589978-3-3822089	9184178-3-1	2-9431767-9702611	3711243-2-1	2-2060915-3	0-3-8025838	3-0-7195328	3-0-2664964	2677740-3055912-2	2-4431335-3	0-3-141230	0-3-2252213	2677740-3-3997020	2-9990343-1155833	3194767-3-2850204	9655308-0-1	3194767-3-8996176	1-4-50688	3-0-1	2677740-9092391-2	3711243-2-1858589	0-3-3822089	2-3-2743991	5464998-3-3	2-3-5659401	3-6951872-1	2976572-3-1
assemblage-752-988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	105	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	10	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	25
assemblage-868-649	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	9	0	0	0	0	0	0	182	0	9	0	0	0	0	0	0	67	0	0	51	0	0	0	12	0	0	68	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-866-95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	113	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	12	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	22
assemblage-671-963	0	0	0	0	0	0	0	0	0	7	0	0	43	25	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	176	0	0	114	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	14
assemblage-885-931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	3	0	0	21	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	154	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	12	0	0	8	15
assemblage-829-151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	5	0	0	61	0	0	0	0	75	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	26	0	0	0	21
assemblage-93-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	86	0	0	139	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	13
assemblage-953-850	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	64	0	0	37	9	0	0	24	0	0	127	0	0	0	0	0	0	0	29	0	0	0	0	17	0	14	0	38	0	0	0	0	0	0	0	6	0	0	0	0	0	0	28	0	0	0	0	0	0	0	3
assemblage-830-129	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	10	0	0	67	0	0	0	0	0	0	0	0	168	15	0	58	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	10
assemblage-207-398	0	0	0	0	0	0	0	0	0	0	0	0	0	15	21	0	0	0	5	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	94	0	0	158	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	87	0	0	0	0	0	0	0	14
