Assemblage_Name	4-0-415513	1-1-2	4-4467719-2069699	3-3-3	4-1-5977635	4-0-7101265	2-0-1291337	4-2-5742587	3751153-0-8013752	4-1-1	4-2-2	2868091-1-1	4-9207109-2069699	4-1742654-2	9548587-0-3	4-2-1704654	1043932-0-3	2-0-78339	4-0-2069699	2-0-3	6668478-2-2	4-9289896-2	4-1-1518850	2897455-7619540-2	2897455-2-2	4-0-1719307	4-2-5351340	4-0-8883218	8419574-0-2069699	6956857-0-2069699	2-1013432-3
assemblage-752-988	12	0	0	0	0	0	0	0	0	0	152	0	0	39	0	0	0	0	201	39	0	0	0	0	23	0	0	6	0	3	25
assemblage-868-649	0	0	0	0	0	0	0	24	0	121	53	0	0	0	0	0	0	0	200	96	0	0	0	0	0	0	0	0	0	0	6
assemblage-866-95	27	0	0	0	0	0	9	0	0	0	143	0	0	28	0	0	0	0	230	28	0	0	0	0	15	0	0	10	0	0	10
assemblage-671-963	0	109	0	0	0	0	0	0	0	96	45	0	0	0	0	0	0	0	152	94	0	0	0	0	0	0	0	0	0	0	4
assemblage-885-931	0	0	0	0	0	0	0	0	0	66	74	0	0	0	0	0	0	0	321	7	0	0	0	0	0	0	0	0	23	0	9
assemblage-829-151	0	0	0	0	0	0	0	0	0	92	190	0	0	0	0	0	0	0	190	24	0	0	0	0	0	0	0	0	0	0	4
assemblage-93-772	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	117	241	0	0	0	0	10	0	0	6	0	0	9
assemblage-953-850	0	33	0	0	0	0	0	0	0	16	166	0	0	0	0	0	0	0	217	67	0	0	0	0	0	0	0	0	0	0	1
assemblage-830-129	0	0	0	0	0	0	0	0	0	114	64	0	0	0	0	0	0	0	306	11	0	0	0	0	0	0	0	0	0	0	5
assemblage-207-398	0	24	0	0	0	0	0	0	0	115	18	0	0	0	0	0	0	0	250	90	0	0	0	0	0	0	0	0	0	0	3
assemblage-956-115	0	0	0	0	0	0	0	0	0	6	98	0	0	0	0	0	0	0	145	93	0	0	0	0	113	42	0	0	0	0	3
assemblage-375-787	0	53	0	0	0	0	0	0	0	131	42	0	0	0	0	0	0	0	215	47	0	0	0	0	0	0	7	0	0	0	5
assemblage-987-763	0	52	0	0	0	0	0	0	0	98	61	0	0	0	0	0	0	0	196	91	0	0	0	0	0	0	0	0	0	0	2
assemblage-300-862	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	246	34	0	0	0	0	13	17	0	0	0	0	14
assemblage-532-763	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	135	99	0	0	0	9	22	145	0	0	0	0	10
