Assemblage_Name	1707976-6342798-3094946	2-6394348-7921657	2-1532495-5626926	2-0-9402122	2-0-5218743	3-3-3094946	2-3-4	2-0-6729584	3-3-1	3925512-0-6188291	2-5593696-5626926	8513935-2-5400278	2-5378508-8183531	2-0-6188291	5106264-0-5626926	2-0-4573056	2-2-5400278	2-859407-7921657	2-3899803-5400278	2-0-5626926	2999562-0-6188291	2-0-1396244	2-5378508-9890389	2-6004169-5020325	2-4624795-7921657	2-0-3081818	2-7999607-0	2-2675213-0	3-3-9740637	2-0-148134	3-6342798-3094946	1707976-6342798-695894	2-0-918885	464337-0-0	8377462-2-5400278	2-7447752-0	8996415-2233769-0	2-4119526-0	2-0-8183531	2-3-9330332	2-0-658366	2-0-7184064	2-6415551-0	7022313-2-5400278	2-230068-0	2-0-0	2-2141472-0	2-0-1269797	8023962-3-1	2-9643104-5218743	2-4751074-5400278	4222552-2-5400278	2-2042764-0	2-0-3923177	2-0-2073679	9977722-2-5400278	2-2260312-7921657	2-0-2893011	2-0-5020325	5765336-0-0	1347321-2-5400278	2-0-7921657	4328439-859407-7921657	2163453-2-5400278	7459091-2-5400278	3-3-5540310
assemblage-752-988	0	0	0	0	83	59	0	0	0	0	0	0	0	0	0	0	121	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	80	10
assemblage-868-649	0	0	0	0	0	3	0	49	17	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	83	0	0	0	0	0	0	0	0	48	30	0	0	0	6
assemblage-866-95	0	0	0	0	83	59	0	0	0	0	0	0	0	0	0	0	129	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	47	0	0	61	8
assemblage-671-963	0	0	0	0	0	40	0	19	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	8	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	27	4	0	0	0	0	0	0	0	0	55	0	0	0	24
assemblage-885-931	0	0	0	0	46	26	0	0	0	0	36	0	0	0	0	0	60	15	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	20	10
assemblage-829-151	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	53	26	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	9	0	0	0	13	0	0	0	2	0	0	0	0	0	169	0	0	38	19
assemblage-93-772	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	166	10	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	162	0	0	0	18
assemblage-953-850	0	0	0	0	0	50	40	6	107	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	187	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5
assemblage-830-129	0	0	0	0	4	0	0	18	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	41	0	0	0	112	0	0	0	0	0	30	0	0	20	15
assemblage-207-398	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	102	0	0	0	30	0	0	0	0	0	12	0	0	0	6
assemblage-956-115	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	48	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	224	0	0	7	9
assemblage-375-787	0	0	0	0	0	0	31	0	11	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	9	0	0	0	0	80	0	0	0	0	0	0	0	0	0	42	0	0	0	12
assemblage-987-763	0	0	0	0	0	42	0	22	0	0	0	0	0	0	0	0	98	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	72	0	0	0	3	0	0	0	0	0	51	0	0	20	20
assemblage-300-862	0	0	0	0	5	0	0	0	0	0	0	0	0	0	44	0	261	0	0	81	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	30	0	16	0	17
assemblage-532-763	0	0	4	0	49	0	0	0	0	8	0	0	0	86	0	0	105	0	0	55	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	4
assemblage-181-462	0	0	0	0	0	28	40	2	142	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	169	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	4
assemblage-943-371	0	0	24	0	97	0	0	0	0	0	0	0	0	0	0	0	110	9	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	21	0	0	0	0	0	69	0	0	53	14
assemblage-866-109	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	91	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	2	0	11	0	8	0	0	0	0	0	16	0	0	52	19
assemblage-877-569	0	0	0	0	0	86	4	0	0	0	0	0	0	0	0	0	57	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	7
assemblage-877-568	0	0	0	0	0	97	10	0	0	0	0	0	0	0	0	0	61	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	9
assemblage-857-558	0	0	0	0	0	23	0	13	2	0	0	0	0	0	0	0	51	21	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	65	0	0	0	6	0	0	0	0	16	58	0	0	0	16
assemblage-510-208	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	111	29	5	79	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	34	0	0	35	14
assemblage-617-440	0	0	0	0	16	0	0	0	0	0	0	0	0	46	8	0	152	0	0	56	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	183	0	0	0	26
assemblage-881-672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	113	0	0	0	32	0	0	0	0	0	108	0	0	0	23
assemblage-573-213	0	0	33	0	84	0	0	0	0	0	0	0	0	0	5	0	168	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	38	0	0	7	23
assemblage-637-432	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	147	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	19
assemblage-698-780	0	0	0	0	44	15	0	0	0	0	0	0	0	0	0	0	22	51	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	7	0	0	0	134	0	0	0	0	0	100	0	0	43	8
assemblage-863-648	0	0	0	0	0	85	7	0	0	0	0	0	0	0	0	0	43	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	7
