Assemblage_Name	9119197-3573137-2	7887612-8196264-0	7887612-8196264-8050322	3-3573137-2	5292175-3573137-2	117814-6186780-3	8048-354620-4	2151754-8474077-3601957	0-8196264-0	7598201-8474077-0	1411031-7055290-0	2151754-571835-0	2151754-6817344-0	2151754-5684257-0	2151754-9653577-0	1418323-3573137-2	740026-8474077-6939803	2151754-8474077-0	2151754-4171281-0	2151754-8474077-7365882	4746171-3573137-2	1-8246509-7376187	6435377-8196264-8424241	6435377-2743759-0	3579242-8474077-0	893932-8474077-0	0-7399831-2743234	6695987-7537097-3	6435377-8178821-0	1-4-248881	2151754-8474077-3364184	4047398-2884109-0	4-4072641-3	1477733-6186780-7376187	2151754-8474077-5156632	1978745-8474077-0	1-6186780-3	3-3573137-9853072	7199189-3573137-2	717532-354620-1303208	8332378-8474077-0	2991789-8196264-0	2151754-959933-0	2151754-9408816-0	2151754-1500659-0	2020813-7055290-0	2151754-8474077-9635192	9205650-3573137-2	2544124-8474077-0	0-7399831-8121044	3-3573137-2806290	6695987-6186780-3257484	2151754-7055290-0	717532-354620-4	2151754-5278416-0	2151754-8960978-0	1-544957-3	4389740-8474077-0	2151754-7701245-8072671	2151754-2617282-0	2151754-8867706-0	4-4888138-1364183	1-6186780-5906508	3-3573137-4927807	0-354620-6506823	786123-7055290-9232536	2151754-3741403-0	717532-5013322-4	786123-7055290-0	2151754-8644515-0	2151754-8474077-2104766	4-4888138-3	1066188-7055290-0	2151754-7835683-0	6435377-8196264-4944509	677906-8474077-0	6458965-4888138-3	2151754-2075648-0	3-3573137-2595175	2672395-6186780-3	2151754-8474077-43588	2151754-8474077-7950968	2151754-8474077-7893471	6695987-7273851-3	0-8474077-7988780	1-4-3	2151754-2823068-0	2151754-9641273-0	2151754-2884109-0	2151754-2422025-0	2151754-7733219-0	2151754-4149005-0	0-354620-4	6435377-8196264-134532	9087193-8474077-0	4816259-6186780-3	3-3573137-1826501	6435377-8196264-540524	8154961-8474077-0	2151754-8474077-7848260	3-9387392-4927807	2151754-7819336-0	3-3573137-3104732	4740245-8474077-0	6435377-8196264-0	2151754-8474077-3826715	2151754-199959-0	1-6186780-7376187	6695987-6186780-3	2151754-8474077-3758290	2151754-4399162-0	7036036-8474077-0	8035865-4-3	0-354620-9710409	5461271-2884109-0	7887612-6834234-0	0-8474077-0	2151754-8474077-6299185
assemblage-207-392	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	3	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-729-265	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	21	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	21	9	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	4	29
assemblage-203-402	0	0	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	149	0	0	0	0	0	0	0	0	0	19
assemblage-993-720	0	0	0	7	0	0	0	0	0	0	0	0	0	36	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	41	0	0	0	0	0	0	0	0	0	19
assemblage-714-272	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	5	28
assemblage-400-899	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	8	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	20	0	0	0	0	0	0	0	0	0	12
assemblage-520-365	0	0	0	22	0	0	0	0	0	0	10	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	17	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	6	0	0	0	7	23	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-244-910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	23	0	0	0	4	0	0	0	0	0	22
assemblage-433-120	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	25	0	0	0	0	0	0	0	0	0	13
assemblage-664-667	0	47	0	37	0	13	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	8	0	0	13	0	0	0	0	0	0	0	0	7
