Assemblage_Name	9536984-4622135-4	0-2-3777020	1177676-2007174-9815531	5730292-4-9815531	3184588-2-1068579	0-2-2459802	4743515-1-4	9758399-9225423-4	7750624-4622135-933142	0-2-8459644	0-2-6094135	2669499-2-3777020	0-1-1	3171621-4-9815531	9456829-4-9815531	9065096-2-4	9758399-2-4	575979-2-4	0-2002858-1068579	0-4622135-2423516	1177676-5080660-9815531	440597-2-4	8444855-2-1068579	0-3914462-4	1177676-4-6766949	0-8380750-4	4-0-3	1177676-4-4790094	0-5602629-4	1657468-2-3777020	0-2-6708137	0-2-4	0-2-1218207	9361231-5450806-4	3075070-2-1068579	9758399-3510196-4	0-9510112-4	0-4124913-1068579	0-2-1068579	7750624-4622135-4	7256233-3914462-4	0-2-8857300	0-2-7864104	9361231-5197536-4	163598-4-9815531	0-2-5285139	0-8739333-4	0-4622135-4	0-2-1164266	1177676-421000-9815531	6746665-2-1068579	9361231-4622135-4	1177676-9812970-9815531	5525562-2-8857300	1177676-4-9815531	8849823-4-9815531	9758399-2457631-4	6649784-2-3777020	0-4622135-8920872	0-8487023-7864104	691003-2-4	7257295-2-4	3891267-4-9815531	0-2-2330635
assemblage-207-392	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	14	193	0	0	0	40	0	0	0	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	83	0	9	0	0	0	0	0	0	7
assemblage-729-265	0	32	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	243	29	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	26
assemblage-203-402	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	24	0	0	0	0	0	0	0	0	31	0	0	0	47	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	11
assemblage-993-720	0	34	0	37	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	11	0	0	0	69	0	0	0	0	7	0	0	0	0	0	0	107	0	9	0	0	0	0	0	0	1
assemblage-714-272	0	35	0	0	0	0	0	0	0	0	0	0	0	0	8	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	22	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	21
assemblage-400-899	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	13
assemblage-520-365	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	15	0	0	0	0	280	47	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	14
assemblage-244-910	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	35	80	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	39	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	17
assemblage-433-120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	42	0	151	0	0	0	14	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	93	0	80	0	0	0	0	0	0	17
assemblage-664-667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	277	9	0	0	4	0	0	0	0	83	0	0	0	67	0	0	0	0	0	0	29	0	0	0	0	6
assemblage-264-747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	188	0	0	20	37	0	0	0	0	47	0	0	0	25	0	0	119	0	0	0	0	0	0	0	0	24
assemblage-797-749	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	187	0	0	0	0	51	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	13
assemblage-716-247	0	67	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	20
assemblage-97-538	0	0	0	99	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	36	0	0	0	0	108	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	9
assemblage-140-383	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	13	0	0	11	0	0	0	0	339	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	17
assemblage-684-671	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	156	0	0	0	0	51	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	12
assemblage-262-911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	55	0	140	0	0	0	5	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	103	0	83	0	0	0	0	0	0	15
assemblage-437-101	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	40	90	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	52	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	12
assemblage-802-123	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	107	0	0	0	8	0	0	0	0	112	0	0	0	0	0	0	152	0	0	0	24	0	0	0	0	7
assemblage-592-295	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	16	0	0	0	0	0	56	0	0	0	0	0	0	234	0	0	0	20	0	0	0	0	16
assemblage-420-685	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	92	0	0	0	4	0	0	0	0	119	0	0	0	0	0	0	154	0	0	0	28	0	0	0	0	5
assemblage-950-291	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	311	52	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	6
assemblage-867-301	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	49	77	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	52	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	18
assemblage-243-260	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	20	64	0	0	0	0	59	0	0	0	7	0	0	19	0	0	0	7	0	0	0	22	6
assemblage-667-580	0	26	0	0	0	23	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	13	0	8	0	0	34	0	203	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	19	0	0	0	0	0	13
