Assemblage_Name	4-4-3278956	2605653-4-1	4148543-4-1	1-7811814-508717	4082221-4-732433	1-7504845-1174846	1-8019150-4	4-1715230-6102760	7677505-4-9543364	4082221-6799467-1	4082221-7854233-1	7677505-4-6572116	4082221-4-8222645	7677505-8396815-2	3-0-4013421	4-1278599-3278956	1-7504845-2	7677505-4-3451559	4082221-7168563-1	4082221-2456851-1	4082221-4-5154391	4563075-4-2	4-4833706-1	1-1-4	4082221-4-1368582	7677505-4754113-2	3-3293099-0	9569494-4-5570889	4-4-7036398	7368078-4-1	1-4236469-508717	4082221-6835955-1	2128091-4-3278956	6651108-4-8644363	7677505-2463371-2	4082221-4-5041126	1-6359119-508717	8668244-4-3278956	8668244-4509068-3278956	4-4-1195816	3-4364612-0	4-4-3294527	4-4-8748863	9279140-4-1	4082221-4571248-1	878546-1654260-2	4-4-9741863	4-4-1	6651108-4-1	4082221-4154453-8747826	878546-6125323-2	9671556-4-6926359	3315944-4-1	4082221-4124362-1	4-6671539-6102760	4-1278599-4822349	3-0-76065	7677505-4-2	878546-4-2	7677505-4-2768760	3-0-8935121	7677505-4-4429688	5489203-4-1	4563075-4-5799222	4082221-3749490-1	6366785-0-0	4082221-6410980-1	4082221-4-6290207	4082221-670130-1	4082221-4-9992551	9531791-4-1	4082221-4-1930474	2747278-4-1	878546-944504-2	7677505-9594109-2	4082221-4154453-1	1-7504845-508717	6515935-4-1	5894166-4-1	1417312-7854233-1	4082221-4-933747	4082221-3794792-1	6432792-4-1	3-0-2765517	878546-4-6926359	5360350-4-1	1-3-2	4082221-4-3503400	2816084-4-2	4082221-4-3065874	1488765-4-1	1-1-1412722	3-0-0	4082221-4-1	4-4-2	9531791-2766030-1	4082221-836892-1	4082221-2371548-1	6478380-1278599-3278956	635715-4754113-2	8238265-0-0
assemblage-207-392	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	7	0	0	0	0	53	0	10	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	28	0	0	0	13	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	153	100	0	0	0	0	0	0	19
assemblage-729-265	59	0	0	0	0	0	0	24	0	0	0	0	0	0	0	7	21	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	3	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	21	16	0	0	0	0	0	0	0	75	24	16	0	0	0	0	0	23
assemblage-203-402	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	48	0	0	0	6	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	111	184	0	0	0	0	0	0	17
assemblage-993-720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	218	0	0	0	0	0	0	9
assemblage-714-272	15	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	29	0	0	0	0	0	0	0	0	82	0	0	0	19	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	7	11	0	0	0	0	0	0	0	100	33	19	0	0	0	0	0	10
assemblage-400-899	0	0	0	0	0	0	0	43	0	0	0	0	0	0	1	0	35	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	140	0	0	0	8	0	0	0	0	0	0	22	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	121	0	0	0	0	0	0	23
assemblage-520-365	28	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	31	0	0	0	0	0	0	0	53	39	13	0	0	0	0	0	22
assemblage-244-910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	80	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	239	0	0	0	0	0	0	7
assemblage-433-120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	242	0	0	0	0	0	0	21
assemblage-664-667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	11
assemblage-264-747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	23	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	0	10
assemblage-797-749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	40	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0	0	0	23
assemblage-716-247	110	0	0	0	0	0	0	6	0	0	0	0	0	0	0	31	23	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	20	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	52	6	0	0	0	0	0	0	32
assemblage-97-538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	5	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	3	0	0	16
assemblage-140-383	18	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	8	4	0	0	0	5	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	25	0	0	0	0	0	0	33
assemblage-684-671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	42	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0	0	0	0	7	23
assemblage-262-911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	222	0	0	0	0	0	0	21
assemblage-437-101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	88	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	231	0	0	0	0	0	0	14
assemblage-802-123	0	0	7	0	0	0	0	0	0	59	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	13
assemblage-592-295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	0	0	19	7	0	0	0	0	10	0	0	0	133	0	0	0	5	0	0	16	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	6
