Assemblage_Name	2456566-5955090-1	0-2199178-8421961	7526818-2-0	8181842-1706024-5824497	4-2-620176	5064280-1498226-3	0-1286165-8421961	4-403061-0	0-0-9919751	1342691-1498226-3	8181842-1706024-2	9038449-0-1	4-2-552761	1359894-2-9933979	4-7253679-0	4-2-5375577	8181842-0-7297976	0-1-0	8181842-0-2	786923-0-2	5578377-0-2	4648033-0-1	1682838-2-9933979	4533354-0-1	8181842-0-1001118	8181842-2670002-2	2175350-2-0	0-0-1	3-1498226-3	4-2-7968712	8181842-9292811-2	110398-0-2	8181842-1634516-2	4483312-2-0	8181842-6606993-2	8181842-66355-2	8815130-2-9933979	0-0-7698699	4652388-0-1	8181842-972582-2	2698608-0-2	3-7829763-3	7034503-2-0	3857638-972582-2	4-2-0	8181842-0-2304639	4-8384817-0	8181842-0-4826992	8181842-6884333-2	5382265-2-0	4-2-9933979	9186909-2-0	6213936-0-2	2456566-5547716-1	8181842-0-2003347	2456566-5286380-1	4-2-6073974	2456566-0-1	2670613-0-2	8181842-0-7950703	0-6235857-1	2771501-2-0
assemblage-207-392	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	11
assemblage-729-265	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	17	97	0	0	0	0	0	0	0	0	150	10	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	14
assemblage-203-402	0	20	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	154	0	0	0	0	0	0	15	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	141	0	0	31	0	33	0	0	0	0	0	0	0	7	0	0	0	2
assemblage-993-720	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	5	0	0	0	60	0	0	0	9	235	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	6
assemblage-714-272	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	23	119	0	0	0	0	0	0	0	0	173	18	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	5
assemblage-400-899	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	6
assemblage-520-365	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	14	132	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	14
assemblage-244-910	0	7	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	19	11	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-433-120	0	35	0	0	11	0	0	0	0	0	26	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	11
assemblage-664-667	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-264-747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	61	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	2
assemblage-797-749	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	9	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-716-247	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	66	14	0	0	0	0	0	0	0	0	213	6	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	13
assemblage-97-538	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	8	0	0	4	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	13
assemblage-140-383	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	11	0	64	0	0	0	0	0	0	0	0	50	0	5	0	0	0	0	0	0	0	0	0	0	0	111	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	4
assemblage-684-671	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	11	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-262-911	0	41	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	7
assemblage-437-101	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	11
assemblage-802-123	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	5
assemblage-592-295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-420-685	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	2
assemblage-950-291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	32	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-867-301	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	25	10	0	194	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	5
assemblage-243-260	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	37	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-667-580	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	49	0	148	0	0	0	7	0	0	0	0	0	0	0	0	20	0	0	0	14
assemblage-797-476	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	21
assemblage-503-522	0	0	0	0	0	0	0	0	36	0	10	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-429-117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	16	0	0	8	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-794-418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	118	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-511-700	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	21	230	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	11
assemblage-396-413	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-674-596	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	2
assemblage-931-801	0	133	0	0	0	0	9	0	0	0	0	0	18	0	0	0	0	0	22	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-586-303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
