Assemblage_Name	3-0-8256312	3-5470763-1	3-1525810-0	2129051-0-0	0-2-8236153	0-4-7596209	3-3250524-1	0-8344312-1181333	7965409-8344312-8381867	0-4-0	3-0-4510338	5674205-0-1	2-2-3	3-3250524-4796093	0-8492037-8381867	1600026-0-1524697	3-0-2337429	7048577-0-0	3-8259214-6758666	3-6989956-1524697	1144314-5470763-1	0-2-8381867	3-0-829696	0-7472181-8381867	3-0-4828182	3-0-2806185	3-5470763-7486665	2-0-2	394241-8344312-8381867	3-0-0	3-0-1	234727-2-3	9478208-4-7596209	0-8344312-8591635	0-3181071-8381867	3-0-8057948	3137585-0-0	3-0-7305552	0-8344312-9258184	3-0-5086418	1-2-3	0-8344312-8381867	0-2-8946994	3-4471767-0	3722429-8344312-8381867	479062-8344312-8381867	3-5348971-0	3-5470763-4915702	3-0-1524697	3-0-6758666	0-7270281-0	1-2-5412581	8277704-0-1
assemblage-207-392	0	112	0	0	18	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	49	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	10
assemblage-729-265	0	8	0	0	21	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	14	0	151	138	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	22	0	0	15
assemblage-203-402	0	19	0	0	44	0	0	0	0	130	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	48	0	0	0	0	0	0	0	0	8	0	147	0	0	0	0	0	0	28	0	0	0	2
assemblage-993-720	0	34	0	0	0	0	23	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	111	0	0	0	0	0	0	0	34	0	0	170	0	0	0	0	0	0	39	0	0	0	6
assemblage-714-272	0	0	0	0	6	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	14
assemblage-400-899	0	162	0	0	10	0	0	0	0	65	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	20	0	0	132	49	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	5
assemblage-520-365	0	56	0	0	57	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	218	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	16
assemblage-244-910	0	172	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	84	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	10
assemblage-433-120	0	137	0	0	0	39	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	22	0	0	98	30	0	0	0	0	0	0	0	22	0	0	115	0	0	0	0	0	0	0	0	0	0	2
assemblage-664-667	0	0	0	0	0	71	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	121	0	0	0	0	0	0	134	0	4	0	0	0	0	32	0	0	0	8
