Assemblage_Name	1-8161451-8958817	92594-2-4	9988699-8161451-3986982	1-2-303763	1-8161451-5006047	1-8161451-4	7888470-8161451-3986982	1-2619855-4	1-8161451-6685906	1-0-0	9988699-8161451-9904206	1-1331672-4	1-2-3645240	65582-8161451-3986982	5084285-2-3	5205298-8161451-3986982	1-6950373-4	9953547-8161451-4	4008563-8161451-3986982	2282608-8553268-0	1-2-9385146	9040341-2-4	1-8311646-4	0-2-7892749	1-9695704-4	1-2707547-4	1-7594941-4	0-843970-8590451	4-8504282-2	3152750-9956941-4055834	0-843970-0	1-8208464-4	4-0-2	1-3523928-8431337	1-6927175-4	1622076-2-4	0-8553268-0	0-0-0	1-8161451-615654	7299957-2-4	0-2-3	1-8161451-6129911	1-4850869-3986982	1-2-7755427	1-8161451-7052434	5350038-4123540-4	1-8161451-3986982	1-2-4828598	1-4849890-8431337	5831066-2-4	5610744-2-3	2210465-2-4	3152750-9956941-0	1-8161451-8431337	3887192-8161451-8431337	1-4649212-8431337	1-924256-9631724	1-2160015-3986982	1-1304492-4	1-7434590-4	1-8442908-4	0-0-7377954	0-3173550-3	3378475-8161451-4	1-4669554-4	1-4975222-3986982	1-8161451-268141	1-3274547-4	215581-8553268-0	1-2-4	7603958-0-0	1-7483055-4	0-1553448-0	1-4123540-4	1-5837030-4	3428385-8161451-3986982	1-3766589-4	0-843970-9622390	5530062-843970-0	1-3318072-4	1-3917647-3986982	0-0-4445430	1-8161451-9063579	1-8161451-8046438	1-8161451-9631724	7819150-2-4	1-2607367-3986982	0-6082571-0	664727-0-0	4-0-1859515
assemblage-207-392	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	140	0	0	0	0	19	0	0	0	0	0	7	0	0	0	0	31	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-729-265	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	5	0	0	0	24	0	10	0	0	0	25	28	0	0	35	0	0	0	0	0	37	0	0	0	18	0	15	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	15
assemblage-203-402	0	16	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	147	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-993-720	0	0	39	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-714-272	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	16	0	0	0	12	51	0	0	18	0	0	0	0	0	23	0	0	9	11	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	7	0	15
assemblage-400-899	0	0	0	0	0	154	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	10	0	0	0	0	7	60	0	0	0	0	13	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-520-365	0	0	0	0	0	301	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	25	0	0	0	13	0	0	0	0	0	58	0	0	0	37	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	11
assemblage-244-910	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-433-120	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-664-667	0	0	0	0	0	96	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	45	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	52	0	0	16
