Assemblage_Name	1-1615357-2	1-2-2195845	5375682-3-1	1-8681830-2	1-3419821-2	1-2355576-4791274	0-0-2331115	1-228925-1	1-7415391-1736334	1-1541717-1	1-7321878-2195845	0-8743518-2	1-7500796-1	1-1931318-2	2-6251191-0	1-5925142-1	719217-1-3	1-2-6362090	0-0-1459936	5340590-2-2	1-4136685-1	5246093-2-1736334	1-1517698-1	5506224-2-1736334	1-2-4317782	1-792831-2	1143033-0-0	1-2-5853622	1-2-4791274	7016068-3-1	1-4357345-2195845	1-2-3946745	1-2-1736334	0-0-2	1-3-1	1-5152289-1736334	1-4548491-1736334	1-475344-2	1-6591642-1736334	1-2-2320894	1-2-6486536	1-2-2428004	2-0-0	1-4284144-2	1-4090196-1736334	0-8311383-2	1-196179-2	1626684-2-2195845	1-2-4376344	1-466423-1736334	1-2-4900993	1-2-2	1-2-1330807	1-2-2595266	8945950-0-2331115	1-8167873-1	3726503-2-2195845	1-2-5935376	1-111670-1	0-3657366-2	1-8562573-1
assemblage-207-392	0	275	0	0	18	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	73	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	18
assemblage-729-265	0	52	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	122	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	16
assemblage-203-402	0	213	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16	151	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	9
assemblage-993-720	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	39	0	0	0	0	0	0	0	0	0	0	0	14	12	3	0	0	192	34	0	0	0	0	0	0	0	12
assemblage-714-272	0	42	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	152	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	8
assemblage-400-899	0	225	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	20	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	9
assemblage-520-365	0	138	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	57	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	9
assemblage-244-910	0	84	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	59	0	12	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	5
assemblage-433-120	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	7	0	0	0	0	0	0	0	74	0	0	0	15	0	0	0	0	175	0	37	0	0	0	0	0	0	16
assemblage-664-667	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	6	0	0	0	127	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	134	0	0	0	0	0	0	0	0	12
assemblage-264-747	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	1
assemblage-797-749	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	23	0	0	0	0	0	0	0	0	0	0	193	0	34	0	0	0	38	0	0	0	0	0	6	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	12
assemblage-716-247	0	27	0	0	0	0	70	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	16	8
assemblage-97-538	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	58	0	0	0	198	0	57	0	0	0	0	75	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-140-383	0	157	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	5	162	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	4
assemblage-684-671	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	32	0	0	0	0	0	0	0	0	0	0	182	0	46	0	0	0	43	0	0	0	0	0	6	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	17
assemblage-262-911	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	6	4	0	0	0	0	0	0	0	76	0	0	0	36	0	0	0	0	161	0	49	0	0	0	0	0	0	6
assemblage-437-101	0	121	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	64	0	16	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	13
assemblage-802-123	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	55	0	0	0	45	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	10
assemblage-592-295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	19	0	0	0	352	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	20
assemblage-420-685	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	58	0	0	0	34	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	14
assemblage-950-291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	40	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	18
assemblage-867-301	0	97	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	75	0	12	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	15
assemblage-243-260	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	143	0	92	0	0	0	27	15	5	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	6
assemblage-667-580	0	136	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	33	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0	166	0	0	0	0	0	0	0	0	7
assemblage-797-476	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	33	0	0	0	212	0	78	0	0	0	0	68	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-503-522	0	101	0	0	0	0	62	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	186	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	103	0	0	0	0	7	0	0	0	5
assemblage-429-117	0	72	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	32	0	47	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	266	34	0	0	0	0	0	0	0	17
assemblage-794-418	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	9
assemblage-511-700	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	28	0	0	0	0	0	0	0	0	0	0	0	15	5	0	0	0	209	32	0	0	0	0	0	0	0	9
assemblage-396-413	0	103	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	67	0	20	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	13
assemblage-674-596	0	251	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	23	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	15
