Assemblage_Name	5242608-2-346685	2-1-9914705	3-5607433-4	3-6342272-4	6983051-2-346685	2-1-5160409	0-2-2770139	6604848-3165350-1	7269-1718058-1	6604848-6080446-1	3-3-4	2835720-2-346685	0-1-1	2-1-8794662	0-7391099-2770139	5242608-2-6883972	6170694-3-4	3-3-388457	2-1-3500705	2-1-3487443	1-2-6718487	3-7285535-4	4735743-3-4	3-3-3443982	3-3-5003517	9432057-7265421-8182022	1-2-6732340	4370446-3-4	0-1-8182022	6604848-3424657-1	1-2-5617961	3-7176568-4	3-3-7781225	3-2406573-4	1-2-346685	5112112-3-4	0-2-4611568	1-9390403-1	4957285-1718058-1	0-7265421-8182022	6604848-2-1	0-8125618-2770139	1-2-1	5766547-2-346685	6983051-2-6909652	5242608-2-2860019	2-1-1	6783213-1-1	1-8436335-346685	3146702-2-346685	6604848-2-7509566	1813519-3-4	7440407-3-4	3-3-8499276	3463917-3-4	3-3-8360729	1-1718058-1	411622-3-4	4148418-2-1	8767615-1-3333364	6738066-1-1
assemblage-207-392	0	0	0	0	0	0	158	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	32	0	55	0	0	0	31	0	0	0	0	0	0	0	0	0	11	0	0	0	4
assemblage-729-265	0	0	0	0	0	0	31	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	43	0	0	77	0	0	0	75	0	0	0	0	27	0	0	0	0	32	0	0	0	14
assemblage-203-402	0	0	0	0	0	0	157	0	0	0	141	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	30	0	0	0	7	0	0	0	0	0	0	0	0	0	31	0	0	0	2
assemblage-993-720	0	0	0	0	0	0	56	0	0	0	43	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	83	0	17	0	0	0	206	0	0	0	10	0	0	0	0	0	8	0	0	0	6
assemblage-714-272	0	0	0	0	0	0	16	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	114	0	0	0	30	0	0	0	0	0	0	0	0	0	14	0	0	0	5
assemblage-400-899	0	0	0	0	0	0	53	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	2	0	37	0	95	0	0	0	111	0	0	0	0	0	0	0	0	0	44	0	0	0	7
assemblage-520-365	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	7	0	62	0	0	120	0	0	0	37	0	0	0	0	18	0	0	0	0	61	0	0	0	12
assemblage-244-910	0	0	0	0	0	0	236	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	50	0	33	0	0	0	50	0	0	0	0	0	0	0	0	0	6	0	0	0	8
assemblage-433-120	0	0	0	0	0	0	20	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	55	0	46	0	0	0	106	0	0	0	0	0	0	0	0	0	12	0	0	0	7
assemblage-664-667	20	0	0	0	191	0	15	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	11	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	6
