Assemblage_Name	2-8666148-3	4-3-6635318	737938-8666148-5698929	3-5297458-1216362	3079180-3-6635318	2-8666148-5698929	4-8510112-7340285	4-3-4	2-3-3	4330689-4-4	2-4154561-3	9190757-4-4	2-4-4	1-2-7053730	8120961-4-4
assemblage-357-334	41	0	8	0	97	11	5	0	0	0	0	84	0	0	27
assemblage-889-395	0	65	0	35	0	52	0	0	7	0	10	191	0	0	38
assemblage-628-854	0	129	31	0	24	9	0	0	0	0	10	105	0	0	21
assemblage-263-346	31	54	71	0	0	7	90	0	0	0	0	86	0	0	25
assemblage-537-763	0	88	0	41	0	37	72	11	0	11	7	103	69	0	34
assemblage-253-215	0	0	0	0	0	0	0	0	22	114	0	83	117	140	18
assemblage-262-855	20	54	0	100	0	0	35	4	15	78	0	15	38	65	22
assemblage-185-590	14	80	119	0	85	0	0	0	0	0	0	130	0	0	22
assemblage-152-958	61	101	0	0	187	4	0	0	0	0	0	5	0	0	37
assemblage-361-255	0	62	0	85	0	0	7	50	102	0	0	0	0	23	23
