Assemblage_Name	9558298-4-1673008	1-6741294-1	1-1-1	4-2-5330859	604331-2-3	4-2-8887870	4-2-3	4-8221299-3	6884934-2-3	4433770-4-9771747
assemblage-742-872	14	0	142	0	12	0	161	0	0	13
assemblage-296-136	24	0	234	0	4	0	66	60	0	9
assemblage-500-534	0	0	168	0	41	0	140	6	11	30
assemblage-692-481	0	0	12	78	155	64	16	0	0	15
assemblage-870-401	45	27	33	0	81	0	114	0	3	31
assemblage-605-243	0	51	70	59	186	0	27	0	0	10
assemblage-358-786	0	0	45	96	125	0	35	0	0	15
assemblage-907-527	0	0	0	0	0	0	418	13	0	11
assemblage-267-347	0	96	3	40	149	18	6	0	39	25
assemblage-799-965	6	56	76	0	133	4	67	0	13	18
