Assemblage_Name	0-0-5980212	3-1-4	3-7643665-2	3-204081-4	4332105-1-4	0-4317379-6453183	3-3-2	966296-1-4	0-0-6453183	4-2-0	0-0-9602340	3303978-2-0	3-5154878-2
assemblage-629-460	0	0	0	0	0	0	11	0	0	26	304	43	26
assemblage-689-477	0	97	46	84	0	26	53	0	0	0	0	0	16
assemblage-168-953	0	173	88	97	0	7	41	0	0	0	0	0	8
assemblage-343-236	0	335	28	76	9	0	0	10	14	0	0	0	17
assemblage-478-349	0	0	0	0	0	0	0	0	0	305	0	92	35
assemblage-894-247	0	176	49	0	5	0	0	77	79	0	0	0	27
assemblage-344-340	0	90	71	119	0	28	0	21	0	0	0	0	19
assemblage-545-737	44	69	11	0	0	0	90	0	57	41	69	0	23
assemblage-229-848	37	72	0	0	7	0	20	0	0	28	88	62	21
assemblage-784-478	13	111	123	0	16	0	46	0	32	32	60	19	8
