Assemblage_Name	3-105485-2419663	0-1-4	2570505-3-4	3-0-1205004	2570505-3-5462702	2570505-3574682-4	3-7598101-2419663	2570505-5427777-4	4907030-4-5087455	4907030-1396185-5087455	0-1-1430068	4-4877830-6406630	3-0-0	9243144-3-4	3-7598101-1205004	4-4877830-8738063
assemblage-319-550	0	10	159	14	16	0	16	0	0	33	0	0	97	0	6	27
assemblage-449-332	0	0	0	0	0	0	0	0	309	0	0	51	101	0	0	19
assemblage-710-473	66	0	25	14	73	68	5	7	0	0	0	0	0	70	0	18
assemblage-955-695	0	64	108	0	0	0	12	0	0	11	62	0	70	0	60	21
assemblage-532-565	164	0	0	36	37	96	0	0	0	0	0	0	0	70	0	17
assemblage-296-570	124	0	90	12	91	6	20	23	0	0	0	0	0	94	0	25
assemblage-279-115	0	0	61	0	0	0	0	0	65	28	73	79	23	0	0	23
assemblage-160-161	0	35	51	0	0	0	0	0	85	0	0	23	130	0	0	17
assemblage-988-353	10	0	221	85	94	0	8	25	0	0	0	0	5	0	0	18
assemblage-575-740	0	46	0	0	0	0	32	0	0	0	77	0	121	0	104	23
