Assemblage_Name	4743418-0-5583205	3467172-0-398860	4-3-1	4-2007314-1	4-9553442-6185682	4-4564772-1	3467172-0-3	4743418-5421659-0	4743418-0-0	2-4-2	4665318-0-3
assemblage-363-786	27	16	0	0	19	88	163	0	0	37	10
assemblage-943-691	0	34	13	7	0	184	24	31	112	74	8
assemblage-194-177	0	0	0	0	0	0	289	0	0	0	3
assemblage-503-944	0	0	0	25	0	0	224	37	152	14	13
assemblage-672-407	136	5	0	0	25	140	66	0	0	64	7
assemblage-562-770	15	84	0	16	0	136	54	19	121	23	6
assemblage-351-254	0	0	0	11	0	0	0	36	270	125	17
assemblage-925-280	14	27	0	33	0	78	35	0	210	4	17
assemblage-606-238	113	13	6	0	51	203	72	0	5	6	11
assemblage-988-336	86	103	41	0	0	42	129	12	7	0	8
