Assemblage_Name	1793607-0-3	2870491-2-0	2-0-3	152037-2-4	8227484-2-1155435	6420090-1533748-2164537	6972952-4-5747785	3930203-2-0	9801580-3796120-4	7052019-1533748-2164537	4695502-0-1	4-4-443569	4910735-2-1155435	1-3796120-4	2745977-1533748-2164537
assemblage-615-216	156	0	17	0	16	76	11	19	24	19	0	0	21	0	44
assemblage-762-878	0	129	33	78	0	0	0	0	0	0	84	19	0	0	28
assemblage-509-534	0	41	0	17	0	0	0	0	0	0	94	82	0	218	27
assemblage-941-247	0	17	53	22	9	0	0	0	23	0	78	25	0	85	18
assemblage-341-212	0	12	50	63	66	83	28	14	61	34	0	12	0	0	31
assemblage-279-115	0	148	51	12	0	0	0	0	0	0	11	110	0	17	18
assemblage-246-246	0	183	0	0	0	0	0	0	0	0	267	0	0	0	12
assemblage-667-848	0	16	175	10	0	44	46	0	31	0	0	0	0	0	34
assemblage-599-246	24	0	27	43	30	79	10	21	123	48	0	0	21	0	25
assemblage-535-559	51	0	0	0	0	43	0	0	10	0	0	0	25	0	23
