Assemblage_Name	2-531440-0	2-6402706-0	3806857-3-3	4-0-2	2-4-5845182	2-4-0	4-7057101-3	8591906-0-2
assemblage-621-440	0	0	0	86	0	256	53	12
assemblage-943-691	18	56	0	70	0	255	29	14
assemblage-525-934	0	53	8	90	0	162	146	14
assemblage-900-267	28	6	23	31	103	236	0	14
assemblage-518-548	168	0	35	30	203	43	0	21
assemblage-673-388	0	0	41	37	169	172	0	22
assemblage-411-344	46	0	70	63	100	86	0	7
assemblage-195-187	0	10	0	0	0	409	0	5
assemblage-711-905	35	0	178	68	69	113	0	9
assemblage-499-512	0	0	21	135	0	184	72	7
