Assemblage_Name	2-6000123-4	8456074-3-7886546	4-4-7797383	1502803-3-8593744	4-558325-3	1-3-4	8112849-3-5799225	1502803-3-7886546	4-4-3	8112849-3-3	4-4-7174086	8112849-3-5522642
assemblage-630-846	0	0	0	0	10	0	0	31	287	58	73	11
assemblage-154-592	0	0	35	0	0	0	145	0	258	10	9	29
assemblage-405-331	0	0	10	0	0	0	123	0	299	14	27	6
assemblage-370-281	23	2	0	5	0	69	0	35	202	77	0	34
assemblage-790-480	0	0	0	43	58	0	0	17	155	80	109	14
assemblage-934-1004	13	7	0	8	0	9	0	16	216	99	0	18
assemblage-260-232	23	42	0	0	0	68	0	49	124	63	0	22
assemblage-340-239	0	0	62	0	0	0	0	0	195	30	183	22
assemblage-465-144	9	0	0	52	21	0	0	14	175	201	0	24
assemblage-352-801	0	0	60	0	0	0	206	0	104	0	0	17
