Assemblage_Name	4959047-2-4	0-3-794540	2-2-4	2102669-1-3	3-3-2315181	1-3-4	718107-0-3	3-3-4391669
assemblage-280-565	190	10	60	0	115	17	52	38
assemblage-597-671	29	60	93	62	63	0	10	7
assemblage-412-358	335	0	7	0	0	0	31	29
assemblage-235-826	25	19	22	138	25	91	8	9
assemblage-672-407	250	0	122	0	23	0	92	11
assemblage-942-233	271	45	61	15	41	27	5	12
assemblage-619-459	24	145	69	155	0	15	0	13
assemblage-689-249	274	0	85	0	0	0	31	3
assemblage-988-336	236	0	0	0	97	0	24	18
assemblage-894-551	11	35	385	0	0	0	0	8
